item_id,register,generator,condition,is_human,context,text,source_row,pair_id,supersedes
1001,informal,gpt-5.6,baseline,False,Vad fick du i julklapp iår sweddit?,Ett par riktigt bra hörlurar och en gjutjärnspanna. Vuxenpoängen börjar tydligen trilla in på allvar nu. 😅,0,informal-0,
1002,informal,gpt-5.6,human_like,False,Vad fick du i julklapp iår sweddit?,"Ett par riktigt bra hörlurar och den obligatoriska lådan med strumpor. Ärligt talat mest nöjd med strumporna, vuxenpoängen börjar väl slå in på riktigt nu.",0,informal-0,
1003,informal,gpt-5.6,detector_evasive,False,Vad fick du i julklapp iår sweddit?,"En gjutjärnspanna från Skeppshult, två par ullsockor och Elden Ring. Har tydligen nått åldern där en bra stekpanna känns som jackpot...",0,informal-0,
1004,informal,gpt-5.6,baseline,False,"Någon annan som är ensam och full på nyårs? Sambon är med polare och mina kompisar alla bailade. (Hade bra anledningar och jag vart bjuden att joina sambon men eh, skönt med ensam tid) Nån som vill joina?!","Du är definitivt inte ensam om att fira solo! Njut av egentiden, dra på favoritmusiken och varva gärna med lite vatten. Gott nytt år på dig! 🥳",2,informal-2,
1005,informal,gpt-5.6,human_like,False,"Någon annan som är ensam och full på nyårs? Sambon är med polare och mina kompisar alla bailade. (Hade bra anledningar och jag vart bjuden att joina sambon men eh, skönt med ensam tid) Nån som vill joina?!","Haha, låter ändå rätt gött? Jag kör också solo ikväll med några öl, musik och noll krav. Gott nytt på dig! 🍻",2,informal-2,
1006,informal,gpt-5.6,detector_evasive,False,"Någon annan som är ensam och full på nyårs? Sambon är med polare och mina kompisar alla bailade. (Hade bra anledningar och jag vart bjuden att joina sambon men eh, skönt med ensam tid) Nån som vill joina?!","Känner igen det där. Sätt på SVT, häll upp nåt gott och dra igång en Discord-tråd här? Ensamkväll är inte fel heller... bättre än ett halvdant nyårsgäng. Gott nytt!",2,informal-2,
1007,informal,gpt-5.6,baseline,False,Är det verkligen ingen kanal som visar Svensson Svensson och Wallace och Gromit ikväll? Jag tittar på TV.nu men finner inget.,"Verkar tyvärr inte så. TV.nu brukar ha rätt kompletta tablåer, men kolla SVT Play – där kan åtminstone Svensson, Svensson finnas på begäran.",8,informal-8,
1008,informal,gpt-5.6,human_like,False,Är det verkligen ingen kanal som visar Svensson Svensson och Wallace och Gromit ikväll? Jag tittar på TV.nu men finner inget.,"Verkar tyvärr inte så, hittar inget jag heller. Möjligen finns de på SVT Play, men i vanliga tablån ser det rätt tomt ut.",8,informal-8,
1009,informal,gpt-5.6,detector_evasive,False,Är det verkligen ingen kanal som visar Svensson Svensson och Wallace och Gromit ikväll? Jag tittar på TV.nu men finner inget.,"Ser inte ut så. SVT:s egen tablå har inget heller. Svensson, Svensson finns på SVT Play. Wallace & Gromit får man hyra eller streama separat... trist, vad ska annars gå på tv en sån kväll?",8,informal-8,
1010,informal,gpt-5.6,baseline,False,Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,"Jag kör ofta med ”full kastrull”, ”nu blir det åka av”, ”inte den snabbaste mopeden på campingen”, ”han har inte alla hästar i stallet” och ”det där gick som en påse nötter”. Även ”pelle i botten” i stället för plattan i mattan och ”nu har du parkerat snett i hjärnkontoret” när någon tänkt tokigt.",19,informal-19,
1011,informal,gpt-5.6,human_like,False,Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,"Jag brukar köra med ”nu har du skitit i det blå skåpet”, ”det är ingen ko på isen” och ”han har inte alla hästar hemma”. Favoriten när man ska gasa är ändå ”full patte” eller ”nu blir det åka av”. Och när något gått riktigt snett: ”det där gick som en påse skridskor”.",19,informal-19,
1012,informal,gpt-5.6,detector_evasive,False,Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,"”Full fart medvetslös” åker fram rätt ofta. Även ”nu har du skitit i det blå skåpet”, ”inte den vassaste kniven i lådan” och ”född i farstun”. När nån kör sakta blir det ”har du pannan i handbromsen?”. Farsan säger ”dra på syltan” när han gasar. Ingen vet varför... BMW brukar mest kallas blinkersbefriad kebabsläde.",19,informal-19,
1013,informal,gpt-5.6,baseline,False,Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,"Några favoriter är ”nu har du skitit i det blå skåpet”, ”det är ingen ko på isen”, ”glida in på en räkmacka”, ”ha tomtar på loftet”, ”gå som katten kring het gröt” och ”inte den vassaste kniven i lådan”. Brukar även säga ”fullt ös medvetslös” och ”nu blir det åka av” när det ska gasas lite.",21,informal-21,
1014,informal,gpt-5.6,human_like,False,Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,"”Inte den vassaste kniven i lådan”, ”nu har du skitit i det blå skåpet”, ”glider in på en räkmacka” och ”det är ingen ko på isen” kör jag rätt ofta. Sen säger jag gärna ”full kastrull” när det går undan och ”han har otur när han tänker” om någon som inte riktigt fått alla hästar i stallet. Svenskan är fan svårslagen när det gäller märkliga uttryck.",21,informal-21,
1015,informal,gpt-5.6,detector_evasive,False,Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,”Hela vägen in i kaklet” åker ofta fram. Även ”nu har du skitit i det blå skåpet” och ”inte den vassaste osthyveln i lådan”. När nån kör fort blir det ”stamp på högerburken”. Går nåt snett? Då är det ”motvind i kanoten”... Och fredag efter jobbet: ”ner med persiennerna och upp med Pripps Blå”. Vad kan gå fel?,21,informal-21,
1016,informal,gpt-5.6,baseline,False,"Vilka är era bästa synonymer för ""full""?","Packad, dyngrak, plakat, på lyset, dragen, rund under fötterna, kanon och salongsberusad. ”Överförfriskad” är en personlig favorit.",24,informal-24,
1017,informal,gpt-5.6,human_like,False,"Vilka är era bästa synonymer för ""full""?","Packad, dragen, berusad, på lyset, rund under fötterna, salongsberusad, dyngrak, asplakat och kalasfull är några klassiker. ”Överförfriskad” är också fint om man vill låta lite diplomatisk 😄",24,informal-24,
1018,informal,gpt-5.6,detector_evasive,False,"Vilka är era bästa synonymer för ""full""?",På lyset. Packad. Plakat. Dyngrak. Rund under fötterna. I gasen. Salongsberusad om man vill låta lite fin. Annars är ”kalas” svårslaget... vem fattar inte direkt?,24,informal-24,
1019,informal,gpt-5.6,baseline,False,"Birk Borkason, det mest stereotypiska svenska namnet någonsin?",Knappast. Det låter mer som ett sagovärldsnamn än ett typiskt svenskt namn. Sven Svensson tar nog den titeln.,28,informal-28,
1020,informal,gpt-5.6,human_like,False,"Birk Borkason, det mest stereotypiska svenska namnet någonsin?","Nja, snarare det mest stereotypiskt Astrid Lindgren-svenska namnet någonsin. Birk är ju knappast ett vanligt svenskt namn och Borkason låter mer sagovärld än folkbokföring. 😄",28,informal-28,
1021,informal,gpt-5.6,detector_evasive,False,"Birk Borkason, det mest stereotypiska svenska namnet någonsin?",Nä. Birk Borkason låter mer Astrid Lindgren-saga än svensk folkbokföring. Sven Svensson eller Anders Andersson tar den titeln. Vem har ens träffat en Borkason...?,28,informal-28,
1022,informal,gpt-5.6,baseline,False,Alvedon tuggtablett. Någon som märkt hur äckliga dom är? [deleted],"Ja, de smakar typ krita med en aggressiv bärarom 😅 Men hellre det än att försöka svälja vanliga tabletter.",32,informal-32,
