Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.717172
Det är så brett så jag vet inte vart jag ska börja,0.7859191
Handledningsprocesser i Medarbetarsamtalet,0.8505012
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.916767
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.926432
Paulus lagsyn i Rom 3:21-31,0.8103366
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8571593
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.7405283
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.71275806
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.5928736
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.86641574
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.8673301
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.7376176
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.5682802
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.8750987
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.7141962
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.888517
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.721635
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.9149879
Artificiell intelligens - ANN och evolution i shooterspel,0.5913346
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.50204813
Användarverifiering från webbkamera,0.7909895
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.83119446
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.7629825
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.9314623
Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,0.8423935
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.8542582
En ny arbetsmarknadspolitik,0.85858977
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.75457144
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.8661206
"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",0.7915885
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.90961945
Handledningsprocesser i Medarbetarsamtalet,0.8566377
Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,0.820143
Att vara syskon eller partner till en person med ätstörningsproblematik,0.8638888
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.8196602
Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,0.7886704
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.61925334
Fytoremediering med perenn solros i åkerjord,0.81338835
Videokompression och användarnytta,0.7896985
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.77239406
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.749568
Eventbubblan i syd: En studie av Film i Skånes eventverksamhet,0.8878546
Vad är det för vits med humor i vården?,0.90409
Äldre och ensamhet: en kvalitativ studie om ensamhet bland äldre boende i eget hem och på servicehus,0.9064492
PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,0.8635969
Är en skola för alla bra för alla? - ur elevperspektiv,0.613996
Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,0.9486986
Finansiell riskredovisning,0.49216837
Differentiering – en möjlighet att möta elevers olika förutsättningar och behov,0.87360406
Metoder vid implementation av affärssystem: en studie om anpassning,0.58681417
"2006 (Swedish)Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",0.8428699
"Ingen kan göra allt, men alla kan göra något – en studie kring pedagogers uppfattning om sin kompetens i att möta barn i sorg",0.39137077
2005 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesis,0.8416817
2002 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,0.8879376
Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,0.7212751
Läroplanens konkreta spår i det pedagogiska arbetet,0.7101264
Balettmapp Kungliga Operan: Operahusens design och arkitektur,0.75111896
Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,0.74652976
En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,0.88991296
Datakvalitetsverktyg i datalager: Hur hanterar datakvalitetsverktyg datakvalitetsfaktorer?,0.7912861
Internetpoker: En studie i köpbeteendet hos pokerproffs,0.8195448
Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,0.84162307
En studie av inbyggda brandväggar: Microsoft XP och Red Hat Linux,0.8368095
Affärsrelationer vid elektronisk handel,0.7428695
Integration på två arbetsplatser,0.1819842
Innan den strukturella differentieringens tidevarv,0.76877546
Vad orsakar ilska?,0.8188627
Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,0.8269495
Etableringsstrategier på arbetsmarknaden: En intervjustudie av unga akademiker två år efter examen,0.8204
Matematik för alla?: Hur lärare arbetar med individualisering,0.8744184
Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter,0.82059145
Transkulturell omvårdnad,0.48724177
Om personalförmåner motiverar de anställda,0.8113825
JÄVLAR ANAMMA! EN STUDIE OM VÄGEN UT UR MISSBRUK / THE SPIRIT WITHIN. A STUDY ON THE WAY OUT OF DRUGADDICTION,0.7887428
Koordination och organisation: - två viktiga begrepp vid skapandet av en innehållsrik hemsida för kommunala myndigheter,0.78301513
KommunistJesus och Varumärke: Talet om Che Guevara,0.6752082
"Lärande på elevers villkor: En studie om lärande på omvårdnadsprogrammet, med fokus på medicinsk grundkurs",0.9142491
Sjuksköterskan och döden,0.85279673
Damtidningar: ett behov?: En studie om återköp,0.8761494
Anmälningsskyldighet för kuratorer på ungdomsmottagningar: en studie i hur ett urval kuratorer på ungdomsmottagningar förhåller sig i sitt möte med barn under 15 år som är sexuellt aktiva,0.84601456
Sexualundervisning på särgymnasiet,0.8242966
En studie om flickor och kvinnor på elektrikerutbildningen,0.9037099
Ingen rädder för vargen?: En kvantitativ innehållsanalys av tre tidningstyper med avseende på rapporteringen om varg,0.8085002
Pappersmakulatur vid Bobergs Tryckeri AB - orsaker och förbättringsförslag,0.813102
Balanserat styrkort i primärvården: En fallstudie om styrning med balanserat styrkort på KvaLita Närsjukvård AB,0.6864886
Ickeverbal kommunikation: Hur kontakt kan skapas med demensdrabbade genom beröring och genom musik,0.89164865
Vad är dyskalkyli?: En teoretisk-praktisk studie av dyskalkyli i skolan och om det är möjligt att bli hjälpt?,0.8895699
"Andersson, Anna-Karin",0.77580136
Verksamhetsanalys vid ett snickeriföretag – behov av organisationsanpassning vid expansion,0.7422124
Etik och ansvar. Sjuksköterskans upplevelse av inre etiskt ansvar i omvårdnaden,0.9029453
"Andersson, Annika",0.7001339
Sjuksköterskans upplevelser efter hot och våld i somatisk vård: en litteraturstudie,0.8896503
Kan iranska aktörer påverkas?: USA:s förmåga till strategiskt inflytande ur ett fältperspektiv,0.7587868
"Andersson, Bodil",0.59373975
Svårigheter i mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund: en litteraturstudie,0.67735434
Faktorer som kan påverka samarbetet mellan användare och systemutvecklare,0.9142117
Att vara eller inte vara: styrs uttaget av föräldraledighet av föreställningar eller faktiska förhållanden?,0.8832059
Organiserat samarbete mellan lärare och kollegor inom IKT-baserad distansundervisning,0.7988161
Är granskningen av 90-kontoinnehavare tillräcklig: Kritisk granskning av SFI:s rutiner,0.8606822
"Andersson, Caroline",0.21230368
Upplevelser av interaktionen mellan klient och socialsekreterare -sett ur ett maktperspektiv,0.7796124
Personalens uppfattning om och möjlighet att påverka måltidernas innehåll i en förskola,0.89733964
Att drabbas av prostatacancer: Männens upplevelser av sjukdomen,0.83644366
Lek en livsnödvändighet: Tänkande om lek i grundskolan och träningsskolan,0.9331028
Inlärningsstilar - ett sätt att individanpassa undervisningen?,0.69184
Framgångsfaktorer bakom gerillakrigföring,0.7853266
Straff- och offentligrättsliga legalitetsprincipen,0.68296707
Utveckling av ett företags marknadskommunikation med informationsteknik,0.7702875
Den ekologiska utvecklingen av Motala ström samt dess förutsättningar,0.7020733
Evaluering av neurala nätverk för en fotbollsspelande mobil robot,0.7094029
Stickrädsla- En kvalitativ studie om sjuksköterskans omvårdnad av patienter med stickrädsla,0.87382877
Frivillig information i delårsrapporter: Förekomsten av frivilligt offentliggjord information i delårsrapporter hos tio aktiebolag noterade på OMX Stockholmsbörsen,0.61877733
Uppföljningsarbetet av efterkalkyler på Portsystem 2000 AB,0.79288524
En jämförelse av olika kommunikationstekniker och systemarkitekturiska lösningar vid uppbyggnad av nätverk i naturen,0.6862054
Slöja i skolan?,0.40707716
Informationens betydelse i den preoperativa vården,0.9048293
You´ve got m@il: en studie om sambandet mellan e-post och effektiv kommunikation i en IT-intensiv organisation,0.9156643
Hur den förändrade sexualiteten kan påverka mannens självbild och relationer efter behandling av prostatacancer,0.9280049
"Andersson, Helena",0.6480364
Fysisk beröring för människans välbefinnande?,0.7869224
”Man kan vara sjuk och frisk samma dag”: En studie av psykiskt störda lagöverträdares rättsliga ställning,0.78252155
Det moderna arbetslivets krav ur ett vuxenutvecklingspsykologiskt perspektiv,0.82249403
Har Försvarsmakten behov av simuleringssystem för logistik?,0.6810739
En undersökning om perspektivet på Islam i tre nyhetsprogram,0.8995751
"Andersson, Jennie",0.899691
Medarbetarnas upplvelse av gruppdialogen enligt Amforas samtalsmodell,0.81360817
Daglig fysisk aktivitet för elever – en utmaning för alla lärare i grundskolan,0.88207567
Gymnasiematematik på distans: Varför så många avbryter sina distansstudier i matematik,0.7965192
Argument för och emot privat sjukvård,0.35063434
Hur budgeterar gaseller?: En studie om tillväxtens påverkan på budgetering i gasellföretag,0.7523006
Teambuilding: En analys av den svenska marknaden ur ett konsultperspektiv,0.58200204
Datorstödd musikproduktion och tyst kunnande: En studie i design för användbarhet,0.5910586
Stöd vid övervikt och fetma,0.95915854
Lageroptimering med hjälp av datautvinning ur datalager,0.72962666
"Andersson, Jonas",0.20965174
"Utvärdering av Malaria Antigen ELISA kit för diagnostik av malaria vid Christian Medical College and Hospital i Vellore, Indien.: en jämförande studie mellan Quantitative buffy coat och enzyme-linked immunosorbent assays (ELISA) metodik",0.753868
Uppmuntrar läroboken i matematik eleverna till att tänka självständigt?,0.8616862
"Palliativ vård Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.8313108
Säkerhetskapital En del av det Intellektuella Kapitalet,0.77528775
Innan den strukturella differentieringens tidevarv,0.7313259
"Matematik för alla?: Hur lärare arbetar med individualisering Alén, Leif",0.83905494
"Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter Blekinge Institute of Technology, School of Management.",0.833508
"Ickeverbal kommunikation: Hur kontakt kan skapas med demensdrabbade genom beröring och genom musik Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.90565974
Varför team? En fallstudie på tre företag.,0.7592993
Kartläggning och utvärdering av utbildningar: en svaghet i företag?,0.7266618
Kan iranska aktörer påverkas?: USA:s förmåga till strategiskt inflytande ur ett fältperspektiv Swedish National Defence College.,0.82811403
Inställningar till självläkning: - en studie av diskurser kring beroendeproblematik,0.65583587
"Svårigheter i mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund: en litteraturstudie Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.7218727
"Organiserat samarbete mellan lärare och kollegor inom IKT-baserad distansundervisning Blekinge Institute of Technology, School of Management. Blekinge Institute of Technology, School of Management.",0.7960142
”Ett papper som hamnar någonstans?” En kvalitativ undersökning om åtgärdsprogram i förskolan,0.6327331
"Upplevelser av interaktionen mellan klient och socialsekreterare -sett ur ett maktperspektiv Blekinge Institute of Technology, School of Management. Blekinge Institute of Technology, School of Management.",0.816002
"Att drabbas av prostatacancer: Männens upplevelser av sjukdomen Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.87336504
"Lek en livsnödvändighet: Tänkande om lek i grundskolan och träningsskolan Wiss Kvist, Ann-Christin",0.9396783
Framgångsfaktorer bakom gerillakrigföring Swedish National Defence College.,0.76209694
"Informationens betydelse i den preoperativa vården Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.9159924
"Hur den förändrade sexualiteten kan påverka mannens självbild och relationer efter behandling av prostatacancer Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.90689766
"Trouble Ticket ""Kommunikationen gav oss vind i seglen""",0.68997014
"Fysisk beröring för människans välbefinnande? Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.75097704
Har Försvarsmakten behov av simuleringssystem för logistik? Swedish National Defence College.,0.7129067
Hur utvecklas familjehemsvården vidare?: sikta mot något nytt och okänt eller använda gamla rutiner?,0.82560647
"Argument för och emot privat sjukvård Blekinge Institute of Technology, School of Management. Blekinge Institute of Technology, School of Management.",0.7989954
Expertkunskap och metakognition: experters förmåga till metakognitiv övervakning,0.7563865
"Stöd vid övervikt och fetma Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.9298308
Förmögenhetsbeskattning av onoterade aktier - är den ändamålsenligt utformad för den skatteskyldige?,0.57783747
Granvirkes permeabilitet beroende av dess fysikaliska utformning och applicerat färgsystem,0.85672796
Nutidens ventilationssystem i lantbrukets lösdriftstallar: En undersökning av sex stycken ventilationssystem,0.7429718
Jag är väl ingen sexuell? - En textanalys om barns sexualitet inom förskolans arena,0.8624381
Pojkar som skriver: En kvalitativ studie om vad som utmärker mer avancerade skrivare,0.88619345
”Och så händer det något som förändrar ens liv”: En antologi om omställningar i livet,0.64910966
