Title,Abstract,Generated_OpenAI_Abstract,WAIT -- keywords??,,,,,,,,,
Visionen om det narkotikafria samhället: En diskursanalys,"Syftet med denna uppsats är att belysa hur visionen om det narkotikafria samhället uppenbarar sig i diskurser som behandlar narkotikamissbruk som socialt problem. Empiriskt material i form av ett policydokument och en debattföljetong har analyserats utifrån ett socialkonstruktivistiskt och diskursanalytiskt perspektiv. Analysen pekar mot att definitionskampen om narkotikamissbruk som socialt problem finns över många diskurser, samtidigt ses visionen om det narkotikafria samhället ofta vara närvarande. En nationell diskurs som kan ses utgå från vad vi som nation anser och vill ha i vårt land. En moraldiskurs som lägger värde i olika beteenden och åsikter. En juridisk och polisiär diskurs som utifrån narkotikas juridiska status ramar in fenomenet och en barn-och ungdomsdiskurs som formulerar narkotikan som det största hotet. Alla dessa kan enligt studien ses som en del i konstruktionen av narkotikamissbruk som socialt problem.","Denna uppsats syftar till att undersöka hur föreställningen om ett narkotikafritt samhälle tar form i diskurser där narkotikamissbruk förstås som ett socialt problem. Som empiri används ett policydokument och en debattserie, vilka analyseras med ett socialkonstruktivistiskt och diskursanalytiskt angreppssätt. Resultaten visar att kampen om hur narkotikamissbruk ska definieras förs inom flera parallella diskurser, där visionen om det narkotikafria samhället återkommer som en genomgående utgångspunkt. Studien identifierar en nationell diskurs som tar avstamp i idéer om vad “vi” som land bör stå för, en moraldiskurs som värderar handlingar och hållningar, samt en juridisk/polisiär diskurs som med lagstiftningens ramar avgränsar fenomenet. Därtill framträder en barn- och ungdomsdiskurs som beskriver narkotika som ett särskilt allvarligt hot. Sammantaget bidrar dessa diskurser till att konstruera narkotikamissbruk som ett socialt problem.",,,,,,,,,,
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,"Arbetsmarknadens förändringar i form av högre arbetstakt, tillfälliga anställningar och krav på flexibla arbetsvillkor, gör att allt fler upplever stress i arbetslivet. Långvarig stress medför stora hälsorisker för individen. Eftersom många av dagens sjukskrivningar beror på stressrelaterade sjukdomar, såsom depression och utmattning är det viktigt att studera metoder för stresshantering på arbetsplatsen. Beröring i form av massage kan minska stress hos individer samt fungerar som ett komplement i behandlingen för stressrelaterade sjukdomar. Ett fältexperiment med 28 tjänstemän utfördes för att undersöka om en kortvarig massage på arbetstid kunde inverka positivt på den arbetsrelaterade stressen jämfört med en avslappningsövning och vanlig rast. Studien visade signifikant minskning av stressnivån efter massageinterventionen. Resultatet ger en antydan om att upplevelsen av stress går att reducera med hjälp av fysisk beröring. Stickprovets storlek samt förväntnings- effektens inverkan på resultatet diskuteras.","Förändringar på arbetsmarknaden, såsom ökat tempo, otrygga anställningar och krav på flexibilitet, gör att fler upplever stress i arbetet. Långvarig stress innebär betydande hälsorisker för individen. Då en stor del av dagens sjukskrivningar kopplas till stressrelaterade tillstånd, exempelvis depression och utmattningssyndrom, är det angeläget att undersöka effektiva insatser för stresshantering på arbetsplatsen. Beröring, i synnerhet massage, har visats kunna sänka stressnivåer och kan även utgöra ett komplement vid behandling av stressrelaterad ohälsa. I ett fältexperiment med 28 tjänstemän prövades om en kort massage under arbetstid kunde minska arbetsrelaterad stress jämfört med en avslappningsövning och en ordinarie rast. Resultaten visade en signifikant stressreduktion efter massageinsatsen. Fynden tyder på att upplevd stress kan dämpas genom fysisk beröring. Studien diskuterar även urvalets begränsade storlek samt hur förväntanseffekter kan ha påverkat resultaten.",,,,,,,,,,
Det är så brett så jag vet inte vart jag ska börja,"Syftet med studien är att få en fördjupad förståelse för hur pedagoger tolkar och utvecklar arbetet kring begreppet hållbar utveckling utifrån den kunskap de besitter. Teorier om kunskap och hållbar utveckling samt begreppet handlingskompetens är centrala delar i föreliggande studie. Studien utgår från en kvalitativ metod och är grundad på semistrukturerade intervjuer med sammanlagt sex pedagoger från två förskolor i södra Sverige. Studien utgår från två forskningsfrågor: (1) hur förhåller sig pedagoger till begreppet hållbar utveckling ur ett lärandeperspektiv samt (2) om normer och värderingar synliggörs, hur speglas dessa i pedagogernas arbete med kunskapsbildning för hållbar utveckling. Resultatet av studien visar att pedagogers uppfattningar av begreppet hållbar utveckling riktar sig åt de tre dimensionerna ekologisk, ekonomisk och social. Pedagogernas kunskapsbildning grundar sig i fortbildningen Grön flagg eller pedagogernas eget intresse. Främst sker lärandet för hållbar utveckling utifrån ämnen som kan göras konkreta för barnen, till exempel källsortering och skräpplockning. Pedagogerna beskriver situationer där barnens handlingskompetens speglas. Pedagogerna anser att de verkar som förebilder för barnen. Det är främst den normerande undervisningsformen som synliggörs i pedagogernas beskrivningar av arbetet för lärandet av hållbar utveckling. Den styrs av attityder och värderingar som är grunden för om de agerar för hållbar utveckling.","Syftet med denna studie är att fördjupa förståelsen för hur pedagoger uppfattar och vidareutvecklar arbetet med hållbar utveckling utifrån den kunskap och erfarenhet de har. Som teoretisk utgångspunkt används perspektiv på kunskap och hållbar utveckling, där även handlingskompetens utgör ett bärande begrepp. Studien genomförs med en kvalitativ ansats och bygger på semistrukturerade intervjuer med totalt sex pedagoger verksamma vid två förskolor i södra Sverige. Arbetet tar avstamp i två forskningsfrågor: (1) hur pedagoger relaterar till begreppet hållbar utveckling ur ett lärandeperspektiv samt (2) på vilket sätt normer och värderingar, när de framträder, kommer till uttryck i pedagogernas arbete med kunskapsbildning för hållbar utveckling. Resultaten visar att pedagogernas förståelse av hållbar utveckling främst knyts till de tre dimensionerna ekologisk, ekonomisk och social. Kunskapsbildningen i verksamheterna hämtar näring från fortbildningsinsatsen Grön flagg och/eller pedagogernas egna intressen. Lärandet om hållbar utveckling sker framför allt genom aktiviteter som görs begripliga och konkreta för barnen, exempelvis sortering av avfall och att plocka skräp. Pedagogerna ger exempel på situationer där barnens handlingskompetens blir synlig. De beskriver också sin roll som förebilder i vardagen. I materialet framträder främst en normerande undervisning, där attityder och värderingar påverkar hur och om pedagogerna agerar för hållbar utveckling.",,,,,,,,,,
Handledningsprocesser i Medarbetarsamtalet,"I detta arbete har jag tittat på handledning på arbetsplatser. Handledning är idag ett svårdefinierbart begrepp som används allt mer på arbetsplatser. Syftet med detta arbete är att studera handledning och olika handledningsprocesser och se hur man skulle kunna använda sig av dem på arbetsplatser och i medarbetarsamtalet. Jag kommer att avgränsa mig genom att titta på momentet som rör medarbetarens utveckling i medarbetarsamtalet. I min teoretiska utgångspunkt har jag utgått ifrån att det kan förekomma handledning i medarbetarsamtalet, men att man inte kan se hela samtalet som handledning. För att undersöka detta har jag intervjuat 8 personer, fördelat på 2 arbetsplatser, om medarbetarsamtalet. Hälften har varit chefer och hälften medarbetare. I intervjuerna har det framkommit att man definitivt kan se handledande förhållningssätt i medarbetarsamtalet på båda företagen och att man också kan använda sig av de metoder och tankesätt som finns inom handledning för att utveckla medarbetarsamtalet ytterligare. Om man säger att själva medarbetarsamtalet i sig inte är handledning fullt ut, men att man kan se handledning förekomma på arbetsplatser, så skulle man kunna säga att medarbetarsamtalet är själva startskottet för den handledning som sedan sker under det dagliga arbetet. En utgångspunkt för medarbetare och chefer där man på medarbetarsamtalet har stämt av varandras förväntningar och samtyckt om var det behövs utveckling samt hur arbetet fungerar i stort på arbetsplatsen. Utefter detta kan man sedan arbeta med dessa saker i det dagliga arbetet under tiden till nästa medarbetarsamtal.","I den här studien har jag undersökt hur handledning tar form på arbetsplatser. Handledning är i dag ett begrepp som används allt oftare, men som samtidigt kan vara svårt att ringa in. Arbetets syfte är att belysa handledning och olika handledningsprocesser samt att pröva hur dessa skulle kunna tillämpas i arbetslivet, särskilt i samband med medarbetarsamtal. Jag avgränsar undersökningen till den del av medarbetarsamtalet som handlar om medarbetarens utveckling. Min teoretiska utgångspunkt är att handledande inslag kan förekomma i medarbetarsamtalet, men att hela samtalet inte nödvändigtvis kan beskrivas som handledning. För att undersöka detta har jag genomfört intervjuer med åtta personer på två olika arbetsplatser, där fyra var chefer och fyra var medarbetare, med fokus på deras erfarenheter av medarbetarsamtalet. Resultaten visar att ett handledande förhållningssätt tydligt kan urskiljas i medarbetarsamtalen på båda arbetsplatserna, och att metoder och perspektiv från handledningsfältet kan bidra till att vidareutveckla samtalens innehåll och kvalitet. Även om medarbetarsamtalet inte fullt ut kan likställas med handledning, tyder resultaten på att det kan fungera som en utgångspunkt för fortsatt handledning i vardagsarbetet. Genom att i samtalet klargöra förväntningar, enas om utvecklingsbehov och skapa en gemensam bild av arbetssituationen kan chef och medarbetare sedan arbeta vidare med dessa frågor i det dagliga arbetet fram till nästa medarbetarsamtal.",,,,,,,,,,
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,"I Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan utförs en argumentationsanalys, baserad på hermeneutiks metod och kvalitativ textanalys, av debattartiklar som behandlat frågan som Svenska kyrkan ska behålla vigselrätten efter att svenska staten har gjort äktenskapsbalken könsneutral. Alla undersökta debattartiklar är publicerade mellan 2008-12-11 och 2009-10-31 i Kyrkans tidning och Dagens Nyheter. I resultatanalysen framgår det att både ja- och nej-sidan använder sig av ungefär samma typer av argument men med olika vinklingar och tolkningar. Nej-sidan använder sig dock mer av ett toleransperspektiv än ja-sidan. I ja-sidans argumenterande kan man hitta en underliggande normkritik av heteronormativiteten.","I studien *Samkönade äktenskap – ska Svenska kyrkan ha kvar vigselrätten eller inte* genomförs en argumentationsanalys med hermeneutisk ansats och kvalitativ textanalys av debattartiklar som behandlar frågan om Svenska kyrkan bör behålla rätten att viga efter att staten gjort äktenskapslagen könsneutral. Materialet består av texter publicerade i *Kyrkans tidning* och *Dagens Nyheter* under perioden 2008-12-11 till 2009-10-31. Resultaten visar att förespråkare och motståndare i stor utsträckning lutar sig mot liknande argumentkategorier, men ger dem skilda betydelser genom olika perspektiv och tolkningar. Motståndarsidan betonar dock toleransargument i högre grad än förespråkarna. I ja-sidans resonemang kan dessutom en implicit kritik mot heteronormativa föreställningar urskiljas.",,,,,,,,,,
"Kön, sexualitet, etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker","I uppsatsen kopplas styrdokumentens uppmaning om undervisning kring intersektionalitet med det innehåll som finns i religionskunskapsläroböcker för gymnasiet som publicerats efter gymnasiereformen 2011. Syftet var att studera om läroböckerna tar upp intersektionalitet uttalat eller indirekt och/eller om de olika kategorierna kön, sexualitet, socioekonomisk bakgrund och etnicitet behandlas var för sig samt i vilka sammanhang det i sådana fall sker. Tre frågeställningar formulerades. Den första handlade om hur gymnasiets religionsläroböcker med utgivning från och med 2011 beskriver förhållandet mellan världsreligionerna och kategorierna kön, sexualitet, socioekonomisk bakgrund och etnicitet. Den andra frågan handlade om i vilka andra sammanhang (kapitel) de olika kategorierna beskrivs i läroböckerna. Den tredje frågan gällde vad som tas upp om själva begreppet samt fenomenet intersektionalitet i dessa religionsläroböcker.","I studien relateras styrdokumentens krav på undervisning om intersektionalitet till det innehåll som presenteras i religionskunskapsläroböcker för gymnasieskolan utgivna efter Gy 2011. Syftet var att undersöka om läroböckerna berör intersektionalitet explicit eller implicit och/eller om kategorier som kön, sexualitet, socioekonomiska villkor och etnicitet behandlas separat, samt i vilka sammanhang detta sker. Arbetet utgick från tre forskningsfrågor. Den första rörde hur religionsläroböcker publicerade från 2011 och framåt framställer relationen mellan världsreligionerna och nämnda kategorier. Den andra fokuserade på i vilka andra delar av böckerna (exempelvis kapitel) dessa kategorier tas upp. Den tredje behandlade vad läroböckerna förmedlar om själva begreppet och företeelsen intersektionalitet.",,,,,,,,,,
Paulus lagsyn i Rom 3:21-31,Denna uppsats behandlar Paulus syn pa? lagen vilket a?r ett mycket omdebatterat omra?de inom paulusforskningen. Fra?gan om Paulus lagsyn a?r sa? central fo?r den o?vergripande paulustolkingen att alla som vill fo?rsta? Paulus och hans texter ma?ste bilda sig en uppfattning om detta. Det har skrivits ma?nga hyllmeter och diskussionen verkar la?ngt ifra?n avslutad. Fra?gan kra?ver dock tydliga avgra?nsningar fo?r att kunna behandlas i denna relativt korta uppsats. Da?rfo?r kommer jag fokusera pa? en perikop i ett av Paulus brev som behandlar denna fra?ga. Min fra?gesta?llning blir da?: Vad menar Paulus med ”lagen” i Rom 3:21-31? ,"Denna uppsats undersöker Paulus förståelse av lagen, ett av de mest omstridda fälten inom paulusforskningen. Eftersom frågan om Paulus lagsyn är så avgörande för den bredare tolkningen av hans teologi menar många att den som vill förstå Paulus och hans brev måste ta ställning i ämnet. Forskningen är omfattande och debatten tycks fortfarande långt ifrån avgjord. Samtidigt kräver ämnet tydliga avgränsningar för att kunna behandlas inom ramen för en relativt kort studie. Därför avgränsar jag mig till en specifik textenhet i ett av Paulus brev där lagen står i centrum. Min frågeställning blir: Vad avser Paulus med begreppet ”lagen” i Rom 3:21–31?",,,,,,,,,,
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,"Ämnet för denna undersökning är de teologiska perspektiven runt två gudomligförklarade kungar i det forntida Mesopotamien, nämligen den gammalakkadiske kungen Naram-Sin (ca. 2254-2218 f.kr.) och den nysumeriske kungen Shulgi (ca. 2094-2047 f.kr.). De teologiska perspektiven behandlas här med hjälp av en induktionsbaserad historisk undersökning som utgår från vad olika forskare har skrivit i ämnet. Eftersom detta är en c-uppsats och det inte har varit möjligt att använda sig av primärkällor såsom arkeologiskt material och historiska källor på originalspråk så utgår denna undersökning uteslutande från forskningslitteratur. Undersökningen består av tre delar, i de två första delarna behandlas de teologiska perspektiven på kungarna var för sig och i det tredje görs en jämförelse mellan perspektiven. Undersökningens upplägg ser ut på så sätt att först har det gjorts observationer av vad som står om de teologiska perspektiven på monarkerna i de olika forskarnas verk. Sedan har perspektiven brutits ner i olika delämnen och därefter har informationen om dem sorterats in i de olika delämnena. Utifrån detta försöker sedan undersökningen att skissa fram en bild av de teologiska perspektivens karaktär. Uppsatsens tyngdpunkt ligger framförallt på att peka på olika tendenser i de religiösa föreställningarna runt dem med avseende på vilka teman de kretsar kring. I undersökningen framkommer det att perspektiven är ganska spretiga och går i många olika riktningar och även att det finns skillnader och likheter i perspektiven mellan kungarna. Två teman som dock ofta återkommer är fruktbarhet och himlen.","Denna studie behandlar teologiska tolkningar av två kungar i forntida Mesopotamien som gudomligförklarades: den gammalakkadiske härskaren Naram-Sin (ca 2254–2218 f.Kr.) och den nysumeriske kungen Shulgi (ca 2094–2047 f.Kr.). Perspektiven undersöks genom en induktivt upplagd historisk analys som tar sin utgångspunkt i hur ämnet har behandlats inom tidigare forskning. Då arbetet är utformat som en c-uppsats och därför inte kunnat baseras på primärmaterial, såsom arkeologiska fynd eller källtexter på originalspråk, bygger undersökningen uteslutande på sekundärlitteratur. Framställningen är uppdelad i tre avsnitt: två delar där respektive kung studeras var för sig och en avslutande del där resultaten ställs mot varandra i en jämförande analys. Metoden innebär att relevanta utsagor om kungarnas teologiska framställning först identifieras i forskarnas arbeten, därefter delas upp i tematiska delområden och slutligen ordnas för att synliggöra mönster. Med detta som grund försöker studien formulera en sammanhängande bild av hur de teologiska perspektiven ser ut och vilka drag som präglar dem. Särskild vikt läggs vid att urskilja återkommande tendenser i föreställningsvärlden och vilka motiv som dominerar framställningarna. Resultaten visar att tolkningarna är mångfacetterade och ibland motsägelsefulla, samtidigt som både skillnader och beröringspunkter mellan kungarna framträder. Två motiv som ofta återkommer är fruktbarhet och himmelsanknytning.",,,,,,,,,,
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,"Denna studie syftar till att undersöka vad blivande lärare och aktiva lärare har för attityder tillskolavslutning och högtidsfirande i kyrkan samt skolavslutning och högtidsfirande i kyrkan medkonfessionella inslag. Studien baseras på en internetenkät som blivande lärare och aktiva läraresvarat på. Resultatet visar att den största andelen av de aktiva lärarna och blivande lärarna varpositiva till vistelsen i kyrkolokalerna i samband med skolavslutningar och högtidsfirande. Denstörsta andelen var däremot negativa till företeelsen med konfessionella inslag vid dessahögtidsfiranden. Äldre aktiva lärare och blivande lärare var i högre grad positiva till bådevistelsen i kyrkan och de konfessionella inslagen än de yngre. Slutsatserna är att sekulariseringeni Sverige ser ut att fortsätta i linje med de reviderade sekulariseringsteorierna, då konfessionalitetinte länge ses som något önskvärt bland den största andelen av aktiva lärare och blivande lärare.Dock finns det också nämnvärda avvikelser från detta mönster. Kyrkan fortsätter samtidigt ha ensekulär, traditionsbunden roll i skolan och är därför fortfarande relevant.","Denna studie undersöker vilka attityder lärarstudenter och verksamma lärare har till skolavslutningar och högtidsfiranden som hålls i kyrkan, samt till motsvarande arrangemang där konfessionella inslag förekommer. Undersökningen bygger på en webbaserad enkät besvarad av både blivande och aktiva lärare. Resultaten visar att en majoritet i båda grupperna är positivt inställda till att använda kyrkorummet i samband med avslutningar och högtider. Däremot är den dominerande hållningen negativ när firandet innehåller konfessionella moment. Äldre deltagare, både bland verksamma lärare och lärarstudenter, uppvisar generellt en mer positiv inställning till såväl kyrkförläggning som konfessionella inslag jämfört med yngre. Studien drar slutsatsen att sekulariseringsprocessen i Sverige tycks fortgå i enlighet med reviderade sekulariseringsteorier, eftersom konfessionalitet i stor utsträckning inte uppfattas som önskvärd. Samtidigt framträder tydliga undantag från mönstret. Kyrkan tycks dessutom behålla en främst sekulär och traditionsbärande funktion i skolans sammanhang, vilket gör den fortsatt betydelsefull.",,,,,,,,,,
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,"En stor del av Sveriges bebyggelse har byggts mellan 1965 och 1974 eftersom det rådde stor bostadsbrist i Sverige. Regeringen beslutade att en miljon bostäder skulle uppföras under denna tid, det s.k. miljonprogrammet. Det byggdes bostäder i varierande former och storlekar för att bygga bort bostadsbristen. Storskaligheten och en stor grad av upprepning av identiska hus är kännetecken för miljonprogrammets bebyggelser. Nu är det dags att renovera dessa byggnader. I och med att dessa byggnader är av allmänt intresse då de speglar en del av Sveriges arkitekturhistoria ställer kommunerna vissa krav vid renovering av dem. Det kommunala företaget Gavlegårdarna i Gävle tar initiativ till att utveckla bygglovsprocessen för sådana bebyggelser. Detta görs för att reducera tiden för framställande av ett godkänt bygglov samt effektivisera och underlätta kommunikationen med kommunen under hela projektet. För att kunna bevara dessa byggnader i högsta möjliga mån har Gavlegårdarna utarbetat en effektiviseringsprocess genom att hyra in en extern bevarandeexpert för att fungera som en bro mellan företaget och kommunen samt för att kunna dela med sig av sina erfarenheter gällande bevarandet av det eventuella området. Dessutom har Gavlegårdarna låtit kommunen vara med från ett tidigt skede, d.v.s. redan från den första presentationen av förslaget. Därmed har kommunen fått vara med och medverka i förslaget, redan innan bygglovsansökan.","En betydande del av den svenska bostadsstocken uppfördes under åren 1965–1974, då landet präglades av en omfattande bostadsbrist. Som svar fattade staten beslut om att bygga en miljon nya bostäder under perioden, det som kom att kallas miljonprogrammet. För att snabbt minska underskottet uppfördes bostäder i olika typer och storlekar, men områdena kom ofta att kännetecknas av storskalighet och ett tydligt upprepande av likartade byggnader. I dag står många av dessa hus inför ett stort renoveringsbehov. Samtidigt betraktas bebyggelsen som ett allmänintresse eftersom den representerar en viktig del av Sveriges arkitektur- och samhällshistoria, vilket innebär att kommunerna ofta ställer särskilda krav vid ombyggnationer. I Gävle har det kommunala bostadsbolaget Gavlegårdarna tagit initiativ till att vidareutveckla bygglovsprocessen för renovering i miljonprogramsområden. Syftet är att korta tiden fram till beviljat bygglov och att göra dialogen med kommunen mer effektiv genom hela projektet. För att stärka möjligheterna att bevara kulturhistoriska värden har Gavlegårdarna utformat en mer strukturerad arbetsmetod där en extern bevarandespecialist anlitas som länk mellan bolaget och kommunen och som stöd i bedömningar kopplade till området. Därutöver involveras kommunen tidigt, redan vid den första presentationen av förslaget, vilket skapar möjlighet till samverkan och justeringar innan själva bygglovsansökan lämnas in.",,,,,,,,,,
