item_id,register,generator,condition,is_human,text,predicted,confidence,reasoning,correct
1001,informal,gpt-5.6,baseline,False,Ett par riktigt bra hörlurar och en gjutjärnspanna. Vuxenpoängen börjar tydligen trilla in på allvar nu. 😅.........,MÄNNISKA,92,"Kommentaren har en vardaglig och personlig ton med uttryck som 'riktigt bra' och 'vuxenpoängen trilla in', vilket känns naturligt och humoristiskt. Användningen av emoji förstärker det mänskliga intrycket. Texten saknar generiska AI-fraser, stavfel eller formella konstruktioner. Den känns genuin och spontan, med specifika föremål som hörlurar och gjutjärnspanna, vilket tyder på en personlig upplev",False
1002,informal,gpt-5.6,human_like,False,"Ett par riktigt bra hörlurar och den obligatoriska lådan med strumpor. Ärligt talat mest nöjd med strumporna, vuxenpoäng...",MÄNNISKA,90,"Texten har en personlig, humoristisk och vardaglig ton med uttryck som ”vuxenpoängen” och ”obligatoriska lådan med strumpor”. Den känns genuin och situationsspecifik, inte generisk. Det finns inga stavfel, men språket är ledigt och naturligt med en tydlig avsändarröst.",False
1003,informal,gpt-5.6,detector_evasive,False,"En gjutjärnspanna från Skeppshult, två par ullsockor och Elden Ring. Har tydligen nått åldern där en bra stekpanna känns...",MÄNNISKA,90,"Kommentaren innehåller specifika, personliga detaljer som märket Skeppshult, ullsockor och spelet Elden Ring, vilket ger ett genuint intryck. Uttrycket 'känns som jackpot' är vardagligt och humoristiskt, med en självreflekterande ton över åldrandet. Texten saknar generiska formuleringar och låter som en naturlig mänsklig reflektion snarare än AI-genererad text. Stavningen är korrekt men inte onatu",False
1004,informal,gpt-5.6,baseline,False,"Du är definitivt inte ensam om att fira solo! Njut av egentiden, dra på favoritmusiken och varva gärna med lite vatten. ...",MÄNNISKA,75,"Texten har en naturlig, vardaglig och personlig ton med uttryck som 'dra på favoritmusiken' och 'egentiden'. Den riktar sig direkt till en individ och känns genuin snarare än generisk. Emojin och den uppmuntrande hälsningen bidrar till ett mänskligt, informellt tilltal. Inga stavfel, men det är inte heller onaturligt perfekt. Helheten påminner om hur en vän skulle svara i en forumkontext.",False
1005,informal,gpt-5.6,human_like,False,"Haha, låter ändå rätt gött? Jag kör också solo ikväll med några öl, musik och noll krav. Gott nytt på dig! 🍻.........",MÄNNISKA,96,"Kommentaren har en tydligt informell och vardaglig ton med 'Haha', 'rätt gött' och en emoji. Den innehåller personliga referenser som att dricka öl och spela musik utan krav, vilket ger ett genuint och spontant intryck. Språket är naturligt och flytande utan att kännas generiskt eller överdrivet korrekt. Inga typiska AI-mönster som formella fraser eller artificiell optimism finns.",False
1006,informal,gpt-5.6,detector_evasive,False,"Känner igen det där. Sätt på SVT, häll upp nåt gott och dra igång en Discord-tråd här? Ensamkväll är inte fel heller... ...",MÄNNISKA,95,"Kommentaren har en tydligt vardaglig och personlig ton med uttryck som 'nåt gott', 'dra igång' och 'halvdant nyårsgäng'. Den innehåller spontana referenser till egna planer och en uppmaning till dialog, vilket känns genuint. Språket flyter naturligt utan generiska formuleringar eller överdrivet korrekt men opersonligt språk, vilket talar för att det är skrivet av en människa.",False
1007,informal,gpt-5.6,baseline,False,"Verkar tyvärr inte så. TV.nu brukar ha rätt kompletta tablåer, men kolla SVT Play – där kan åtminstone Svensson, Svensso...",MÄNNISKA,82,"Texten har en naturlig, informell och talspråklig ton med uttryck som ”verkar tyvärr inte så” och ”kolla SVT Play”. Den innehåller en specifik och personlig referens till TV-serien ”Svensson, Svensson” och till tjänsten TV.nu, vilket ger ett genuint intryck. Kommentaren saknar typiska AI-kännetecken som överdriven formalitet, generiska formuleringar eller upprepningar. Språket är ledigt och kontex",False
1008,informal,gpt-5.6,human_like,False,"Verkar tyvärr inte så, hittar inget jag heller. Möjligen finns de på SVT Play, men i vanliga tablån ser det rätt tomt ut...",MÄNNISKA,95,"Kommentaren har en vardaglig och personlig ton med uttryck som 'hittar inget jag heller' och 'tablån' (talspråklig plural). Den är kort, koncis och uttrycker en subjektiv besvikelse, vilket är typiskt för mänskligt forumsspråk. Inga generiska fraser eller formella strukturer förekommer, och meningsbyggnaden är naturlig med lite informell grammatik. Därför bedöms texten som genuin mänsklig.",False
1009,informal,gpt-5.6,detector_evasive,False,"Ser inte ut så. SVT:s egen tablå har inget heller. Svensson, Svensson finns på SVT Play. Wallace & Gromit får man hyra e...",MÄNNISKA,87,"Texten har en tydligt informell och vardaglig ton med uttryck som 'en sån kväll' och 'trist'. Den innehåller specifika kulturella referenser (SVT Play, Wallace & Gromit) som känns personliga och genuina, inte generiska. Retoriska frågor och en naturlig rytm bidrar till en autentisk mänsklig röst. Inga typiska AI-markörer som överslätande formuleringar eller neutralt språk.",False
1010,informal,gpt-5.6,baseline,False,"Jag kör ofta med ”full kastrull”, ”nu blir det åka av”, ”inte den snabbaste mopeden på campingen”, ”han har inte alla hä...",MÄNNISKA,92,"Kommentaren har en personlig och informell ton med referenser till egna språkvanor ('Jag kör ofta med...'). Uttrycken är vardagliga och naturligt sammanfogade, utan generiska AI-fraser. Även om stavfelen saknas, känns texten genuin och specifik, som ett spontant forumtillägg om svenska talesätt, vilket talar för mänskligt ursprung.",False
