item_id,register,generator,condition,is_human,text,predicted,confidence,reasoning,correct
5,formal,gpt-5.6,baseline,False,Hållbar utveckling är ett omfattande och komplext område som kan upplevas svårt att omsätta i förskolans undervisning. D...,AI,80,"Texten är språkligt felfri och välstrukturerad, men har en generisk och mallartad ton som är typisk för AI. Den följer en strikt logisk uppbyggnad (bakgrund, syfte, resultat, slutsats) men saknar helt metodologisk förankring, såsom hur studien faktiskt genomfördes eller vilka metoder som användes. Användningen av övergångsord som 'Sammanfattningsvis' och bristen på specifika, konkreta detaljer frå",True
15,formal,gpt-5.6,baseline,False,"Denna kandidatuppsats undersöker hur kön, sexualitet, etnicitet och socioekonomisk bakgrund framställs i religionslärobö...",AI,90,"Texten är extremt välpolerad och följer en närmast perfekt, mallartad struktur för ett abstrakt (syfte, metod, fokus, slutsats, relevans). Språket saknar helt de små stilistiska ojämnheter, upprepningar eller något klumpiga formuleringar som nästan alltid förekommer i studentuppsatser på kandidatnivå. Terminologin är korrekt men väldigt generisk för ämnet. Det jämna, felfria flytet och avsaknaden ",True
25,formal,gpt-5.6,baseline,False,Denna kandidatuppsats undersöker Paulus syn på lagen i Romarbrevet 3:21–31. Syftet är att analysera hur Paulus beskriver...,AI,50,"```json
{
  ""classification"": ""AI"",
  ""confidence"": 75,
  ""reasoning"": ""Texten uppvisar en extremt polerad och perfekt",True
35,formal,gpt-5.6,baseline,False,Denna kandidatuppsats undersöker gudomligförklaringen av två kungar i det forntida Mesopotamien med fokus på de teologis...,AI,95,"Texten har en felfri men mycket mallartad akademisk struktur, typisk för AI. Språket flyter perfekt med standardiserade övergångar ('Denna kandidatuppsats undersöker', 'Genom en jämförelse', 'Uppsatsen visar därmed'). Det tydligaste tecknet på AI-generering är dock den totala avsaknaden av specifika detaljer: texten nämner 'två kungar' utan att namnge vilka de är (exempelvis Naram-Sin eller Shulgi",True
45,formal,gpt-5.6,baseline,False,Denna studie undersöker lärares och lärarstudenters attityder till att förlägga skolavslutningar och andra högtidsfirand...,AI,85,"Texten uppvisar en närmast perfekt, men mycket mallartad akademisk struktur. Fraser som 'Studien bidrar därmed till en fördjupad förståelse' och användningen av 'möjligheter och utmaningar' är mycket typiska för AI-genererad text. Meningsbyggnaden är extremt polerad och följer ett klassiskt mönster (ämne, fokus, bakgrund, metod, bidrag) helt utan de små språkliga egenheter, metodologiska detaljer ",True
55,formal,gpt-5.6,baseline,False,Denna studie undersöker hur bygglovsprocessen vid ändring av kulturhistoriskt värdefull bebyggelse kan effektiviseras ut...,MÄNNISKA,75,"Texten uppvisar en exakt fackterminologi ('antikvarisk kompetens', 'krav på varsamhet') och en specifik förankring i en svensk, lokal kontext (Gavlegårdarna, Gävle) som känns genuint empirisk. Även om strukturen är mycket stram och formaterad på ett sätt som påminner om AI, är det också exakt den mall som studenter uppmanas att följa för ett abstrakt. Avsaknaden av fluffiga, generella utfyllnadsor",False
65,formal,gpt-5.6,baseline,False,"Denna kandidatuppsats undersöker hur 1800-talets London gestaltas i det digitala verket London Crysis, skapat med utgång...",AI,90,"Texten uppvisar en extremt mallartad och perfekt strukturerad akademisk form, vilket är typiskt för AI-genererade abstrakt. Den följer en strikt progression från syfte och metod till resultat och bidrag, utan de små språkliga ojämnheter eller personliga formuleringar som ofta finns i kandidatuppsatser. Ordvalen är formella men generiska, och avsaknaden av specifika teoretiska referenser eller mer ",True
75,formal,gpt-5.6,baseline,False,Denna kandidatuppsats undersöker hur olika kameraperspektiv påverkar förståelsen av 3D-animerat svenskt teckenspråk i en...,AI,50,"{
  ""classification"": ""AI"",
  ""confidence"": 90,
  ""reasoning"": ""Texten uppvisar en polerad men mekanisk struktur som är mycket typisk för språkmodeller. En stor andel av meningarna inleds med snarlika",True
85,formal,gpt-5.6,baseline,False,Denna kandidatuppsats undersöker motiven bakom användningen av tredimensionella visualiseringar i kommunal fysisk planer...,MÄNNISKA,85,"Texten uppvisar en mycket specifik fackterminologi ('detaljplaneprocessen', 'exploatörer', 'planhandlingar') som används helt korrekt utifrån en svensk kontext. Meningsbyggnaden är varierad och har ett naturligt akademiskt flyt. Den saknar det överdrivet säljande språket, de tillgjorda metaforerna eller de repetitiva övergångsorden som ofta avslöjar AI-genererade texter. Helhetsintrycket är ett ge",False
95,formal,gpt-5.6,baseline,False,Den snabba utvecklingen av webbaserad 3D-teknik skapar nya möjligheter för hur produkter kan presenteras inom e-handeln....,AI,50,"```json
{
  ""classification"": ""AI"",
  ""confidence"": 85,
  ""reasoning"": ""Texten uppvisar en felfri men mycket mallartad struktur (inledning, syfte, avvägning, slutsats) som är starkt kännetecknande för",True
105,formal,gpt-5.6,baseline,False,Akutpreventivmedel används för att förebygga graviditet efter oskyddat samlag eller när en preventivmetod har misslyckat...,AI,50,"{
  ""classification"": ""AI"",
  ""confidence"": 85,
  ""reasoning"": ""Texten uppvisar en mycket mallartad, felfri och polerad struktur typisk för AI-genererade sammanfattningar. Fraser som 'Syftet med denna",True
115,formal,gpt-5.6,baseline,False,Procedurella texturer används inom datorgrafik för att skapa visuella ytor genom algoritmer i stället för genom traditio...,AI,75,"Texten är språkligt felfri och följer en extremt tydlig, mallartad akademisk struktur med standardformuleringar som 'Denna uppsats undersöker' och 'Studien belyser'. Det som starkast indikerar AI är avsaknaden av konkreta, specifika resultat. I stället för att redovisa mätvärden eller faktiska observationer från experimentet, beskrivs resultatet i mycket generella ordalag ('visar hur genetiska alg",True
125,formal,gpt-5.6,baseline,False,Denna kandidatuppsats behandlar utvecklingen av ett biometriskt system för användarverifiering med hjälp av bilder från ...,MÄNNISKA,85,"Texten uppvisar en koncis och saklig akademisk ton som är mycket typisk för en svensk kandidatuppsats inom teknik. Den undviker de svepande introduktioner och överdrivna övergångsord som ofta kännetecknar AI-genererad text (som t.ex. 'I en alltmer digitaliserad värld'). Meningsbyggnaden är varierad men stram, och beskrivningen av metodiken känns specifik, direkt och autentiskt författad av en stud",False
135,formal,gpt-5.6,baseline,False,Denna kandidatuppsats undersöker hur ett beslutsstödssystem kan stödja Migrationsverkets arbete med att anvisa ensamkomm...,AI,85,"Texten uppvisar en extremt polerad och felfri struktur som är mycket typisk för AI-genererade sammanfattningar. Meningsbyggnaden är formelartad med standardiserade akademiska övergångar ('Studien fokuserar på', 'Med utgångspunkt i', 'Samtidigt framhålls', 'Studien visar därmed'). Även om ordförrådet är relevant, saknas de små språkliga ojämnheter, onödiga utfyllnadsord eller personliga stilval som",True
145,formal,gpt-5.6,baseline,False,"Matsvinn utgör ett betydande miljöproblem eftersom produktion, transport och hantering av livsmedel kräver stora mängder...",AI,90,"Texten är språkligt felfri och följer en extremt tydlig, mallartad akademisk struktur. Den saknar dock specifik metodologisk information, såsom hur studien faktiskt genomfördes eller antalet informanter. Istället listar den allmänna faktorer på ett svepande sätt. Denna 'perfekta' men något generiska och övergripande framställning utan metoddetaljer är mycket typisk för text genererad av en språkmo",True
155,formal,gpt-5.6,baseline,False,Bakgrund: Graviditeten är en period då många kvinnor blir mer uppmärksamma på sina matvanor. Kosten förknippas både med ...,AI,85,"Texten är språkligt felfri och följer en strikt akademisk mall, men saknar specifika metoddetaljer som nästan alltid finns i riktiga uppsatser, såsom antalet intervjuade informanter (t.ex. n=10) eller specifik urvalsmetod. Formuleringar som 'formas i ett samspel' och den generiska sammanfattningen av resultatet utan konkreta citat eller data gör att texten känns syntetisk och typisk för AI-generer",True
