Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.6452258
Det är så brett så jag vet inte vart jag ska börja,0.8160053
Handledningsprocesser i Medarbetarsamtalet,0.81522036
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.91922843
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.85405743
Paulus lagsyn i Rom 3:21-31,0.84062713
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8674488
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.8328459
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.71266866
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.7183319
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.8044857
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.87973696
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.7860755
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.56672555
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.8231476
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.8381264
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.8234168
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.575804
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.91936934
Artificiell intelligens - ANN och evolution i shooterspel,0.6669855
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.40594497
Användarverifiering från webbkamera,0.82737017
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.7878094
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.6865988
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.87069494
Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,0.75395507
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.8297368
En ny arbetsmarknadspolitik,0.8052319
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.78106415
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.8879668
"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",0.75621974
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.9302365
Handledningsprocesser i Medarbetarsamtalet,0.79512316
Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,0.7864484
Att vara syskon eller partner till en person med ätstörningsproblematik,0.8705136
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.8451016
Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,0.7271247
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.5964258
Fytoremediering med perenn solros i åkerjord,0.6099287
Videokompression och användarnytta,0.802107
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.8227989
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.8372312
Eventbubblan i syd: En studie av Film i Skånes eventverksamhet,0.92210585
Vad är det för vits med humor i vården?,0.8921066
Äldre och ensamhet: en kvalitativ studie om ensamhet bland äldre boende i eget hem och på servicehus,0.9504011
PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,0.83772117
Är en skola för alla bra för alla? - ur elevperspektiv,0.6121818
Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,0.9248783
Finansiell riskredovisning,0.68606925
Differentiering – en möjlighet att möta elevers olika förutsättningar och behov,0.81949866
Metoder vid implementation av affärssystem: en studie om anpassning,0.63026065
"2006 (Swedish)Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",0.78442836
"Ingen kan göra allt, men alla kan göra något – en studie kring pedagogers uppfattning om sin kompetens i att möta barn i sorg",0.6426557
2005 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesis,0.7769276
2002 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,0.8644686
Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,0.6381656
Läroplanens konkreta spår i det pedagogiska arbetet,0.6808015
Balettmapp Kungliga Operan: Operahusens design och arkitektur,0.7500206
Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,0.7472972
En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,0.7989675
Datakvalitetsverktyg i datalager: Hur hanterar datakvalitetsverktyg datakvalitetsfaktorer?,0.7542968
Internetpoker: En studie i köpbeteendet hos pokerproffs,0.8417738
Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,0.8597885
En studie av inbyggda brandväggar: Microsoft XP och Red Hat Linux,0.8123371
Affärsrelationer vid elektronisk handel,0.8097612
Integration på två arbetsplatser,0.65910035
Innan den strukturella differentieringens tidevarv,0.75900406
Vad orsakar ilska?,0.8254085
Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,0.8804254
Etableringsstrategier på arbetsmarknaden: En intervjustudie av unga akademiker två år efter examen,0.7859026
Matematik för alla?: Hur lärare arbetar med individualisering,0.8202535
Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter,0.79537034
Transkulturell omvårdnad,0.7498353
Om personalförmåner motiverar de anställda,0.81818616
JÄVLAR ANAMMA! EN STUDIE OM VÄGEN UT UR MISSBRUK / THE SPIRIT WITHIN. A STUDY ON THE WAY OUT OF DRUGADDICTION,0.7876204
Koordination och organisation: - två viktiga begrepp vid skapandet av en innehållsrik hemsida för kommunala myndigheter,0.6089574
KommunistJesus och Varumärke: Talet om Che Guevara,0.6948997
"Lärande på elevers villkor: En studie om lärande på omvårdnadsprogrammet, med fokus på medicinsk grundkurs",0.8759357
Sjuksköterskan och döden,0.8415485
Damtidningar: ett behov?: En studie om återköp,0.8858435
Anmälningsskyldighet för kuratorer på ungdomsmottagningar: en studie i hur ett urval kuratorer på ungdomsmottagningar förhåller sig i sitt möte med barn under 15 år som är sexuellt aktiva,0.8315751
Sexualundervisning på särgymnasiet,0.8565693
