question,cosine_similarity
Vad fick du i julklapp iår sweddit?,0.54189193
"Någon annan som är ensam och full på nyårs? Sambon är med polare och mina kompisar alla bailade. (Hade bra anledningar och jag vart bjuden att joina sambon men eh, skönt med ensam tid) Nån som vill joina?!",0.5783745
Är det verkligen ingen kanal som visar Svensson Svensson och Wallace och Gromit ikväll? Jag tittar på TV.nu men finner inget.,0.5589709
Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,0.2942816
Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,0.28856444
"Vilka är era bästa synonymer för ""full""?",0.40082794
"Birk Borkason, det mest stereotypiska svenska namnet någonsin?",0.567511
Alvedon tuggtablett. Någon som märkt hur äckliga dom är? [deleted],0.25953373
Ska våldtäktsmän verkligen få stanna när skötsamma människor skickas hem?,0.48225355
"""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet."" Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige?",0.4817809
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.56867397
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.49103943
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.60915685
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.47116452
"Det slog mig att juldagen inte har samma ""självklara"" traditioner som julafton, visst firar många julafton olika men tex julklapparna öppnas ju alltid den 24:e. Vad är juldagen för dig?",0.40918425
Vilka enskilda politiker ger bäst intryck?,0.62069875
Vilka enskilda politiker ger bäst intryck?,0.37112108
