Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.64978516
Det är så brett så jag vet inte vart jag ska börja,0.7354859
Handledningsprocesser i Medarbetarsamtalet,0.769805
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.9088543
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.9364996
Paulus lagsyn i Rom 3:21-31,0.8358787
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8709518
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.82153195
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.6614157
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.7104016
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.8247709
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.84731114
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.7743895
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.5073478
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.82259136
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.7216362
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.79107565
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.52747786
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.876117
Artificiell intelligens - ANN och evolution i shooterspel,0.6348158
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.4113255
Användarverifiering från webbkamera,0.88031936
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.8356854
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.63414
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.8796675
Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,0.756526
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.8344308
En ny arbetsmarknadspolitik,0.78599024
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.7866725
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.8690628
"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",0.7543459
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.92266965
Handledningsprocesser i Medarbetarsamtalet,0.8388519
Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,0.8396764
Att vara syskon eller partner till en person med ätstörningsproblematik,0.8617303
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.84781265
Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,0.786128
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.63307047
Fytoremediering med perenn solros i åkerjord,0.5781927
Videokompression och användarnytta,0.744822
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.76343375
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.8350326
Eventbubblan i syd: En studie av Film i Skånes eventverksamhet,0.9019898
Vad är det för vits med humor i vården?,0.8530482
Äldre och ensamhet: en kvalitativ studie om ensamhet bland äldre boende i eget hem och på servicehus,0.93655074
PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,0.8752388
Är en skola för alla bra för alla? - ur elevperspektiv,0.57211983
Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,0.86720765
Finansiell riskredovisning,0.570682
Differentiering – en möjlighet att möta elevers olika förutsättningar och behov,0.7682204
Metoder vid implementation av affärssystem: en studie om anpassning,0.6028987
"2006 (Swedish)Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",0.6964263
"Ingen kan göra allt, men alla kan göra något – en studie kring pedagogers uppfattning om sin kompetens i att möta barn i sorg",0.6494827
2005 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesis,0.6815163
2002 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,0.85696363
Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,0.66246724
Läroplanens konkreta spår i det pedagogiska arbetet,0.66921836
Balettmapp Kungliga Operan: Operahusens design och arkitektur,0.7212419
Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,0.72293836
En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,0.82972056
Datakvalitetsverktyg i datalager: Hur hanterar datakvalitetsverktyg datakvalitetsfaktorer?,0.77383804
Internetpoker: En studie i köpbeteendet hos pokerproffs,0.84660006
Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,0.83303994
En studie av inbyggda brandväggar: Microsoft XP och Red Hat Linux,0.7875416
Affärsrelationer vid elektronisk handel,0.83776236
Integration på två arbetsplatser,0.60852313
Innan den strukturella differentieringens tidevarv,0.77846414
Vad orsakar ilska?,0.79998386
Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,0.83760154
Etableringsstrategier på arbetsmarknaden: En intervjustudie av unga akademiker två år efter examen,0.7943282
Matematik för alla?: Hur lärare arbetar med individualisering,0.8738805
Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter,0.7779013
Transkulturell omvårdnad,0.7538682
Om personalförmåner motiverar de anställda,0.7948876
JÄVLAR ANAMMA! EN STUDIE OM VÄGEN UT UR MISSBRUK / THE SPIRIT WITHIN. A STUDY ON THE WAY OUT OF DRUGADDICTION,0.7683419
Koordination och organisation: - två viktiga begrepp vid skapandet av en innehållsrik hemsida för kommunala myndigheter,0.6249727
KommunistJesus och Varumärke: Talet om Che Guevara,0.5917177
"Lärande på elevers villkor: En studie om lärande på omvårdnadsprogrammet, med fokus på medicinsk grundkurs",0.8721626
Sjuksköterskan och döden,0.876842
Damtidningar: ett behov?: En studie om återköp,0.89235157
Anmälningsskyldighet för kuratorer på ungdomsmottagningar: en studie i hur ett urval kuratorer på ungdomsmottagningar förhåller sig i sitt möte med barn under 15 år som är sexuellt aktiva,0.8288001
Sexualundervisning på särgymnasiet,0.86340666
En studie om flickor och kvinnor på elektrikerutbildningen,0.9060428
Ingen rädder för vargen?: En kvantitativ innehållsanalys av tre tidningstyper med avseende på rapporteringen om varg,0.76523924
Pappersmakulatur vid Bobergs Tryckeri AB - orsaker och förbättringsförslag,0.82145417
Balanserat styrkort i primärvården: En fallstudie om styrning med balanserat styrkort på KvaLita Närsjukvård AB,0.63862514
Ickeverbal kommunikation: Hur kontakt kan skapas med demensdrabbade genom beröring och genom musik,0.8540871
Vad är dyskalkyli?: En teoretisk-praktisk studie av dyskalkyli i skolan och om det är möjligt att bli hjälpt?,0.77998996
"Andersson, Anna-Karin",0.6601335
Verksamhetsanalys vid ett snickeriföretag – behov av organisationsanpassning vid expansion,0.75748444
Etik och ansvar. Sjuksköterskans upplevelse av inre etiskt ansvar i omvårdnaden,0.89821
"Andersson, Annika",0.7619196
Sjuksköterskans upplevelser efter hot och våld i somatisk vård: en litteraturstudie,0.8477833
Kan iranska aktörer påverkas?: USA:s förmåga till strategiskt inflytande ur ett fältperspektiv,0.8207755
"Andersson, Bodil",0.5751357
Svårigheter i mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund: en litteraturstudie,0.71657485
Faktorer som kan påverka samarbetet mellan användare och systemutvecklare,0.85616225
Att vara eller inte vara: styrs uttaget av föräldraledighet av föreställningar eller faktiska förhållanden?,0.8789158
Organiserat samarbete mellan lärare och kollegor inom IKT-baserad distansundervisning,0.8068249
Är granskningen av 90-kontoinnehavare tillräcklig: Kritisk granskning av SFI:s rutiner,0.88820595
"Andersson, Caroline",0.23887448
Upplevelser av interaktionen mellan klient och socialsekreterare -sett ur ett maktperspektiv,0.76856685
Personalens uppfattning om och möjlighet att påverka måltidernas innehåll i en förskola,0.876902
Att drabbas av prostatacancer: Männens upplevelser av sjukdomen,0.76324296
Lek en livsnödvändighet: Tänkande om lek i grundskolan och träningsskolan,0.8563153
Inlärningsstilar - ett sätt att individanpassa undervisningen?,0.6053963
Framgångsfaktorer bakom gerillakrigföring,0.6809436
Straff- och offentligrättsliga legalitetsprincipen,0.68253285
Utveckling av ett företags marknadskommunikation med informationsteknik,0.7613764
Den ekologiska utvecklingen av Motala ström samt dess förutsättningar,0.6605786
Evaluering av neurala nätverk för en fotbollsspelande mobil robot,0.7074101
Stickrädsla- En kvalitativ studie om sjuksköterskans omvårdnad av patienter med stickrädsla,0.85293853
Frivillig information i delårsrapporter: Förekomsten av frivilligt offentliggjord information i delårsrapporter hos tio aktiebolag noterade på OMX Stockholmsbörsen,0.60581267
Uppföljningsarbetet av efterkalkyler på Portsystem 2000 AB,0.8045047
En jämförelse av olika kommunikationstekniker och systemarkitekturiska lösningar vid uppbyggnad av nätverk i naturen,0.5830934
Slöja i skolan?,0.8937063
Informationens betydelse i den preoperativa vården,0.8987463
You´ve got m@il: en studie om sambandet mellan e-post och effektiv kommunikation i en IT-intensiv organisation,0.8109019
Hur den förändrade sexualiteten kan påverka mannens självbild och relationer efter behandling av prostatacancer,0.8972944
"Andersson, Helena",0.73402715
Fysisk beröring för människans välbefinnande?,0.77096885
”Man kan vara sjuk och frisk samma dag”: En studie av psykiskt störda lagöverträdares rättsliga ställning,0.6945505
Det moderna arbetslivets krav ur ett vuxenutvecklingspsykologiskt perspektiv,0.827317
Har Försvarsmakten behov av simuleringssystem för logistik?,0.66969824
En undersökning om perspektivet på Islam i tre nyhetsprogram,0.84914076
"Andersson, Jennie",0.82199943
Medarbetarnas upplvelse av gruppdialogen enligt Amforas samtalsmodell,0.7652643
Daglig fysisk aktivitet för elever – en utmaning för alla lärare i grundskolan,0.9070601
Gymnasiematematik på distans: Varför så många avbryter sina distansstudier i matematik,0.76281583
Argument för och emot privat sjukvård,0.41050935
Hur budgeterar gaseller?: En studie om tillväxtens påverkan på budgetering i gasellföretag,0.6422467
Teambuilding: En analys av den svenska marknaden ur ett konsultperspektiv,0.5566728
Datorstödd musikproduktion och tyst kunnande: En studie i design för användbarhet,0.49141994
Stöd vid övervikt och fetma,0.9225879
Lageroptimering med hjälp av datautvinning ur datalager,0.5889219
"Andersson, Jonas",0.29575363
"Utvärdering av Malaria Antigen ELISA kit för diagnostik av malaria vid Christian Medical College and Hospital i Vellore, Indien.: en jämförande studie mellan Quantitative buffy coat och enzyme-linked immunosorbent assays (ELISA) metodik",0.590909
Uppmuntrar läroboken i matematik eleverna till att tänka självständigt?,0.85684824
"Palliativ vård Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",0.6604179
Säkerhetskapital En del av det Intellektuella Kapitalet,0.80157316
Innan den strukturella differentieringens tidevarv,0.8170277
"Matematik för alla?: Hur lärare arbetar med individualisering Alén, Leif",0.810097
"Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter Blekinge Institute of Technology, School of Management.",0.8262875
