register,condition,feature_group,feature,n_pairs,median_t015,median_t100,direction,cohens_dz,rank_biserial,p_value,p_fdr_bh,significant_fdr_0.05
informal,baseline,stylometric_surface,bigram_repetition_rate,1149,0.041379310344827586,0.037383177570093455,t1.0<t0.15,-0.15108154384164033,-0.14060300737210307,6.723787285586523e-05,0.00042787737271914234,True
informal,baseline,stylometric_surface,function_word_rate,1149,0.5804195804195804,0.5681818181818182,t1.0<t0.15,-0.18040978469311308,-0.21028949216722143,7.225552296039252e-10,5.057886607227476e-08,True
informal,baseline,stylometric_surface,mattr,1149,0.6962499999999999,0.7023076923076922,t1.0>t0.15,0.14985370730413303,0.15077651541086773,9.810265323736405e-06,9.810265323736405e-05,True
informal,baseline,stylometric_surface,mtld,1149,69.45750000000001,73.17333333333333,t1.0>t0.15,0.14941776902291712,0.1675081801172357,8.822715293429302e-07,2.058633568466837e-05,True
informal,baseline,stylometric_surface,punct_colon,1149,0.0,0.0,=,0.04831974367189508,0.2585905649388468,0.02405810693640964,0.06477182636725673,False
informal,baseline,stylometric_surface,punct_comma,1149,3.52112676056338,3.5,t1.0<t0.15,0.007681893841033521,-0.0105950479966228,0.7563492186967417,0.8272569579495612,False
informal,baseline,stylometric_surface,punct_dash,1149,0.0,0.0,=,0.09189074251762315,0.14304175356806936,0.005874119118697394,0.02497829003179294,True
informal,baseline,stylometric_surface,punct_ellipsis,1149,0.0,0.0,=,0.05409894384068696,0.20374531835205992,0.09505103951919011,0.20162341716191842,False
informal,baseline,stylometric_surface,punct_exclaim,1149,0.0,0.0,=,0.06781222983166463,0.10649230769230769,0.021182979366668016,0.06477182636725673,False
informal,baseline,stylometric_surface,punct_period,1149,4.615384615384616,4.615384615384616,=,0.025527866269165832,0.015717348519997697,0.6445895367928656,0.7478499135543525,False
informal,baseline,stylometric_surface,punct_question,1149,0.0,0.0,=,0.05803991508947226,0.06206322795341098,0.1878009827198568,0.31625420902423135,False
informal,baseline,stylometric_surface,punct_semicolon,1149,0.0,0.0,=,0.041720312406728924,1.0,0.17971249487899976,0.31625420902423135,False
informal,baseline,stylometric_surface,trigram_repetition_rate,1149,0.0,0.0,=,-0.13918586918069395,-0.1725045720016518,5.028026449140801e-05,0.00035196185143985604,True
informal,baseline,stylometric_surface,ttr,1149,0.6902654867256637,0.696969696969697,t1.0>t0.15,0.11931936731605242,0.1114535464154797,0.0010877197976649124,0.005438598988324562,True
informal,baseline,syntactic_complexity,dep_distance_mean,1149,3.253012048192771,3.2717391304347827,t1.0>t0.15,0.055019129342168516,0.046452491769780904,0.1725876089417765,0.31625420902423135,False
informal,baseline,syntactic_complexity,n_sentences,1149,6.0,7.0,t1.0>t0.15,0.025478309353509573,0.09944020224950985,0.00929469723813452,0.034243621403653494,True
informal,baseline,syntactic_complexity,subordinate_clause_rate,1149,1.0,1.0,=,-0.09808724347579323,-0.12393646095241298,0.00039342258712732174,0.002118429315300963,True
informal,baseline,syntactic_complexity,tree_depth_max,1149,5.0,5.0,=,0.01988831755503232,0.03692883895131086,0.3486286255048727,0.4785098781439429,False
