row,condition,comment
7,baseline,"Haha ja, dom är fan vidriga. Smakar som krita blandat med nån konstgjord bär-arom som inte lyckas dölja paracetamolen alls. Jag fattar inte varför man ens väljer tugg om man kan svälja en vanlig tablett med lite vatten. Enda gången jag står ut är om jag är helt däckad och inte pallar leta dricka."
1,baseline,"Japp, sitter också solo med ett glas och doomscrollar. Ibland är det fan rätt skönt att bara chilla utan massa nyårsstress och “nu ska vi ha kul”-press. Släng på nån film, käka nåt gott och låtsas att raketerna är nån annans problem. Gott nytt!"
6,baseline,"Alltså ja, det låter ju som att någon på SVT försökt hitta på “så svenskt det bara går” och råkat blanda in lite vikingakrydda också. Birk som i Ronja och Borkason som om han är son till Bork i en saga. Saknas bara att han heter “Lindgren” i efternamn och bor i en röd stuga i Dalarna."
0,baseline,"Fick typ bara såna där ”bra att ha”-grejer i år: ett par riktigt schyssta ullsockor, en ny stekpanna (äntligen), och ett presentkort på ICA som jag först tyckte var tråkigt men som jag nu inser är guld värt. Plus en bok jag faktiskt velat läsa, så jag klagar inte."
2,baseline,"Känns som typiskt att det är just sånt man blir sugen på och så går det inte nånstans. Svensson Svensson dyker ju ibland upp på SVT Play, men TV-schemat verkar tomt ikväll. Wallace & Gromit brukar ligga på nån streamingtjänst eller hyrfilm, men linjär-TV? Nä, verkar inte. Kolla Play-tjänsterna direkt istället för TV.nu, de missar ibland sånt som inte “sänds” på klassiskt sätt."
5,baseline,"Beror lite på sammanhang, men jag kör ofta på “berusad”, “packad”, “påverkad” eller “rund under fötterna” om man vill låta lite snällare. “Plakat” och “dyngrak” när det ska vara mer rätt-fram. “Salongsberusad” för den där lagom-nivån, och “aspackad”/“redlös” när det spårat ur helt. “På lyset” är också en klassiker."
15,baseline,"Tycker det är svårt att säga utan att gå på personkemi, men de politiker som ger bäst intryck för mig är oftast de som kan svara rakt på en fråga, erkänna när de inte vet och faktiskt ändra sig när fakta ändras. Gillar när någon håller sig saklig i intervjuer, inte skyller allt på “motståndarsidan” och klarar av att vara självkritisk utan att det blir teater. Sen spelar det mindre roll vilket parti det är om personen verkar ha ryggrad, tydliga prioriteringar och kan förklara konsekvenserna av sin politik på vanlig svenska."
14,baseline,"För mig är juldagen typ “nu får man andas”-dagen. Julafton är ju alltid ett projekt med tider, mat, paket och folk som ska hinna överallt, men på juldagen är det bara rester, mjukiskläder och noll krav. Brukar bli sen frukost/brunch, kanske en promenad om vädret inte är helt katastrof, sen soffläge med någon film som man halvkollar på medan man plockar lite i köket. Ibland åker man förbi släktingar som man inte hann med på julafton, men det är mer “kom in på en kaffe” än hela uppstyrda grejen. Juldagen är typ dagen då julen faktiskt känns mysig."
11,baseline,"Tycker också Ygeman ger ett mer “vuxet i rummet”-intryck än många andra. Sen gillar jag ändå att Elisabeth Svantesson känns saklig och påläst även när man inte håller med henne. I MP tycker jag Märta Stenevi… nej, skämt åsido – Per Bolund var ofta rätt stabil i debatter, men han är ju inte kvar. I L har Romina Pourmokhtari faktiskt överraskat positivt med energi och tydlighet, även om hon får mycket skit. Och i kommunpolitiken finns det ofta de som imponerar mest, oavsett parti – de som faktiskt kan sina frågor och inte bara kör talking points."
3,baseline,"Jag brukar dra till med “nu är det kokta fläsket stekt” när allt skiter sig, och “inte den vassaste kniven i lådan” om nån är lite seg. Sen gillar jag “dra åt skogen” (eller ännu bättre: “dra åt helvete och ta skogen med dig”) när man vill vara lagom dramatisk. Bilar då… BMW = “blinkerslöst premiumsläp”, Audi = “fyrhjulsdriven ursäkt” och Volvo = “trygghetskapsel”. Och när man ska öka: “nu lägger vi i överväxeln och lämnar hakan i handskfacket”."
