item_id,register,generator,condition,is_human,context,text,source_row,pair_id
1,formal,gpt,baseline,False,3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,"Denna uppsats undersöker om och hur 3D på webben kan utgöra ett nästa utvecklingssteg för e-handeln, med särskilt fokus på stereoskopisk 3D (S3D) som form av produktpresentation. Utifrån begreppet *Interactive 3D Product Presentation* (I3DPP) analyseras stereoskopisk 3D som ett komplement till traditionella produktbilder och video, där syftet är att öka upplevelsen av djup, material och rumslighet samt att ge användaren en mer verklighetsnära förståelse av produkten. Arbetet problematiserar samtidigt de centrala förutsättningarna för att S3D ska vara praktiskt och affärsmässigt relevant i en webbaserad köpmiljö. Detta omfattar tekniska krav (stöd i webbläsare och enheter, prestanda och bandbredd), användbarhets- och tillgänglighetsaspekter (t.ex. behov av kompatibel hårdvara, risk för obehag eller trötthet, samt variationer i användares preferenser) och hur presentationen påverkar användarens beslutsprocess. Sammantaget syftar uppsatsen till att bedöma S3D:s potential som I3DPP inom e-handel och att identifiera vilka möjligheter, begränsningar och designöverväganden som bör styra införandet av stereoskopiska 3D-lösningar i webbaserade produktpresentationer.",12,formal-12
2,formal,gpt,human_like,False,"Fysisk beröring för människans välbefinnande? Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.","Denna uppsats undersöker hur fysisk beröring kan påverka människans välbefinnande, med särskilt fokus på massage och terapeutisk beröring inom vård- och hälsosammanhang. Utgångspunkten är att beröring inte enbart är en social handling, utan också kan ha mätbara fysiologiska och psykologiska effekter. I sammanhang där stress, oro och ångest är vanliga – exempelvis vid långvarig smärta eller sjukdom – lyfts beröring fram som en möjlig kompletterande intervention för att stärka individens upplevelse av lugn, trygghet och kroppslig återhämtning. I uppsatsen diskuteras hur massage och terapeutisk beröring kan bidra till smärtlindring samt till en förbättrad upplevelse av välbefinnande. Smärta förstås här både som en fysisk och en emotionell erfarenhet, vilket gör att insatser som påverkar stressnivåer och känslomässig spänning också kan få betydelse för hur smärta upplevs. En central del av resonemanget rör den biologiska kopplingen mellan beröring och frisättning av oxytocin – ett hormon som ofta associeras med lugn, anknytning och minskad stressrespons. Genom oxytocinets verkan antas beröring kunna dämpa fysiologiska stressreaktioner, vilket i sin tur kan påverka exempelvis blodtryck och muskelspänning. Vidare belyses hur beröring kan reducera oro och ångest genom att skapa en känsla av närvaro och trygghet. Detta kan vara särskilt betydelsefullt i situationer där individen upplever brist på kontroll eller förhöjd stress. Sänkningar i blodtryck beskrivs som en möjlig indikator på att kroppen går från ett mer stressaktiverat tillstånd till ett mer avslappnat och återhämtande läge. Samtidigt framhålls att effekterna sannolikt påverkas av faktorer som sammanhang, relation, individens tidigare erfarenheter samt hur beröringen ges och tas emot. Sammanfattningsvis argumenterar uppsatsen för att fysisk beröring, i form av massage eller terapeutisk beröring, kan ha potential att stärka välbefinnande genom både psykologiska och fysiologiska mekanismer. Beröring kan bidra till minskad smärta, lägre grad av oro och ångest samt förbättrad kroppslig avslappning, bland annat genom påverkan på oxytocin och stressystemet. Uppsatsen pekar därmed på beröring som en relevant och relativt lågtrösklig del av ett personcentrerat hälsofrämjande arbete, särskilt när den används med lyhördhet, samtycke och anpassning till individens behov.",158,formal-158
3,formal,gpt,human_like,False,Pappersmakulatur vid Bobergs Tryckeri AB - orsaker och förbättringsförslag,"Denna kandidatuppsats behandlar problemet med pappersmakulatur vid Bobergs Tryckeri AB och syftar till att identifiera bakomliggande orsaker samt ta fram konkreta förbättringsförslag för att minska slöseri. Utgångspunkten är att makulatur i tryckprocessen inte enbart innebär direkta materialkostnader, utan även leder till tidsförluster, merarbete, onödiga maskinstopp och i förlängningen påverkan på både leveransprecision och hållbarhetsmål. Arbetet fokuserar på att kartlägga var i flödet pappersmakulaturen uppstår och vilka mönster som kan urskiljas över tid. Genom att analysera makulatur som en form av slöseri synliggörs hur små avvikelser i exempelvis inställningar, hantering, materialkvalitet eller informationsöverföring kan få oproportionerligt stora effekter i en produktion där marginalerna ofta är små. Särskild vikt läggs vid att förstå skillnaden mellan oundviklig makulatur (kopplad till uppstart och intrimning) och makulatur som i högre grad kan förebyggas. Som metodiskt ramverk används PDCA-cykeln (Plan–Do–Check–Act) för att strukturera förbättringsarbetet. I planeringsfasen formuleras nulägesbild och problemdefinition utifrån insamlad data och observationer i produktionen. Därefter prövas utvalda åtgärder i mindre skala, exempelvis standardiserade rutiner, tydligare ansvarsfördelning eller justeringar i arbetsmetoder och kontrollpunkter. I uppföljningsfasen utvärderas effekten genom jämförelser av makulaturutfall och återkoppling från operatörer, och slutligen föreslås hur framgångsrika arbetssätt kan införas som nya standarder för att skapa varaktig förbättring. Sammanfattningsvis visar studien att pappersmakulatur vid Bobergs Tryckeri AB kan förstås som ett sammansatt fenomen där tekniska faktorer, mänskliga moment och organisatoriska rutiner samverkar. Genom ett systematiskt arbetssätt enligt PDCA och ett tydligt fokus på att minska slöseri kan verksamheten både reducera kostnader och stärka kvaliteten i produktionen. Uppsatsen mynnar ut i ett antal förbättringsförslag som syftar till att förebygga fel tidigt i processen, öka lärandet mellan skift och körningar samt skapa bättre förutsättningar för stabila och repeterbara resultat.",84,formal-84
4,formal,gpt,baseline,False,Personalens uppfattning om och möjlighet att påverka måltidernas innehåll i en förskola,"Denna studie behandlar personalens uppfattningar om måltidernas innehåll i förskolan samt deras faktiska möjligheter att påverka vad som serveras. Utifrån ett verksamhetsnära perspektiv belyses hur måltiderna förstås som en del av förskolans pedagogiska uppdrag och som en viktig faktor för barns hälsa, trivsel och sociala samspel. Studien fokuserar på hur personalen resonerar kring näringsriktighet, variation, specialkost och kulturella hänsyn, samt hur dessa aspekter vägs mot praktiska och organisatoriska förutsättningar i vardagen. Vidare undersöks vilka strukturer som möjliggör eller begränsar personalens inflytande över måltidsinnehållet. Här uppmärksammas exempelvis ansvarsfördelning mellan förskola, kök och huvudman, förekomsten av riktlinjer och menyer, samt kommunikation och samarbete med måltidsorganisationen. Studien synliggör också hur tid, resurser, budget, logistiska villkor och personalens upplevda mandat påverkar möjligheten att initiera förändringar. Sammantaget visar studien att personalen ofta har tydliga uppfattningar om vad som utgör bra måltider, men att inflytandet över innehållet varierar och i många fall är beroende av lokala rutiner och relationer mellan berörda aktörer. Studien bidrar därmed med kunskap om hur måltidsarbetet i förskolan kan utvecklas genom tydligare samverkansformer och ökat handlingsutrymme för personalen.",102,formal-102
5,formal,gpt,detector_evasive,False,Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,"Uppsatsen har titeln *Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av undervisningen i estetisk verksamhet*. Den tar sin utgångspunkt i estetisk verksamhet och riktar in sig på musikundervisning i skolan. Fokus ligger på vad som styr läraren när hon eller han planerar undervisningen. Studien vill visa vilka faktorer som får ta plats i planeringen. Den vill också visa hur läraren väger mellan ramar och val i musikdidaktik. Arbetet använder handlingsteori för att förstå lärarens planering. I centrum står lärarens handlingar. Det handlar om vad läraren gör. Det handlar också om varför läraren gör så. Planering ses som en del av en kedja av handlingar. Läraren tolkar en situation. Läraren sätter mål. Läraren väljer innehåll. Läraren väljer arbetssätt. Läraren gör dessa val i ett sammanhang som påverkar henne eller honom. I musikundervisning möter läraren ofta en tydlig elevvilja. Titeln pekar på det. Dom vill ju spela så då spelar vi. Det blir ett konkret exempel på hur elevönskemål blir en faktor i planeringen. Studien belyser hur läraren förhåller sig till elevers intresse för instrument och samspel. Den belyser också hur läraren hanterar skillnader i förkunskaper. Några elever spelar mycket. Andra har aldrig spelat. Det påverkar planeringen i estetisk verksamhet. Samtidigt arbetar läraren inom ramar. Det gäller tid, gruppstorlek och tillgång till instrument och lokaler. Det gäller även styrdokument och lokala planeringar. Studien visar hur sådana ramar blir styrande faktorer. De kan göra att läraren väljer enkla upplägg. De kan göra att läraren återanvänder material som fungerar. De kan också göra att läraren lägger mer tid på ordning och struktur än på fördjupning. En annan faktor som studien lyfter är lärarens egen bakgrund. Det gäller egen musikerfarenhet. Det gäller trygghet i olika moment. Det gäller synen på vad som räknas som kunskap i musikdidaktik. Läraren kan prioritera spel och gehör. Läraren kan prioritera sång. Läraren kan prioritera musikskapande. I handlingsteori blir detta en del av den mening som läraren skapar i sin planering. Sammanfattningsvis ger studien en belysande bild av planering i estetisk verksamhet med tyngdpunkt på musikundervisning. Den visar hur elevönskemål, ramar i skolan och lärarens egna erfarenheter påverkar vad som blir möjligt att genomföra. Den visar också hur musikdidaktik tar form genom konkreta val i vardagen. Handlingsteori gör det möjligt att se hur dessa val hänger ihop med lärarens sätt att förstå situationen och att handla i den.",47,formal-47
6,formal,human,human,True,Expertkunskap och metakognition: experters förmåga till metakognitiv övervakning,"Metakognitiva processer och förmågor innefattar bland annat människans förmåga att reflektera över sin egen kunskapsnivå och minneskapacitet, och att utifrån detta till exempel kunna reglera tid och inlärningsstrategier vid inlärningssituationer. Kännetecknande för en person som räknas till att vara expert inom en viss domän är bland annat att denne anses kunna övervaka sin kunskapsnivå på ett korrekt sätt. Denna studie undersöker om personer med stor domänkunskap uppvisar en större förmåga till metakognitiv övervakning än vad personer med sämre domänkunskap gör. Aktuell kunskapsdomän i denna studie är deklarativ kunskap kring fotboll, och fotbollsspelare och ledare rekryterades som försöksdeltagare. Förmågan till metakognitiv övervakning mättes med hjälp av mätteknikerna Assessment of Cognitive Monitoring Effectiveness (ACME) och Metacognitive Knowledge Monitoring Assessment (KMA), där försöksdeltagarna i samband med att ett kunskapstest genomförs får avgöra vilka frågor de tror sig kunna eller inte kunna svaret på. Resultatet visar att personer med expertkunskap uppvisar en signifikant bättre förmåga till metakognitiv övervakning än personer med sämre domänkunskap.",162,formal-162
7,formal,gpt,human_like,False,Framgångsfaktorer bakom gerillakrigföring Swedish National Defence College.,"Denna uppsats syftar till att identifiera och analysera centrala framgångsfaktorer bakom gerillakrigföring, med utgångspunkt i militärteoretiska perspektiv och empiriska fallstudier. Studien är genomförd inom ramen för Chefsprogrammet vid Försvarshögskolan och tar sin utgångspunkt i att gerillakrigföring inte enbart är en militär metod, utan ett sammanhängande politiskt och socialt fenomen där väpnad kamp, legitimitet och kontroll över befolkningen samverkar. Som analytisk ansats används jämförande fallstudier där Malaysia och Algeriet fungerar som två kontrasterande exempel på konflikter där gerillakrigföring spelat en avgörande roll. Genom att systematiskt jämföra hur aktörer organiserat sina styrkor, nyttjat terräng och rörelsefrihet, byggt stöd hos civilbefolkningen samt hanterat motståndarens militära och politiska åtgärder, kan uppsatsen ringa in återkommande mönster som bidrar till gerillans framgång eller misslyckande. Resultaten pekar på att framgång i gerillakrigföring i hög grad är beroende av faktorer som sträcker sig bortom ren stridsteknik. Särskilt framträder betydelsen av politisk målsättning och narrativ trovärdighet: gerillan måste kunna formulera ett begripligt mål och uppfattas som ett legitimt alternativ av relevanta grupper. Vidare framhålls vikten av uthålliga organisatoriska strukturer som klarar förluster, möjliggör decentraliserat agerande och samtidigt upprätthåller strategisk samordning. Förmågan att vinna, behålla och skydda stöd bland befolkningen framstår som en nyckelfaktor, inte minst eftersom underrättelser, rekrytering och logistiskt stöd ofta är avgörande i en konfliktform där traditionella försörjningslinjer är sårbara. Uppsatsen belyser också motpartens roll: hur statliga motåtgärder—militära, administrativa och psykologiska—kan minska eller förstärka gerillans handlingsutrymme. I jämförelsen mellan Malaysia och Algeriet tydliggörs att utfallet inte enbart avgörs av styrkeförhållanden, utan av hur väl respektive sida lyckas integrera säkerhetsoperationer med politiska reformer, legitimitetsskapande och kontroll över det informationsmässiga och sociala rummet. Sammantaget argumenterar studien för att gerillakrigföringens framgångsfaktorer bäst förstås som en helhet av politiska, sociala och militära komponenter, där befolkningen utgör konfliktens strategiska tyngdpunkt och där långsiktig uthållighet ofta är minst lika avgörande som taktiska segrar.",154,formal-154
8,formal,human,human,True,Damtidningar: ett behov?: En studie om återköp,"Denna studie berör återköp av damtidningar. Frågeställningen syftar till att ta reda på varför kvinnor köper damtidningar. Studien använder surveyundersökningar som forskningsstrategi och enkäter och intervjuer för insamling av primärdata. En enkätundersökning har gjorts bland den målgrupp damtidningar vänder sig till. Chefredaktörerna på två stora damtidningar, Amelia och Hennes har intervjuats i djupare intervjuer. Teorin om marknadsmixen och dess 4 P används som en av tre teorier. Den andra teorin behandlar mänskligt beteende och den tredje köpbeteende. Genom de 4 P.na, Pris, Produkt, Plats och Promotion kan damtidningar som produkter beskrivas. Priset förklaras i relation till produkten. Platsen talar om var och hur tidningarna kommer i kontakt med konsumenterna. Promotion beskriver på vilka sätt och med hjälp av vilka verktyg damtidningarna kommuniceras till konsumenterna. Det mänskliga beteendet förklaras med hjälp av två teorier, en om de naturlagar människor följer och ett om människan i vardagen. Dessa två teorier underlättar förståelsen för mänskligt beteende och att förutse den. Teorierna om köpbeteende ger en översiktsbild av hur människor resonerar innan ett köp, om de gör det överhuvudtaget. Genom de olika stegen i köpprocessen kan ett köp följas från det att ett behov skapas tills det att ett återköp sker. Dessa teorier visar också hur människor vill ha störst värde till lägsta pris, på kortast tid. I empirikapitlet redogörs sammanfattande för de båda intervjuerna samt för enkätundersökningen. Diagram visar bland andra hur många damtidningar kvinnor köper per år. Analysen visar att damtidningar är produkter som handlas av impuls. De finns tillgängliga och kostnaden för att nå den är inte stor. De ger också mycket värde för lite pengar. Damtidningar använder flera opersonliga marknadsföringskanaler för att kommunicera med konsumenterna. Resultatet är att det finns flera orsaker och inte bara ett grundläggande till varför kvinnor köper damtidningar",79,formal-79
9,formal,human,human,True,Framgångsfaktorer bakom gerillakrigföring Swedish National Defence College.,"Gerillakrigföring som metod i konflikter som inte är mellanstatliga är aktuella att studera ur ett svensktperspektiv. Ett ökat internationellt militärt åtagande föranleder valet av ämne, samtidigt som okonventionellatillvägagångssätt omgärdas av fascination. Uppsatsen undersöker vilka faktorer som ligger bakomframgångar med gerillakrigföring, i syfte att öka medvetenheten om de företeelser som behöver uppmärksammasi en konflikt med gerillakrigsinslag.I arbetet utnyttjas en induktiv metod kombinerad med fallstudier. Inledningsvis skapas en definitionsgrundför gerillakrigföring. Därefter prövas teorin om krigföringens principer som framgångselement på krigen iAlgeriet (1954-62) samt Malaysia (1948-57). De viktigaste resultaten är att framgångsfaktorer på taktisknivå skiljer sig marginellt mellan gerillakrigföring och konventionell krigföring. Vidare har interaktionenmellan civilbefolkningen, motivet för kamp och aktörerna som brukar gerillametoder framkommit somytterst väsentlig för utgången av de studerade konflikterna.Problemställningen för undersökningen är: Beror det på krigföringens principer att gerillataktik kan varaframgångsrik? Den avslutande diskussionen konstaterar att vid ett möte med okonventionella metodermåste hela existensen för en konflikt beaktas.",154,formal-154
10,formal,gpt,human_like,False,Balanserat styrkort i primärvården: En fallstudie om styrning med balanserat styrkort på KvaLita Närsjukvård AB,"Denna studie behandlar användningen av balanserat styrkort inom svensk primärvård och tar sin utgångspunkt i en fallstudie av KvaLita Närsjukvård AB. Syftet är att belysa hur styrkortet kan fungera som ett verktyg för ekonomistyrning och verksamhetsstyrning i en vårdmiljö där kraven på medicinsk kvalitet, tillgänglighet och kostnadskontroll behöver hanteras parallellt. Utifrån titeln och nyckelorden ligger fokus på relationen mellan styrkortets utformning och den praktiska styrningen av verksamheten, snarare än på enbart resultatmätning i efterhand. Studien antar att primärvårdens komplexitet ställer särskilda krav på styrsystem. Verksamheten är personalintensiv, efterfrågan varierar och uppdraget är ofta brett, vilket gör det svårt att styra med enbart finansiella mått. Mot denna bakgrund framstår balanserat styrkort som relevant eftersom det kombinerar ekonomiska indikatorer med icke-finansiella perspektiv, exempelvis patientrelaterade mål, interna processer samt lärande och utveckling. I en organisation som KvaLita Närsjukvård AB kan styrkortet därmed ses som ett försök att översätta strategiska ambitioner till konkreta mål och uppföljningspunkter som är begripliga och användbara i det dagliga arbetet. Sammanfattningsvis pekar fallstudien på att ett balanserat styrkort i primärvården i första hand kan bidra till ökad struktur i uppföljningen och till att synliggöra målkonflikter mellan ekonomi och vårdkvalitet. Samtidigt framträder att styrkortets nytta i hög grad beror på hur det implementeras och förankras. Om indikatorerna upplevs som relevanta och kopplade till verksamhetens faktiska förutsättningar kan styrkortet stödja prioriteringar, skapa tydligare ansvar och förbättra dialogen mellan ledning och medarbetare. Om måtten däremot blir för många, för generella eller för starkt styrda av externa krav riskerar styrkortet att uppfattas som administrativt och få begränsad påverkan på beteenden och beslut. Studien bidrar därmed med en verksamhetsnära förståelse för hur ekonomistyrning med balanserat styrkort kan användas i primärvården och vilka villkor som verkar avgörande för att styrningen ska bli meningsfull och långsiktigt hållbar.",85,formal-85
