source,doc_id,condition,sentiment_label,p_pos,p_neg,p_neu,signed_polarity,affective_extremity,is_subjective
human,0,-,NEUTRAL,0.108388,0.052617,0.838995,0.055771,0.161005,0
gpt,0,baseline,NEUTRAL,0.417772,0.012721,0.569507,0.405051,0.430493,0
mistral,0,baseline,NEUTRAL,0.093449,0.01102,0.895531,0.082429,0.104469,0
gpt,0,human_like,POSITIVE,0.908081,0.001033,0.090886,0.907048,0.909114,1
mistral,0,human_like,NEUTRAL,0.279481,0.011732,0.708787,0.26775,0.291213,0
gpt,0,detector_aware,POSITIVE,0.893657,0.004616,0.101726,0.889041,0.898274,1
mistral,0,detector_aware,NEUTRAL,0.018913,0.372848,0.608239,-0.353935,0.391761,0
gpt,0,detector_evasive,POSITIVE,0.876396,0.004432,0.119171,0.871964,0.880829,1
mistral,0,detector_evasive,NEUTRAL,0.146692,0.046593,0.806716,0.100099,0.193284,0
human,1,-,NEUTRAL,0.10654,0.047456,0.846004,0.059085,0.153996,0
gpt,1,baseline,NEUTRAL,0.153038,0.036079,0.810883,0.116959,0.189117,0
mistral,1,baseline,NEUTRAL,0.127237,0.029376,0.843388,0.097861,0.156612,0
gpt,1,human_like,NEUTRAL,0.103139,0.014279,0.882582,0.088861,0.117418,0
mistral,1,human_like,NEUTRAL,0.169347,0.042796,0.787857,0.126551,0.212143,0
gpt,1,detector_aware,NEUTRAL,0.190981,0.020472,0.788548,0.170509,0.211452,0
mistral,1,detector_aware,NEUTRAL,0.016909,0.257851,0.72524,-0.240942,0.27476,0
gpt,1,detector_evasive,NEUTRAL,0.118115,0.018363,0.863522,0.099752,0.136478,0
mistral,1,detector_evasive,NEUTRAL,0.02999,0.071602,0.898409,-0.041612,0.101591,0
human,2,-,POSITIVE,0.844227,0.009839,0.145934,0.834387,0.854066,1
gpt,2,baseline,POSITIVE,0.761665,0.023993,0.214342,0.737672,0.785658,1
mistral,2,baseline,NEUTRAL,0.03234,0.207701,0.759959,-0.175361,0.240041,0
gpt,2,human_like,NEUTRAL,0.340835,0.011354,0.64781,0.329481,0.35219,0
mistral,2,human_like,NEUTRAL,0.070956,0.045143,0.883902,0.025813,0.116098,0
gpt,2,detector_aware,NEUTRAL,0.02361,0.425689,0.5507,-0.402079,0.4493,0
mistral,2,detector_aware,NEUTRAL,0.050091,0.256584,0.693326,-0.206493,0.306674,0
gpt,2,detector_evasive,NEUTRAL,0.102288,0.063323,0.834389,0.038965,0.165611,0
mistral,2,detector_evasive,NEUTRAL,0.082148,0.098119,0.819733,-0.015971,0.180267,0
human,3,-,NEUTRAL,0.14028,0.03483,0.82489,0.105449,0.17511,0
gpt,3,baseline,NEUTRAL,0.113802,0.025178,0.861021,0.088624,0.138979,0
mistral,3,baseline,POSITIVE,0.984928,0.001482,0.01359,0.983447,0.98641,1
gpt,3,human_like,POSITIVE,0.576205,0.045114,0.378681,0.531091,0.621319,1
mistral,3,human_like,NEUTRAL,0.101908,0.036187,0.861906,0.065721,0.138094,0
gpt,3,detector_aware,NEUTRAL,0.281391,0.080348,0.638262,0.201043,0.361738,0
mistral,3,detector_aware,NEUTRAL,0.063253,0.117202,0.819545,-0.053949,0.180455,0
gpt,3,detector_evasive,NEUTRAL,0.076857,0.02967,0.893473,0.047188,0.106527,0
mistral,3,detector_evasive,NEGATIVE,0.013861,0.776841,0.209298,-0.76298,0.790702,1
human,4,-,NEUTRAL,0.008366,0.019202,0.972433,-0.010836,0.027567,0
gpt,4,baseline,NEUTRAL,0.174155,0.069127,0.756718,0.105029,0.243282,0
mistral,4,baseline,NEUTRAL,0.068405,0.172468,0.759127,-0.104063,0.240873,0
gpt,4,human_like,POSITIVE,0.496444,0.047672,0.455884,0.448772,0.544116,1
