item_id,register,generator,condition,is_human,text,predicted,confidence,reasoning,correct
1,formal,human,human,True,Syftet med studien är att få en fördjupad förståelse för hur pedagoger tolkar och utvecklar arbetet kring begreppet håll...,MÄNNISKA,72,"Texten har en tydlig akademisk struktur men innehåller flera oidiomatiska formuleringar och grammatiska egenheter, exempelvis 'grundar sig i', 'riktar sig åt' och ett märkligt semikolon i uppräkningen. Forskningsfrågan är också formulerad på ett oskarpt sätt. Sådana brister är mer typiska för en mänsklig studenttext än för AI-genererad text, som oftast är jämnare och mer språkligt korrekt.",True
2,formal,gpt-5.2,baseline,False,Utifrån titeln ”Det är så brett så jag vet inte vart jag ska börja” och de angivna nyckelorden kan studien sammanfattas ...,AI,78,"Texten är formellt välskriven men saknar individuella spår och konkret innehåll från en faktisk studie. Den bygger på allmänna resonemang med typiska övergångsfraser som 'sammanfattningsvis', 'vidare' och 'sammantaget'. Ordet 'legitimieras' är en sällsynt eller felaktig form, vilket kan tyda på en AI-modells språkgenerering. Strukturen är symmetrisk och upprepande, med ett tydligt mönster snarare ",True
3,formal,gpt-5.2,human_like,False,Utifrån titeln ”Det är så brett så jag vet inte vart jag ska börja” och nyckelorden kretsar uppsatsen kring en central s...,AI,80,"Texten uppvisar tydliga tecken på AI-generering: upprepad användning av 'uppsatsen' som subjekt, en mycket konsekvent och mallartad struktur med sammanfattande satser, samt avsaknad av personlig röst. Meningarna är genomgående jämna och välbalanserade utan variation i stil, och innehållet följer en logisk kedja som känns konstruerad snarare än naturligt skriven.",True
4,formal,gpt-5.2,detector_evasive,False,Den här uppsatsen tar sin början i en vanlig känsla i Förskola. Det är så brett så jag vet inte vart jag ska börja. Samt...,AI,78,"Texten har en tydligt mallartad struktur med upprepade fraser ('Det handlar om', 'Den andra delen handlar om') och korta, staplade meningar. Onaturliga versaler på vardagliga begrepp (Förskola, Kunskap) och ett förenklat språk som saknar akademisk precision gör att den känns genererad. Mänskliga uppsatser brukar ha mer varierad meningsbyggnad och ett mer flytande resonemang.",True
5,formal,gpt-5.6,baseline,False,Hållbar utveckling är ett omfattande och komplext område som kan upplevas svårt att omsätta i förskolans undervisning. D...,AI,65,"Texten är välskriven och sammanhängande men följer en tydlig mall med vanliga akademiska fraser som 'belyser', 'uppmärksammar' och 'sammanfattningsvis framträder behovet'. Meningarna är jämna och generiska utan personliga reflektioner eller konkreta exempel. Innehållet är opersonligt och rör sig på en abstrakt nivå, vilket är typiskt för AI-genererad text. En mänsklig författare hade troligen haft",True
6,formal,gpt-5.6,human_like,False,Hållbar utveckling är ett omfattande område som kan vara svårt att avgränsa och omsätta i förskolans undervisning. Syfte...,AI,75,"Texten är språkligt korrekt och akademisk, men saknar specifika metodval och empiriska detaljer som ofta finns i mänskliga abstrakt. Formuleringar som 'meningsfullt lärande' och 'medvetet, kontinuerligt och integrerat' upplevs generiska och mallartade. Meningsbyggnaden är jämn och variationen låg, vilket tyder på AI-genererad text.",True
7,formal,gpt-5.6,detector_evasive,False,Studien handlar om miljöundervisning och hållbar utveckling i förskolan. Syftet är att undersöka hur förskollärare beskr...,AI,82,"Texten är tydlig och välstrukturerad men följer en mallartad disposition med korta, enkla meningar och upprepade teman. Formuleringar som 'Studien visar', 'Resultatet visar' och 'Det kan vara' är generiska och saknar personlig variation. Innehållet är översiktligt utan konkreta detaljer eller nyanser, vilket är vanligt i AI-genererade abstrakt. Språklig variation och naturliga akademiska avbrott s",True
8,formal,mistral,baseline,False,Denna kandidatuppsats undersöker hur förskolan kan främja handlingskompetens inom hållbar utveckling. Fokus ligger på hu...,AI,82,"Texten är välstrukturerad men följer en tydlig mall med upprepade akademiska fraser som 'undersöker hur', 'fokus ligger på', 'resultaten visar'. Meningsbyggnaden är jämn och saknar naturlig variation. Inga personliga reflektioner eller oväntade formuleringar förekommer, vilket gör att den känns generisk och AI-genererad snarare än mänskligt skriven.",True
9,formal,mistral,human_like,False,Det finns en stark koppling mellan förskolans verksamhet och barns utveckling av handlingskompetens inom hållbar utveckl...,AI,88,"Texten uppvisar en mycket regelbunden struktur med inledning, syfte, metod och slutsats, utan avvikelser. Den är allmänt hållen utan konkreta exempel eller forskningsreferenser. Språket är korrekt men klyschigt med fraser som 'central roll' och 'avgörande'. Detta i kombination med ett jämnt, opersonligt flyt gör att den känns mallartad och AI-genererad, snarare än skriven av en människa som utgår ",True
10,formal,mistral,detector_evasive,False,Förskolan spelar en viktig roll för barns handlingskompetens. Det är så brett så jag vet inte vart jag ska börja. Hållba...,AI,90,Texten är starkt repetitiv och mallartad: samma nyckelbegrepp upprepas nästan ordagrant i varje stycke. Meningarna är korta och följer samma struktur utan variation. Innehållet är ytligt och saknar fördjupning eller akademisk analys. Den informella meningen 'Det är så brett så jag vet inte vart jag ska börja' känns malplacerad i ett abstrakt. Sammantaget tyder detta på AI-genererad text snarare än,True
