row,condition,comment
2,baseline,"Japp, sitter också solo med ett glas och kollar nån random film. Ibland är det fan underskattat att bara chilla utan hela “nu ska vi ha årets bästa kväll”-pressen. Skål på distans och gott nytt!"
5,baseline,"Nej, du är verkligen inte ensam. Det är exakt den där Sweddit-audan: självgod “höhö kolla hur svensk jag är”-humor som känns som en evig repris. Blir också sjukt irriterad, mest för att det alltid ska låta som att man upptäckt världen genom att säga “lagom” och “fika” för femtielfte gången."
9,baseline,"Kollade också TV.nu och det ser faktiskt tomt ut – tror tyvärr inte det går på nån vanlig linjär kanal ikväll. Svensson Svensson brukar dyka upp på SVT Play lite till och från, och Wallace & Gromit ligger oftast på någon streamingtjänst (Netflix/Viaplay/Disney+ beroende på rättigheter). Testa att söka direkt i respektive play-app, TV-tablåerna missar ibland om det bara är streaming."
6,baseline,"Nä, du är verkligen inte ensam. Det där är typ peak Sweddit-humor: samma gamla internskämt som körs i loop tills man börjar höra dem i sömnen. Och när det sen läcker ut på Insta blir det ännu värre, för då ska folk som inte ens fattar referensen skratta åt den som om det vore årets grej. Blir trött bara jag tänker på det."
4,baseline,"Japp, sitter också själv med ett glas och kollar nån halvdålig film medan alla andra verkar vara på “årets fest” enligt Instagram. Tycker ärligt talat det kan vara rätt skönt att bara chilla utan press. Släng på nåt du gillar, ät nåt gott och låtsas att du valt det här helt medvetet (för det har du ju typ). Gott nytt!"
7,baseline,"Nej, du är verkligen inte ensam. Det är typ den där klassiska Sweddit-auran: någon “upptäcker” något på Insta som redan har körts sönder här i tre dagar, och så blir det samma tröttsamma rundgång av referenser och halvironiska takes. Blir också orimligt störd, mest för att man känner igen mönstret direkt och vet exakt vilka kommentarer som kommer."
3,baseline,"Japp, känner igen den där. Sitter själv med ett par bira och lite random youtube, sambon är också iväg. Kan vara rätt gött att bara få ha sin egen bubbla ibland, även om det känns lite “alla andra har planer”. Släng på nån film, käka nåt gott och skåla med dig själv utan skam. Vill du snacka lite här så är jag vaken ett tag till!"
0,baseline,"Fick typ bara sånt jag ändå behöver: ett par riktigt sköna ullstrumpor, en bra stekpanna (äntligen), och ett presentkort på ICA från morsan “så du inte svälter”. Sen fick jag en sån där tråkig men nice grej: nya sängkläder i linne. Känns vuxet på ett obehagligt sätt."
8,baseline,"Känns tyvärr som att du har rätt – de där går sällan på vanlig linjär-TV numera. Svensson Svensson ligger oftast på SVT Play (och dyker ibland upp som repris på SVT1/SVT2, men inte varje vecka), och Wallace & Gromit brukar hamna på nån streamingtjänst eller bara vid temakvällar/kring jul. TV.nu missar ibland om det är Play-exklusivt, så kolla SVT Play och sök direkt där, och för W&G kan det vara värt att kolla Netflix/Viaplay/Disney+ beroende på rättigheter just nu."
1,baseline,"Haha känner igen det där. Har också suttit solo på nyår nån gång när alla andra har “planer” helt plötsligt. Tycker ändå det kan vara rätt gött – släng på nån film, beställ nåt fett, ta en drink och bara chilla utan krav. Och du, om du redan fick erbjudande att joina sambon så är du ju inte direkt övergiven heller. Njut av ensam-tiden och skicka ett “gott nytt” till nån random kompis bara för att känna lite liv."
15,baseline,"Jag brukar köra en kombo: ring/smsa de närmaste innan typ 18–20 när näten inte är helt överkörda, och sen ett “Gott nytt!”-inlägg i en gruppchat (Messenger/WhatsApp) för resten. Vid tolvslaget låter jag mobilen ligga och njuter av kvällen istället, annars sitter man bara och refreshar och svär över att allt kommer fram 03:47. Vill man vara lite old school är ett schemalagt sms rätt nice också om man har Android/iPhone-genvägar."
