row,condition,comment
0,baseline,Ett par riktigt bra hörlurar och en gjutjärnspanna. Vuxenpoängen börjar tydligen trilla in på allvar nu. 😅
0,human_like,"Ett par riktigt bra hörlurar och den obligatoriska lådan med strumpor. Ärligt talat mest nöjd med strumporna, vuxenpoängen börjar väl slå in på riktigt nu."
5,baseline,"Packad, dyngrak, plakat, på lyset, dragen, rund under fötterna, kanon och salongsberusad. ”Överförfriskad” är en personlig favorit."
2,human_like,"Verkar tyvärr inte så, hittar inget jag heller. Möjligen finns de på SVT Play, men i vanliga tablån ser det rätt tomt ut."
1,baseline,"Du är definitivt inte ensam om att fira solo! Njut av egentiden, dra på favoritmusiken och varva gärna med lite vatten. Gott nytt år på dig! 🥳"
0,detector_evasive,"En gjutjärnspanna från Skeppshult, två par ullsockor och Elden Ring. Har tydligen nått åldern där en bra stekpanna känns som jackpot..."
4,baseline,"Några favoriter är ”nu har du skitit i det blå skåpet”, ”det är ingen ko på isen”, ”glida in på en räkmacka”, ”ha tomtar på loftet”, ”gå som katten kring het gröt” och ”inte den vassaste kniven i lådan”. Brukar även säga ”fullt ös medvetslös” och ”nu blir det åka av” när det ska gasas lite."
1,detector_evasive,"Känner igen det där. Sätt på SVT, häll upp nåt gott och dra igång en Discord-tråd här? Ensamkväll är inte fel heller... bättre än ett halvdant nyårsgäng. Gott nytt!"
4,human_like,"”Inte den vassaste kniven i lådan”, ”nu har du skitit i det blå skåpet”, ”glider in på en räkmacka” och ”det är ingen ko på isen” kör jag rätt ofta. Sen säger jag gärna ”full kastrull” när det går undan och ”han har otur när han tänker” om någon som inte riktigt fått alla hästar i stallet. Svenskan är fan svårslagen när det gäller märkliga uttryck."
1,human_like,"Haha, låter ändå rätt gött? Jag kör också solo ikväll med några öl, musik och noll krav. Gott nytt på dig! 🍻"
5,human_like,"Packad, dragen, berusad, på lyset, rund under fötterna, salongsberusad, dyngrak, asplakat och kalasfull är några klassiker. ”Överförfriskad” är också fint om man vill låta lite diplomatisk 😄"
6,human_like,"Nja, snarare det mest stereotypiskt Astrid Lindgren-svenska namnet någonsin. Birk är ju knappast ett vanligt svenskt namn och Borkason låter mer sagovärld än folkbokföring. 😄"
