Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.7947384
Det är så brett så jag vet inte vart jag ska börja,0.7898053
Handledningsprocesser i Medarbetarsamtalet,0.79912305
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.8940482
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.877994
Paulus lagsyn i Rom 3:21-31,0.7332546
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8651542
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.82440317
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.64762205
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.7126149
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.80677605
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.87669724
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.8368993
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.53381956
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.84704596
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.78002375
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.8212972
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.5966718
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.89499736
Artificiell intelligens - ANN och evolution i shooterspel,0.63227725
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.52729255
Användarverifiering från webbkamera,0.7574333
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.8256614
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.6843302
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.8863785
