Title,cosine_similarity
Det är så brett så jag vet inte vart jag ska börja,0.86249197
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.87560946
Paulus lagsyn i Rom 3:21-31,0.86741525
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8931446
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.83266795
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.68307674
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.67432404
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.8362812
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.8722309
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.78804755
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.8563576
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.4916381
Användarverifiering från webbkamera,0.75603104
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.87729156
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.8015655
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.8952137
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.84668124
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.8010165
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.9300207
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.9348177
Att vara syskon eller partner till en person med ätstörningsproblematik,0.8743672
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.82806385
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.6143254
Videokompression och användarnytta,0.7418339
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.76998234
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.8325947
PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,0.88442516
Är en skola för alla bra för alla? - ur elevperspektiv,0.6833532
Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,0.95501906
Finansiell riskredovisning,0.71245944
Metoder vid implementation av affärssystem: en studie om anpassning,0.58227724
Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,0.69630456
Läroplanens konkreta spår i det pedagogiska arbetet,0.7005708
Balettmapp Kungliga Operan: Operahusens design och arkitektur,0.76689446
Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,0.73755646
En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,0.927111
Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,0.84454364
Vad orsakar ilska?,0.8796854
Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,0.87746996
Matematik för alla?: Hur lärare arbetar med individualisering,0.8667744
Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter,0.82218945
Om personalförmåner motiverar de anställda,0.80755293
"Lärande på elevers villkor: En studie om lärande på omvårdnadsprogrammet, med fokus på medicinsk grundkurs",0.89724076
Damtidningar: ett behov?: En studie om återköp,0.86315614
Anmälningsskyldighet för kuratorer på ungdomsmottagningar: en studie i hur ett urval kuratorer på ungdomsmottagningar förhåller sig i sitt möte med barn under 15 år som är sexuellt aktiva,0.85178435
Sexualundervisning på särgymnasiet,0.83881676
En studie om flickor och kvinnor på elektrikerutbildningen,0.9285656
Pappersmakulatur vid Bobergs Tryckeri AB - orsaker och förbättringsförslag,0.83572316
