judge,register,condition,contrast,generator_a,generator_b,n_pairs,recall_a,recall_b,delta_b_minus_a,b_only_a_correct,c_only_b_correct,p_value,method,sig
claude,informal,baseline,gpt-4o-mini_vs_gpt-5.2,gpt-4o-mini,gpt-5.2,100,0.94,0.69,-0.25,29,4,1.0928604751825333e-05,exact,***
claude,informal,baseline,gpt-4o-mini_vs_gpt-5.6,gpt-4o-mini,gpt-5.6,100,0.94,0.64,-0.29999999999999993,33,3,2.2721360437572002e-07,exact,***
claude,informal,baseline,gpt-4o-mini_vs_mistral,gpt-4o-mini,mistral,100,0.94,0.84,-0.09999999999999998,15,5,0.04138946533203125,exact,*
claude,informal,baseline,gpt-5.2_vs_gpt-5.6,gpt-5.2,gpt-5.6,100,0.69,0.64,-0.04999999999999993,17,12,0.45825831964612007,exact,
claude,informal,baseline,gpt-5.2_vs_mistral,gpt-5.2,mistral,100,0.69,0.84,0.15000000000000002,9,24,0.013530986849218607,exact,*
claude,informal,baseline,gpt-5.6_vs_mistral,gpt-5.6,mistral,100,0.64,0.84,0.19999999999999996,8,28,0.0011932429624721408,exact,**
claude,informal,human_like,gpt-5.2_vs_gpt-5.6,gpt-5.2,gpt-5.6,100,0.73,0.52,-0.20999999999999996,26,5,0.00019219517707824707,exact,***
claude,informal,human_like,gpt-5.2_vs_mistral,gpt-5.2,mistral,100,0.73,0.96,0.22999999999999998,2,25,5.647540092468262e-06,exact,***
claude,informal,human_like,gpt-5.6_vs_mistral,gpt-5.6,mistral,100,0.52,0.96,0.43999999999999995,1,45,1.3358203432289883e-12,exact,***
claude,informal,detector_evasive,gpt-5.2_vs_gpt-5.6,gpt-5.2,gpt-5.6,100,0.38,0.48,0.09999999999999998,17,27,0.17417114727072658,exact,
claude,informal,detector_evasive,gpt-5.2_vs_mistral,gpt-5.2,mistral,100,0.38,0.78,0.4,6,46,1.0325821975243343e-08,exact,***
claude,informal,detector_evasive,gpt-5.6_vs_mistral,gpt-5.6,mistral,100,0.48,0.78,0.30000000000000004,11,41,3.5887916129517805e-05,exact,***
deepseek,informal,baseline,gpt-4o-mini_vs_gpt-5.2,gpt-4o-mini,gpt-5.2,100,0.34,0.05,-0.29000000000000004,30,1,2.9802322387695312e-08,exact,***
deepseek,informal,baseline,gpt-4o-mini_vs_gpt-5.6,gpt-4o-mini,gpt-5.6,100,0.34,0.4,0.06,14,20,0.39152830513194203,exact,
deepseek,informal,baseline,gpt-4o-mini_vs_mistral,gpt-4o-mini,mistral,100,0.34,0.24,-0.10000000000000003,26,16,0.16414940178310644,exact,
deepseek,informal,baseline,gpt-5.2_vs_gpt-5.6,gpt-5.2,gpt-5.6,100,0.05,0.4,0.35000000000000003,1,36,5.529727786779404e-10,exact,***
deepseek,informal,baseline,gpt-5.2_vs_mistral,gpt-5.2,mistral,100,0.05,0.24,0.19,3,22,0.00015652179718017578,exact,***
deepseek,informal,baseline,gpt-5.6_vs_mistral,gpt-5.6,mistral,100,0.4,0.24,-0.16000000000000003,26,10,0.011330984183587134,exact,*
deepseek,informal,human_like,gpt-5.2_vs_gpt-5.6,gpt-5.2,gpt-5.6,100,0.01,0.1,0.09000000000000001,0,9,0.00390625,exact,**
deepseek,informal,human_like,gpt-5.2_vs_mistral,gpt-5.2,mistral,100,0.01,0.25,0.24,1,25,8.046627044677734e-07,exact,***
deepseek,informal,human_like,gpt-5.6_vs_mistral,gpt-5.6,mistral,100,0.1,0.25,0.15,8,23,0.010673840530216694,exact,*
deepseek,informal,detector_evasive,gpt-5.2_vs_gpt-5.6,gpt-5.2,gpt-5.6,100,0.0,0.1,0.1,0,10,0.001953125,exact,**
deepseek,informal,detector_evasive,gpt-5.2_vs_mistral,gpt-5.2,mistral,100,0.0,0.12,0.12,0,12,0.00048828125,exact,***
deepseek,informal,detector_evasive,gpt-5.6_vs_mistral,gpt-5.6,mistral,100,0.1,0.12,0.01999999999999999,9,11,0.8238029479980469,exact,
