Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.78865975
Det är så brett så jag vet inte vart jag ska börja,0.76695615
Handledningsprocesser i Medarbetarsamtalet,0.8265568
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.85766155
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.8654225
Paulus lagsyn i Rom 3:21-31,0.8337239
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8661289
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.7653583
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.7186408
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.66370106
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.8281577
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.85623986
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.76420164
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.5526577
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.82249415
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.71618414
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.88040245
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.68350977
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.9030806
Artificiell intelligens - ANN och evolution i shooterspel,0.6605606
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.4568563
Användarverifiering från webbkamera,0.75093853
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.85824335
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.7790035
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.86605346
Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,0.7794436
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.8306554
En ny arbetsmarknadspolitik,0.7896366
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.76607585
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.8674787
"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",0.778274
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.90590954
Handledningsprocesser i Medarbetarsamtalet,0.8736061
Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,0.77230346
Att vara syskon eller partner till en person med ätstörningsproblematik,0.8228606
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.7871519
Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,0.80142677
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.65874296
Fytoremediering med perenn solros i åkerjord,0.6870309
Videokompression och användarnytta,0.7800956
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.74704576
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.7705693
Eventbubblan i syd: En studie av Film i Skånes eventverksamhet,0.9088568
Vad är det för vits med humor i vården?,0.81032807
Äldre och ensamhet: en kvalitativ studie om ensamhet bland äldre boende i eget hem och på servicehus,0.9196131
PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,0.8721032
Är en skola för alla bra för alla? - ur elevperspektiv,0.5322147
Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,0.8682389
Finansiell riskredovisning,0.61275387
Differentiering – en möjlighet att möta elevers olika förutsättningar och behov,0.7860495
Metoder vid implementation av affärssystem: en studie om anpassning,0.6545068
"2006 (Swedish)Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",0.7646266
"Ingen kan göra allt, men alla kan göra något – en studie kring pedagogers uppfattning om sin kompetens i att möta barn i sorg",0.47886822
2005 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesis,0.8504491
2002 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,0.8698442
Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,0.5943274
Läroplanens konkreta spår i det pedagogiska arbetet,0.6604624
