question,cosine_similarity
Vad fick du i julklapp iår sweddit?,0.290933
"Någon annan som är ensam och full på nyårs? Sambon är med polare och mina kompisar alla bailade. (Hade bra anledningar och jag vart bjuden att joina sambon men eh, skönt med ensam tid) Nån som vill joina?!",0.54139847
Är det verkligen ingen kanal som visar Svensson Svensson och Wallace och Gromit ikväll? Jag tittar på TV.nu men finner inget.,0.6116369
Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,0.3404919
Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,0.27424166
"Vilka är era bästa synonymer för ""full""?",0.2704917
"Birk Borkason, det mest stereotypiska svenska namnet någonsin?",0.3620657
Alvedon tuggtablett. Någon som märkt hur äckliga dom är? [deleted],0.21556854
Ska våldtäktsmän verkligen få stanna när skötsamma människor skickas hem?,0.43192562
"""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet."" Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige?",0.40300342
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.516001
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.46062964
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.5555149
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.37499738
"Det slog mig att juldagen inte har samma ""självklara"" traditioner som julafton, visst firar många julafton olika men tex julklapparna öppnas ju alltid den 24:e. Vad är juldagen för dig?",0.2552019
Vilka enskilda politiker ger bäst intryck?,0.51929164
Vilka enskilda politiker ger bäst intryck?,0.35179025
Kan man driva ett klockbatteri genom att utvinna energi från handledens värme? Köpte en Apple Watch och det slog mig. Borde det inte gå att omvandla den värmeenergi som handleden utsöndrar för att ladda batteriet? Någon som vet/hört något?,0.6161206
Kan man driva ett klockbatteri genom att utvinna energi från handledens värme? Köpte en Apple Watch och det slog mig. Borde det inte gå att omvandla den värmeenergi som handleden utsöndrar för att ladda batteriet? Någon som vet/hört något?,0.6187395
Ifall det finns no go zoner där polisen inte färdas varför säljer man bara inte sitt knark där?,0.4811355
Vad kallar en blind programmerare sin ledhund? SYNTAX.,0.20964795
Vilken streaming tjänst är bäst i nuläget?,0.63053477
"Mat till event utan kylskåp, men micro? Hyfsat less på panpizzor. **edit:** shit, menade inte till andra, bara till mig då",0.685974
Är det brunsmetning att peka på det uppenbara?,0.41229528
DGS TV - Vad tänker norrmännen om Sverige?,0.5527687
"Handla underkläder på Centralstationen? Finns det någon butik på Stockholms Centralstation där man kan köpa underkläder (för män; strumpor, kallingar)?",0.35500166
"Handla underkläder på Centralstationen? Finns det någon butik på Stockholms Centralstation där man kan köpa underkläder (för män; strumpor, kallingar)?",0.79074836
Nyår i Stockholm? Har nån tips på vad man kan hitta på på nyårsafton i Stockholm?,0.29977757
Nyår i Stockholm? Har nån tips på vad man kan hitta på på nyårsafton i Stockholm?,0.44153664
"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",0.6899418
"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",0.6143147
Finns det ingen Badmintonhall i Bromma/Kungshölmen?,0.6492537
Tips på bra julbord i Stockholm? Var går man ut och äter kvalitets-julbord i Stockholm? (Lunch eller middag spelar ingen roll.),0.67085445
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.34724098
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.4438626
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.63920563
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.5911557
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.6103842
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.6198372
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.38828242
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.4433808
"Hej, Har just pluggat färdigt och sökt samt fått en traineeplats (6 månader, sedan fast anställning) på ett medelstort företag.  Vad anser ni rent generellt om traineetjänster? Är det bra att ha i sitt CV eller är det kanske bättre att skaffa en fast tjänst direkt? /S",0.75273657
"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater   Tänkte testa nå nytt",0.77589464
"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater   Tänkte testa nå nytt",0.76925224
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.8443148
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.6248425
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.7898189
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.8070922
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.1636366
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.34273797
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.50818974
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.56061244
"The title says it all, tänkte om nån visste varför?",0.25163287
"The title says it all, tänkte om nån visste varför?",0.27507764
"The title says it all, tänkte om nån visste varför?",0.14328595
"The title says it all, tänkte om nån visste varför?",0.1941682
"The title says it all, tänkte om nån visste varför?",0.1563041
"The title says it all, tänkte om nån visste varför?",0.206364
"The title says it all, tänkte om nån visste varför?",0.24411464
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.22669977
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.3552225
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.25513798
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.30373627
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.34629518
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.5126275
Var ett tag jag så en dokumentär där en ung flicka hade otroligt många personligheter minns också att hon skrev dagbok och där fick man se hur det ändrades i texten av dem olika personligheterna. var länge sen jag såg den vill gärna ta och se den igen. någon som vet vilken dokumentär jag menar?,0.38329095
Var ett tag jag så en dokumentär där en ung flicka hade otroligt många personligheter minns också att hon skrev dagbok och där fick man se hur det ändrades i texten av dem olika personligheterna. var länge sen jag såg den vill gärna ta och se den igen. någon som vet vilken dokumentär jag menar?,0.22710548
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.415258
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.35379618
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.31649223
Ingen som vet vart man kan köpa Stenströms under bara skjortor - på internet?,0.47161502
någon som har lyckats och vet hur man gör? vet att det ska fungera men jag har pillat runt i månader utan att lyckas...,0.15536585
någon som har lyckats och vet hur man gör? vet att det ska fungera men jag har pillat runt i månader utan att lyckas...,0.45779017
"Undrar om det är någon som har gynekomasti? Eller har opererat sig för det, hur blev resultatet i såfall? Och hur mycket kostade det?",0.1709082
"Undrar om det är någon som har gynekomasti? Eller har opererat sig för det, hur blev resultatet i såfall? Och hur mycket kostade det?",0.030913498
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.47297096
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.44826818
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.24967077
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.46311393
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.45597222
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.5563003
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.47029927
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.39337742
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.4299258
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.5533662
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.37836123
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.5057241
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.12123489
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.50583804
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.49733546
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.19480345
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.5480761
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.35387468
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.6185399
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5954004
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.435665
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.30968356
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.43933737
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5782465
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.30805862
