model,register,condition,doc_id,error,refusal,markdown_n,chars,text
gpt-5.2,formal,detector_evasive,51,,,0,1863,"Uppsatsen handlar om hur företag gör redovisningsval när de upprättar bokslut, och hur dessa val hänger ihop med periodiseringsfonder. Utgångspunkten är Agentteorin och Positive Accounting Theory. I studien används Agentteorin för att beskriva relationen mellan ägare och ledning. Den relationen skapar målkonflikter. Ledningen har ofta mer info än ägarna. Det öppnar för bokslutspolitik.

Positive Accounting Theory används för att förklara varför redovisningsval ser ut som de gör. Uppsatsen utgår från att ledningen väljer metoder som passar deras mål i en viss situation. Här blir periodiseringsfonder en central del. Periodiseringsfonder ger ett lagligt sätt att flytta resultat mellan år. Det påverkar hur vinsten ser ut i bokslutet. Det påverkar också skatt och utdelningsutrymme i praktiken.

Syftet är att koppla redovisningsval till incitament som Agentteorin och Positive Accounting Theory lyfter fram. En viktig del är hur bokslutspolitik kan användas för att jämna ut resultat över tid. En annan del är hur periodiseringsfonder kan användas när företaget vill visa ett visst resultat för ägare, långivare och andra intressenter. Uppsatsen tar upp hur ledningen kan vilja visa stabilitet. Den tar också upp hur ledningen kan vilja undvika stora svängningar som ger frågor från bank eller styrelse.

Arbetet visar att periodiseringsfonder ofta blir ett verktyg i bokslutspolitik. Det gäller särskilt när företaget har ett resultat som ligger nära en gräns som får följder. Det kan handla om lånevillkor, bonus och krav på utdelning. Med Agentteorin blir detta en fråga om kontroll och uppföljning. Med Positive Accounting Theory blir det en fråga om val som går att förutse utifrån incitament. Uppsatsen knyter därmed ihop periodiseringsfonder, redovisningsval och bokslutspolitik i ett ramverk som bygger på Agentteorin och Positive Accounting Theory."
gpt-5.2,formal,detector_evasive,163,,,0,1740,"Denna sammanfattning handlar om stöd vid övervikt och fetma. Arbetet utgår från Blekinge Institute of Technology, School of Health Science. Fokus ligger på hur en sjuksköterska ger stöd vid övervikt och fetma och hur stöd hänger ihop med motivation och livsstilsförändring.

Övervikt och fetma påverkar hälsa och vardag. Därför möter sjuksköterska ofta personer som vill eller behöver göra en livsstilsförändring. Texten beskriver hur stöd kan se ut i praktiken. Den tar upp samtal som bygger på respekt. Den tar upp att sjuksköterska behöver lyssna. Den tar upp att sjuksköterska behöver ställa tydliga frågor. Den tar upp att sjuksköterska behöver följa upp och vara kvar över tid.

Ett viktigt resultat är att stöd och motivation hänger ihop. När stöd är konkret blir motivation starkare. Stöd handlar om att sätta mål som går att nå. Det handlar om små steg. Det handlar om rutiner för mat och rörelse. Det handlar också om sömn och stress. Stöd blir tydligt när sjuksköterska och patient gör en plan ihop och när de pratar om hinder som finns i vardagen.

Sammanfattningen lyfter också att stöd behöver anpassas. En del vill ha täta kontakter. En del vill ha tydliga råd. Andra vill ha mer egen takt men ändå uppföljning. Sjuksköterska kan stärka motivation genom att bekräfta det som redan fungerar. Sjuksköterska kan också ge stöd när det går trögt och när återfall kommer. Då blir bemötandet centralt. Skuld och skam kan annars ta plats och bromsa en livsstilsförändring.

Arbetet avslutas med att stöd vid övervikt och fetma behöver vara långsiktigt. Sjuksköterska har en viktig roll i att hålla ihop stöd, motivation och livsstilsförändring. Det gäller i mötet med den enskilda personen och i det förebyggande arbetet inom vården."
gpt-5.2,formal,detector_evasive,119,,,0,1840,"I denna kandidatuppsats av Andersson, Helena studeras systemutveckling med fokus på en designprocess som tar sin start i ett befintligt system. Arbetet utgår från att användare redan har vanor och sätt att lösa uppgifter. Därför blir det viktigt att förstå hur användare arbetar i praktiken och hur de talar om sitt arbete. Uppsatsen visar hur språk hänger ihop med val i designprocess. När utvecklare och användare möts så behöver de ord som båda förstår och använder på samma sätt.

Ett centralt spår i arbetet är kommunikation genom artefakter. Artefakter som skisser, enkla prototyper och skärmbilder används för att göra idéer synliga. De hjälper både användare och utvecklare att peka på samma sak. De gör det lättare att säga vad som fungerar och vad som skaver i ett befintligt system. Uppsatsen beskriver också hur artefakter blir en del av arbetet i grupp. Gruppen använder artefakter för att samla beslut och för att hålla ihop nästa steg i systemutveckling. På så sätt bär artefakterna både språk och gemensamt minne.

Vidare lyfter Andersson, Helena fram hur arbete i grupp påverkar designprocess. Gruppen behöver en tydlig rytm. De behöver möten där användare deltar och där artefakter prövas. När gruppen arbetar med ett befintligt system blir det extra viktigt att fånga sådant som redan sitter i väggarna. Det gäller ord, rutiner och små genvägar som användare tar. Uppsatsen knyter detta till språk och visar hur små skillnader i ordval kan ge stora följder i systemutveckling.

Sammanfattningsvis handlar uppsatsen om hur designprocess, användare, befintligt system, språk, kommunikation genom artefakter och arbete i grupp hänger ihop i systemutveckling. Uppsatsen betonar att konkreta artefakter och ett gemensamt språk gör det lättare att samarbeta och att fatta beslut som användare känner igen i sitt dagliga arbete."
gpt-5.2,formal,detector_evasive,29,,,0,2136,"Denna studie handlar om att arbeta integrerat med asylbarn i allmän förskola. Fokus ligger på integrering och på hur lärare gör i vardagen. Studien bygger på en kvalitativ studie baserad på lärarintervjuer. Lärarna arbetar i allmän förskola och möter asylbarn som kommer in i en barngrupp som redan finns.

Syftet är att beskriva hur lärare planerar och genomför integrering. Studien tar också upp vad som stödjer integrering och vad som bromsar den. I intervjuerna berättar lärarna om rutiner vid inskolning. De berättar om trygghet i början. De beskriver hur de använder bildstöd. De lyfter att fasta rutiner hjälper asylbarn att förstå dagen. De återkommer till att det tar tid. De talar om att små steg fungerar. De tar upp att relationen till en vuxen ofta blir startpunkten för integrering.

I materialet framstår språket som centralt. Lärarna beskriver hur de arbetar med samtal i lek. De beskriver högläsning och sång. De beskriver hur de låter barnen peka och visa. De kopplar språk till delaktighet i gruppen. De säger också att integrering blir svår när de saknar tid för samtal i små grupper. De tar upp att barnens tidigare erfarenheter ibland påverkar hur de vågar delta.

Lärarna beskriver samarbete som en del av integrering. De tar upp kontakt med vårdnadshavare. De tar upp tolk när det går att få. De beskriver att det blir lättare när de får stöd från specialpedagog och från rektor. De beskriver också att arbetet blir ojämnt när det saknas tydliga ramar för mottagande av asylbarn i allmän förskola. De lyfter att en stabil bemanning gör stor skillnad. De säger att när personal byts ofta så tar integrering längre tid.

Sammanfattningsvis visar studien att att arbeta integrerat med asylbarn i allmän förskola bygger på enkla saker som görs varje dag. Lärarna skapar trygghet. De håller i rutiner. De ger stöd i språk och lek. De arbetar nära hemmet när det går. Integrering blir starkare när skolan ger tid och stöd. Integrering blir svagare när tid och resurser inte räcker. Studien ger en bild av ett arbete som sker i mötet mellan lärare och asylbarn. Den visar hur integrering formas i praktiken i förskolan."
gpt-5.2,formal,detector_evasive,166,,,0,2131,"I denna kandidatuppsats behandlas nutidens ventilationssystem i lantbrukets lösdriftstallar. Arbetet tar sin utgångspunkt i hur ett ventilationssystem fungerar i ett lösdriftstall och i ett kostall. Fokus ligger på naturlig ventilation och på hur den används i praktiken i dagens byggnader.

Studien bygger på en undersökning av sex stycken ventilationssystem. Varje ventilationssystem beskrivs utifrån hur luften tas in och hur luften går ut. Det gäller öppningar i vägg, nock och tak. Det gäller också hur stora öppningarna är och hur de styrs. I flera fall ingår ridåer i långsidorna. I andra fall ingår fasta öppningar. För varje lösdriftstall redovisas också grunddata som planlösning och inredning. Detta kopplas till hur ventilationssystemet används i vardagen.

Resultatet visar att naturlig ventilation dominerar i de undersökta lösdriftstallarna. Den används för att ge ett jämnt luftflöde över året. Samtidigt ställer naturlig ventilation krav på att öppningarna är rätt placerade och att de hålls öppna på ett sätt som passar väder och vind. I flera kostall blir det tydligt att skötsel och rutiner styr hur ventilationssystemet fungerar. När ridåer och luckor ställs om i tid så får man ett stabilare stallklimat. När de står i samma läge länge så får man större skillnader i luft och drag.

Undersökningen visar också skillnader mellan systemen. Vissa ventilationssystem ger hög luftväxling under milda perioder. Andra ventilationssystem ger bättre skydd mot drag under kalla perioder. I några lösdriftstallar syns en tydlig tanke kring nocköppning och tilluft i långsidorna. I andra lösdriftstallar blir luftvägen mindre tydlig. Där får man i stället lokala zoner med stillastående luft eller drag nära öppningar.

Sammanfattningsvis visar arbetet att nutidens ventilationssystem i lantbrukets lösdriftstallar ofta bygger på naturlig ventilation. Det ger enkla lösningar. Det kräver också att man planerar öppningar och att man sköter dem löpande. Studien ger en samlad bild av sex stycken ventilationssystem i lösdriftstall. Den visar vad som fungerar i ett kostall och vilka val som får stor effekt på stallmiljön."
gpt-5.2,formal,detector_evasive,144,,,0,2280,"Den här uppsatsen har titeln Varför team? En fallstudie på tre företag. Den tar upp hur styrning hänger ihop med team och hur team påverkar flöde. Den utgår från att många företag vill få bättre fart i arbete som går genom en process. De vill ha flödesorientering och processorientering. De vill också höja lönsamhet.

Studien bygger på en fallstudie på tre företag. Fokus ligger på hur de organiserar arbete i team. Fokus ligger också på hur de styr team. Ett centralt spår är hur styrning förändras när man går från en klassisk linje till team som tar ansvar för en process. Det gäller mål. Det gäller roller. Det gäller beslut i vardagen.

Ett resultat är att team ofta införs för att få ett stabilare flöde. Företagen vill minska väntan mellan steg. De vill att arbete rör sig genom en process utan stopp. När team arbetar nära varandra och följer samma process blir det enklare att se hinder i flöde. Det blir också enklare att lösa dem snabbt. I flera delar av fallen kopplas detta till flödesorientering. Man mäter mer i tid och leverans. Man pratar mer om helheten.

Ett annat resultat är att processorientering kräver tydlig styrning. Team får frihet i hur de löser uppgifter. Samtidigt behöver de ramar. Företagen i fallstudien använder styrning som håller ihop process och flöde. De sätter mål för flöde. De följer upp avvikelser i process. De gör prioritering synlig. När styrning blir otydlig tappar team tempo. Då bryts flöde och man får fler lokala lösningar som inte passar i process.

Studien visar också en koppling till lönsamhet. När flöde fungerar lägger team mindre tid på omtag. De lägger mindre tid på att vänta på andra. De kan leverera oftare. Det gör att företagen får bättre kontroll på kostnader i process. Det gör också att de kan ta betalt snabbare i vissa fall. I de tre fallen beskrivs lönsamhet främst som en följd av bättre flöde och en mer processorientering styrning.

Sammanfattningsvis visar Varför team? En fallstudie på tre företag att team blir ett sätt att driva flödesorientering i praktiken. Team gör arbete mer synligt. Team gör det lättare att hålla ihop en process. Det kräver styrning som stödjer flöde. När styrning, team, flöde, flödesorientering, process och processorientering drar åt samma håll får företagen bättre lönsamhet."
gpt-5.2,formal,detector_evasive,30,,,0,2412,"Studien handlar om HKK och om hur lärare ser på och praktiserar jämställdhet och genus. Titeln ”Men det här är ju kvinnogöra” pekar på att gamla idéer om vem som ska göra vad i hemmet fortfarande finns kvar. Fokus ligger på vad lärarna säger att de vill göra, och vad de faktiskt gör i sin undervisning. Studien följer hur jämställdhet och genus tar plats i planering, genomförande och uppföljning.

Ett huvudspår är hur hem och vardagsarbete värderas. Lärarna beskriver att HKK ofta kopplas till hem och till sådant som länge har setts som kvinnogöra. De tar upp att elever kommer in i ämnet med färdiga bilder av vem som lagar mat, vem som städar och vem som har koll på kläder och inköp. Lärarna arbetar därför med att synliggöra genus i vardagsval. De lyfter fram arbetsfördelning i hemmet. De tar upp reklam, matvanor och konsumtion. De pratar om ansvar, tid och pengar.

Ett annat spår är gruppindelningar. Lärarna beskriver hur de delar in elever när de lagar mat och gör praktiska moment. De tar upp att gruppindelningar påverkar vem som tar plats. De ser att vissa elever tar ledningen och att andra hamnar i samma roller varje gång. De beskriver att genus syns i vem som tar kniven, vem som läser receptet och vem som diskar. De berättar att de därför styr gruppindelningar mer aktivt. De byter grupper ofta. De ger tydliga roller. De följer upp efteråt. De vill att alla ska prova alla moment.

Studien tar också upp betyg och bedömning. Lärarna beskriver att betyg och bedömning blir extra svåra i HKK eftersom mycket sker i grupp. De vill bedöma varje elev. De vill vara rättvisa. De tar upp att genus kan spela in när de tolkar ordning, noggrannhet och samarbete. De beskriver att de använder matriser och tydliga mål. De observerar under lektioner. De använder loggbok och korta samtal. De försöker skilja på resultat och arbetsprocess. Samtidigt visar studien att betyg och bedömning lätt hänger ihop med gamla bilder av vad som räknas som bra arbete i ett hem.

Sammanfattningsvis visar studien att jämställdhet och genus finns i många delar av HKK. Det syns i innehållet om hem. Det syns i gruppindelningar. Det syns i betyg och bedömning. Lärarna beskriver att de vill arbeta för jämställdhet. De gör det genom att prata om genus, styra arbetssätt och göra krav tydliga. Studien visar också att uttryck som ”kvinnogöra” lever kvar som en referenspunkt som lärare behöver hantera i sin praktik."
gpt-5.2,formal,detector_evasive,139,,,0,2738,"Den här uppsatsen tar upp Säkerhetskapital och visar hur Säkerhetskapital är en del av det Intellektuella Kapitalet. Utgångspunkten är att Intellektuellt kapital ofta beskrivs som något som skapar värde men att det också kräver skydd. Här blir informationssäkerhet central. När en organisation bygger system och arbetssätt så bygger den också upp Säkerhetskapital. Det handlar om sådant som gör att information går att lita på. Det handlar om att hålla rätt nivå på skyddet. Och det handlar om att minska risk på ett sätt som går att följa upp.

I bakgrunden finns den linje som bland annat Thomas A. Stewart drev i Intellectual Capital från 1997 och som Leif Edvinsson och Michael S. Malone tog upp i Intellectual Capital från 1997. De visar att Intellektuellt kapital består av mer än bara pengar och maskiner. I den här uppsatsen kopplas den idén till informationssäkerhet. Det gör att Säkerhetskapital går att se som en konkret del av Intellektuellt kapital. Säkerhetskapital kan då beskrivas som den samlade förmågan att skydda information i vardagen. Det syns i teknik. Det syns i rutiner. Och det syns i hur folk gör sitt jobb.

Uppsatsen använder risk som en röd tråd. Risk uppstår när hot möter sårbarheter och när skyddet brister. Därför blir arbetet med informationssäkerhet ett arbete med risk. Det sker ofta genom att man sätter mål och krav. Man gör en riskanalys. Man väljer kontroller. Och man följer upp. Här går det att knyta an till ISO IEC 27001 från 2013 och ISO IEC 27002 från 2013 som ger en tydlig ram för informationssäkerhet. Det går också att knyta an till NIST Cybersecurity Framework från 2014 som betonar att man ska identifiera skydd upptäcka svara och återställa. När en organisation gör detta över tid så växer Säkerhetskapital.

En viktig del i resonemanget är att Säkerhetskapital inte bara är ett it projekt. Det är en del av styrning och ledning. Det påverkar hur man hanterar roller och ansvar. Det påverkar utbildning. Och det påverkar hur man agerar vid en incident. Här blir Säkerhetskapital nära kopplat till det Intellektuella Kapitalet eftersom det handlar om kunskap och förmåga som sitter i människor och i strukturer. Om man ser Intellektuellt kapital som något som skapar värde så blir Säkerhetskapital det som skyddar det värdet i praktiken.

Sammanfattningsvis visar uppsatsen att Säkerhetskapital är en del av det Intellektuella Kapitalet och att det går att förstå genom informationssäkerhet och risk. När en organisation jobbar med risk på ett systematiskt sätt så bygger den upp Säkerhetskapital. Det gör att information blir mer robust. Det gör att verksamheten står stadigare. Och det gör att Intellektuellt kapital får bättre skydd och därmed bättre chans att ge långsiktigt värde."
gpt-5.2,formal,detector_evasive,135,,,0,480,"Jag kan göra det, men jag saknar själva titeln och nyckelorden. Just nu står bara “Andersson, Jonas, nan”, och “nan” ser ut som att fältet för titel eller nyckelord saknas.

Skicka detta så skriver jag en sammanfattning i kandidatuppsatsstil enligt dina krav:
1. Titel (ordagrant)
2. Nyckelord (ordagrant, gärna som lista)
3. Om du har det: ämne eller kurs, samt årtal för texten

Klistra in så här, så blir det lätt:
- Titel:
- Nyckelord:
- (Valfritt) År:
- (Valfritt) Ämne/kurs:"
gpt-5.2,formal,detector_evasive,158,,,0,2296,"Denna kandidatuppsats handlar om fysisk beröring för människans välbefinnande. Den är skriven vid Blekinge Institute of Technology, School of Health Science. Fokus ligger på hur massage och terapeutisk beröring hänger ihop med välbefinnande i vård och i vardag. Texten tar också upp hur fysisk beröring påverkar smärta, oro och ångest. Den tar upp mätbara saker som blodtryck. Den tar även upp oxytocin.

I uppsatsen beskrivs massage som en tydlig form av fysisk beröring. Massage används vid smärta. Den används också när en person har oro och ångest. I flera delar av genomgången kopplas massage till välbefinnande. Det handlar om att kroppen slappnar av. Det handlar om att personen får ro. Det handlar om att stressnivån går ner. I samma linje lyfter uppsatsen terapeutisk beröring. Terapeutisk beröring beskrivs som en metod där beröring används på ett lugnt och genomtänkt sätt. Den används ofta i vård. Den används när det finns behov av trygghet.

En central del i uppsatsen är oxytocin. Oxytocin beskrivs som ett hormon som frisätts vid fysisk beröring. Oxytocin kopplas till lugn. Oxytocin kopplas också till närhet och trygghet. När oxytocin ökar beskriver uppsatsen att oro och ångest minskar. Den beskriver också att välbefinnande ökar. Detta kopplas till hur beröring kan göra att kroppen går ner i varv. Det kopplas även till att smärta upplevs som mindre stark.

Uppsatsen tar upp blodtryck som ett konkret mått. Den beskriver att massage och terapeutisk beröring kan sänka blodtryck. Den kopplar det till minskad oro och ångest. Den kopplar det också till ökat välbefinnande. Blodtryck blir då ett sätt att visa att fysisk beröring inte bara är en känsla. Den kan också ge en tydlig effekt i kroppen.

I diskussionen lyfter uppsatsen att fysisk beröring behöver ske med respekt. Den behöver vara frivillig. Den behöver passa personens behov. I vård kräver det lyhördhet. Det gäller särskilt när personen har smärta. Det gäller också vid oro och ångest. Samtidigt visar uppsatsen att massage och terapeutisk beröring har en plats i arbete med välbefinnande. Den kopplar detta till oxytocin och till blodtryck. Slutsatsen blir att fysisk beröring för människans välbefinnande är ett område som är relevant i praktiken och som går att knyta till både upplevelse och kroppsliga mått."
