item_id,register,generator,condition,is_human,context,text,source_row,pair_id
1,formal,human,human,True,Det är så brett så jag vet inte vart jag ska börja,Syftet med studien är att få en fördjupad förståelse för hur pedagoger tolkar och utvecklar arbetet kring begreppet hållbar utveckling utifrån den kunskap de besitter. Teorier om kunskap och hållbar utveckling samt begreppet handlingskompetens är centrala delar i föreliggande studie. Studien utgår från en kvalitativ metod och är grundad på semistrukturerade intervjuer med sammanlagt sex pedagoger från två förskolor i södra Sverige. Studien utgår från två forskningsfrågor: (1) hur förhåller sig pedagoger till begreppet hållbar utveckling ur ett lärandeperspektiv samt (2) om normer och värderingar synliggörs; hur speglas dessa i pedagogernas arbete med kunskapsbildning för hållbar utveckling. Resultatet av studien visar att pedagogers uppfattningar av begreppet hållbar utveckling riktar sig åt de tre dimensionerna ekologisk; ekonomisk och social. Pedagogernas kunskapsbildning grundar sig i fortbildningen Grön flagg eller pedagogernas eget intresse. Främst sker lärandet för hållbar utveckling utifrån ämnen som kan göras konkreta för barnen; till exempel källsortering och skräpplockning. Pedagogerna beskriver situationer där barnens handlingskompetens speglas. Pedagogerna anser att de verkar som förebilder för barnen. Det är främst den normerande undervisningsformen som synliggörs i pedagogernas beskrivningar av arbetet för lärandet av hållbar utveckling. Den styrs av attityder och värderingar som är grunden för om de agerar för hållbar utveckling.,1,formal-1
2,formal,gpt-5.2,baseline,False,Det är så brett så jag vet inte vart jag ska börja,"Utifrån titeln ”Det är så brett så jag vet inte vart jag ska börja” och de angivna nyckelorden kan studien sammanfattas som en undersökning av hur hållbar utveckling förstås, tolkas och omsätts i förskolans praktik. Titeln signalerar att hållbar utveckling upplevs som ett omfattande och mångtydigt område, vilket kan skapa osäkerhet kring var undervisningen ska ta sin början och vilka delar som ska prioriteras. I fokus står förskolans miljöundervisning och hur barns lärande formas i mötet mellan kunskap och känslor. Sammanfattningsvis problematiseras att undervisning om miljö och hållbarhet inte enbart handlar om att förmedla fakta, utan också om att hantera barns och pedagogers engagemang, oro, hopp och ansvarskänslor. Därmed framträder lärande som en helhet där kognitiva och emotionella dimensioner samspelar och påverkar vilka handlingar som upplevs meningsfulla och möjliga. Vidare belyses normer och värderingar som centrala komponenter i hållbarhetsundervisning. Eftersom hållbar utveckling rymmer etiska ställningstaganden (exempelvis kring konsumtion, naturens värde och ansvar mellan generationer) blir undervisningen också en arena där vissa perspektiv legitimieras och andra riskerar att osynliggöras. Studien kan därmed förstås som en analys av hur värdegrundsarbete och miljöpedagogik flätas samman, och hur pedagoger navigerar spänningen mellan att vägleda och att lämna utrymme för barns egna frågor och tolkningar. Ett genomgående mål är utveckling av handlingskompetens, det vill säga barns (och verksamhetens) förmåga att förstå, värdera och agera i relation till hållbarhetsfrågor. I sammanfattning betonas att handlingskompetens inte reduceras till enstaka “goda vanor” (som sopsortering), utan omfattar förståelse för sammanhang, möjlighet att påverka i vardagen och att utveckla en upplevelse av delaktighet. Sammantaget pekar studiens inriktning mot att förskolans arbete med hållbar utveckling kräver didaktiska avvägningar: att göra ett brett område gripbart, att förena kunskap med känslomässigt meningsskapande samt att medvetandegöra hur normer och värderingar formar både undervisningens innehåll och barns lärande.",1,formal-1
3,formal,gpt-5.2,human_like,False,Det är så brett så jag vet inte vart jag ska börja,"Utifrån titeln ”Det är så brett så jag vet inte vart jag ska börja” och nyckelorden kretsar uppsatsen kring en central spänning i förskolans arbete med hållbar utveckling: att uppdraget upplevs som både angeläget och överväldigande. Sammantaget handlar studien om hur hållbar utveckling blir begriplig och möjlig att arbeta med i förskolans vardag, och vilka faktorer som påverkar barns lärande och pedagogers val av innehåll, arbetssätt och förhållningssätt. Uppsatsen tar sin utgångspunkt i att hållbar utveckling i förskolan inte enbart är en fråga om fakta och sakförhållanden, utan också om normer, värderingar och känslor. Kunskap om miljö och klimat framställs som nödvändig, men inte tillräcklig i sig. I stället betonas hur lärande formas i mötet mellan barns frågor, pedagogers tolkningar av uppdraget och de vardagliga situationer där miljöfrågor blir konkreta (exempelvis kring konsumtion, återvinning, matsvinn, naturupplevelser och omsorg om närmiljön). Här synliggörs också hur barns känslor – som oro, nyfikenhet, empati eller frustration – kan fungera både som drivkraft och som hinder i arbetet. Uppsatsen problematiserar därmed att pedagoger behöver kunna hantera känslomässiga dimensioner utan att skapa hopplöshet, samtidigt som frågor inte förenklas så mycket att de tappar mening. Ett centralt begrepp i sammanhanget är handlingskompetens. Uppsatsen visar hur förskolans miljöundervisning kan röra sig från att handla om ”rätt och fel” och individuella små handlingar, till att stärka barns möjligheter att förstå samband, resonera, pröva och erfara att de kan påverka. Handlingskompetens beskrivs som något som utvecklas genom att barn får vara delaktiga, göra val, se konsekvenser och sätta ord på sina tankar tillsammans med andra. Det innebär att undervisningen inte enbart siktar på att barn ska lära sig om hållbarhet, utan också att de ska kunna agera i relation till den – på sätt som är meningsfulla i deras livsvärld. Samtidigt synliggörs en återkommande utmaning: hållbar utveckling uppfattas som ett brett och ibland diffust uppdrag, vilket kan leda till osäkerhet kring vad som faktiskt ska undervisas, och hur. Denna osäkerhet kopplas både till kunskapsfrågor (vad behöver pedagogen kunna?) och till värdefrågor (vilka normer förmedlas, medvetet eller omedvetet?). Uppsatsen diskuterar hur normer och värderingar alltid finns närvarande i hållbarhetsundervisning – exempelvis i synen på naturen, ansvar, konsumtion och ”det goda livet”. Det kan skapa en balansgång mellan att vägleda och att moralisera, mellan att inspirera och att styra. Här betonas vikten av ett reflekterat förhållningssätt där pedagoger synliggör och granskar egna utgångspunkter, och där barns perspektiv tas på allvar. Sammanfattningsvis framträder hållbar utveckling i förskolan som ett område där kunskap, känslor, normer och handling vävs samman. Uppsatsen pekar på att undervisning för hållbar utveckling kräver både didaktisk medvetenhet och ett språk för att hantera komplexitet: att kunna göra stora frågor begripliga utan att göra dem ytliga, och att skapa lärandesituationer som stärker barns delaktighet och framtidstro. I slutänden handlar uppsatsen om att gå från känslan av att ”inte veta var man ska börja” till att hitta arbetssätt som gör hållbarhetsfrågor möjliga att undersöka i det lilla – utan att tappa det stora sammanhanget.",1,formal-1
4,formal,gpt-5.2,detector_evasive,False,Det är så brett så jag vet inte vart jag ska börja,"Den här uppsatsen tar sin början i en vanlig känsla i Förskola. Det är så brett så jag vet inte vart jag ska börja. Samtidigt finns ett krav på riktning. Hållbar utveckling ska in i vardagen. Det ska också synas i Miljöundervisning. Jag utgår från att frågan inte bara handlar om vad barn får veta. Den handlar om hur barn lär. Den handlar om Kunskap och Känslor. Den handlar om Normer och Värderingar. Och den handlar om Handlingskompetens. Jag tar stöd i styrdokument. Lpfö 18 styr mitt val av fokus. Jag tar också stöd i forskning om utbildning för hållbar utveckling. Jag använder UNESCO som ram. Jag använder också Öhman och Sund som skriver om didaktiska val i Miljöundervisning. Jag knyter vidare till Wals och van der Leij som skriver om lärande för förändring. Jag tar även med Hedefalks studier om Hållbar utveckling i Förskola. I bakgrunden finns Dewey (1916). Lärande sker när barn får göra och pröva. Och när de får sätta ord på det de gör. Syftet är att beskriva hur Förskola kan arbeta med Hållbar utveckling så att barn utvecklar Handlingskompetens. Jag lägger tyngd på det som sker i handling. Jag tittar på hur Kunskap växer i mötet med material och platser. Jag tittar på hur Känslor får plats. Jag tittar på hur Normer och Värderingar blir synliga i samtal och rutiner. Jag utgår från att barn formar sin syn på miljö och rätt och fel tidigt. Därför spelar Miljöundervisning roll. Jag delar in innehållet i tre delar. Först Kunskap. Barn behöver få möta ord och fakta. Men de behöver också få se samband. Det gäller vatten, avfall och energi. Det gäller mat och konsumtion. Här blir Lärande ofta konkret. Pedagogen tar fram kompost. Pedagogen mäter regn. Barnen sorterar. Barnen odlar. Det blir tydligt att Kunskap inte bara sitter i huvudet. Den sitter i kroppen och i vanor. Den andra delen handlar om Känslor. Barn reagerar på det de ser. De blir glada när fröet gror. De blir arga när någon skräpar ner. De blir ledsna när en mask torkar. Känslor styr vad som blir viktigt. Därför behöver pedagogen ta Känslor på allvar. Pedagogen behöver ge språk. Pedagogen behöver hålla i samtalet. Känslor blir också en väg in i Handlingskompetens. Barn gör mer när de bryr sig. Den tredje delen handlar om Normer och Värderingar. I Förskola finns regler och rutiner. De blir lätt osynliga. Men de lär barn hur man ska vara. Om alla alltid sorterar så blir sortering en norm. Om vuxna alltid tar bilen så blir det också en norm. Jag visar att Miljöundervisning ofta bär på starka Normer och Värderingar. Det gäller synen på natur. Det gäller synen på ansvar. Det gäller synen på vad som räknas som ett bra barn. Därför behöver pedagogen granska sitt eget språk. Pedagogen behöver också släppa in barnens frågor. I analysen använder jag Handlingskompetens som ett samlande begrepp. Handlingskompetens handlar om mer än att göra rätt. Det handlar om att förstå och kunna välja. Det handlar om att kunna påverka i en liten skala. I Förskola blir det ofta nära. Barnen kan påverka hur de äter. Barnen kan påverka hur de tar hand om gården. Barnen kan påverka hur de använder vatten. Jag visar också att Handlingskompetens växer när barn får vara med och bestämma. Det gäller val av projekt. Det gäller val av plats. Det gäller val av material. Sammantaget visar uppsatsen att Hållbar utveckling i Förskola behöver hålla ihop Kunskap och Känslor. Den behöver också synliggöra Normer och Värderingar. Miljöundervisning blir starkast när den knyter an till barns vardag och när Lärande får ske i handling. Då blir det mindre av att vuxna talar om vad som är rätt. Och mer av att barn prövar, pratar och gör. Det är så Handlingskompetens växer. Och det är så bredden går att börja i.",1,formal-1
5,formal,gpt-5.6,baseline,False,Det är så brett så jag vet inte vart jag ska börja,"Hållbar utveckling är ett omfattande och komplext område som kan upplevas svårt att omsätta i förskolans undervisning. Denna studie belyser hur undervisning för hållbar utveckling kan förstås och genomföras i förskolan, med särskilt fokus på samspelet mellan kunskap, känslor, normer och värderingar. Studien uppmärksammar även hur barns handlingskompetens kan främjas genom att de ges möjlighet att undersöka miljöfrågor, uttrycka sina tankar och känslor samt delta i gemensamt beslutsfattande. Resultatet visar att miljöundervisning inte enbart handlar om att förmedla fakta eller lära barn miljövänliga vanor. Undervisningen behöver också skapa utrymme för reflektion kring olika perspektiv, värderingar och möjliga sätt att agera. Områdets bredd kan samtidigt medföra osäkerhet kring innehåll, arbetssätt och var undervisningen bör börja. Förskollärarens didaktiska val och förhållningssätt får därför stor betydelse för vilka normer och föreställningar om hållbarhet som synliggörs. Sammanfattningsvis framträder behovet av en undervisning som förenar kunskap med känslomässigt engagemang och praktiskt handlande. Genom konkreta, vardagsnära och demokratiska lärprocesser kan barn utveckla förståelse för hållbarhetsfrågor och tilltro till sin egen möjlighet att påverka.",1,formal-1
6,formal,gpt-5.6,human_like,False,Det är så brett så jag vet inte vart jag ska börja,"Hållbar utveckling är ett omfattande område som kan vara svårt att avgränsa och omsätta i förskolans undervisning. Syftet med denna studie är att undersöka hur förskollärare förstår och arbetar med hållbar utveckling, med särskilt fokus på miljöundervisning och barns möjligheter att utveckla handlingskompetens. Studien belyser även vilken betydelse kunskap, känslor, normer och värderingar har för hur undervisningen utformas. Resultatet visar att hållbar utveckling ofta förknippas med konkreta aktiviteter, exempelvis återvinning, naturvistelser och omsorg om djur och miljö. Samtidigt framstår begreppets bredd som en utmaning, eftersom det kan skapa osäkerhet kring undervisningens innehåll och mål. Förskollärarnas egna kunskaper, känslor och värderingar påverkar vilka frågor som uppmärksammas och hur de presenteras för barnen. Undervisning som utgår från barnens erfarenheter och ger utrymme för samtal, reflektion och praktiskt deltagande kan bidra till ett meningsfullt lärande. Studiens slutsats är att arbetet med hållbar utveckling behöver vara medvetet, kontinuerligt och integrerat i förskolans vardag. Genom att barn får möjlighet att undersöka miljöfrågor, uttrycka sina tankar och delta i gemensamma beslut kan de utveckla kunskap och tilltro till sin egen förmåga att påverka.",1,formal-1
7,formal,gpt-5.6,detector_evasive,False,Det är så brett så jag vet inte vart jag ska börja,"Studien handlar om miljöundervisning och hållbar utveckling i förskolan. Syftet är att undersöka hur förskollärare beskriver sitt arbete och vilken roll kunskap, känslor, normer och värderingar får i undervisningen. Studien tar också upp hur förskolan kan stärka barns handlingskompetens. Utgångspunkten är förskolans uppdrag i Läroplan för förskolan, Lpfö 18. Resultatet visar att hållbar utveckling uppfattas som ett brett område. Flera förskollärare beskriver därför att det är svårt att veta var undervisningen ska börja. Miljöundervisning kopplas ofta till konkreta aktiviteter. Det kan vara sopsortering, återbruk, odling och vistelse i naturen. Sådana aktiviteter ger barn kunskap om miljöfrågor. Samtidigt påverkas undervisningen av de normer och värderingar som finns i förskolan. Känslor har betydelse för barns lärande. Oro och rädsla kan uppstå när barn möter frågor om klimat och miljö. Hopp, nyfikenhet och ansvar kan i stället stödja barns vilja att delta. Förskolläraren behöver därför anpassa undervisningen efter barnens ålder och erfarenheter. Barn behöver få samtala, ställa frågor och pröva egna idéer. Studien visar att handlingskompetens utvecklas när barn får kunskap och möjlighet att agera. Det räcker inte att barn lär sig vad som är rätt eller fel. De behöver också förstå varför olika val spelar roll. Miljöundervisning i förskolan bör därför knyta samman kunskap, känslor, normer och värderingar. På så sätt blir hållbar utveckling en del av barnens vardag och lärande.",1,formal-1
8,formal,mistral,baseline,False,Det är så brett så jag vet inte vart jag ska börja,"Denna kandidatuppsats undersöker hur förskolan kan främja handlingskompetens inom hållbar utveckling. Fokus ligger på hur kunskap, känslor och lärande samspelar för att skapa en djupare förståelse för miljöfrågor. Studiens syfte är att analysera hur förskolans undervisning kan bidra till att barn utvecklar både vetenskaplig kunskap och värderingar som stödjer hållbara beteenden. Genom att utforska hur normer och värderingar påverkar barns förståelse av miljöundervisning, undersöks även hur förskolan kan skapa en meningsfull och engagerande lärandemiljö. Resultaten visar att en kombination av kunskap, känslomässigt engagemang och praktisk tillämpning är avgörande för att fostra handlingskompetens. Uppsatsen belyser därmed förskolans roll som en viktig arena för att forma framtidens hållbara samhällsmedborgare.",1,formal-1
9,formal,mistral,human_like,False,Det är så brett så jag vet inte vart jag ska börja,"Det finns en stark koppling mellan förskolans verksamhet och barns utveckling av handlingskompetens inom hållbar utveckling. Denna kandidatuppsats undersöker hur förskolor arbetar med miljöundervisning och hur det påverkar barns lärande, värderingar och normer. Genom att analysera hur kunskap om hållbarhet förmedlas, samt hur känslor och värderingar integreras i undervisningen, synliggörs hur barns förståelse för miljöfrågor formas.

Studien visar att förskolan spelar en central roll i att skapa grundläggande förståelse för hållbar utveckling. Genom praktiska aktiviteter, samtal och reflektioner byggs barns handlingskompetens upp, vilket i sin tur påverkar deras framtida beslut och beteenden. Samtidigt uppmärksammas hur normer och värderingar inom förskolan formar barns syn på miljöfrågor, vilket kan både stärka och begränsa deras engagemang.

Resultaten indikerar att en lyckad miljöundervisning kräver en balans mellan kunskapsförmedling, emotionellt lärande och normkritisk reflektion. Förskolans roll som en plats där barn inte bara lär sig om miljöfrågor, utan också utvecklar en känsla av ansvar och handlingskraft, är avgörande för att främja en hållbar framtid.

Denna uppsats bidrar till diskussionen om hur förskolan kan utveckla sitt arbete med hållbar utveckling för att stärka barns handlingskompetens och förbereda dem för ett liv där miljöfrågor är en naturlig del av vardagen.",1,formal-1
10,formal,mistral,detector_evasive,False,Det är så brett så jag vet inte vart jag ska börja,"Förskolan spelar en viktig roll för barns handlingskompetens. Det är så brett så jag vet inte vart jag ska börja. Hållbar utveckling är ett centralt begrepp. Kunskap och känslor påverkar lärandet. Miljöundervisning handlar om att forma värderingar och normer.

Handlingskompetens innebär att barn lär sig att agera utifrån kunskap. Hållbar utveckling integreras i förskolans undervisning. Kunskap kombineras med känslor för att skapa djupare lärande. Miljöundervisning påverkar barns syn på världen. Normer och värderingar formas tidigt.

Förskolan arbetar med praktiska exempel. Barn lär sig genom att göra. Hållbar utveckling blir en del av vardagen. Kunskap och känslor samverkar. Miljöundervisning skapar medvetenhet. Normer och värderingar påverkar framtida handlingar.

Det finns många sätt att arbeta med hållbar utveckling. Förskolan använder olika metoder. Kunskap och känslor är viktiga. Miljöundervisning ger barn verktyg. Normer och värderingar formar framtiden. Handlingskompetens blir en naturlig del av lärandet.",1,formal-1
