doc_index,register,source_row,Year,Level,Title,Topic Category
0,formal,0,,Bachelor's Thesis,Visionen om det narkotikafria samhället: En diskursanalys,Social Sciences
1,formal,1,,Bachelor's Thesis,Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,Social Sciences
2,formal,2,,Bachelor's Thesis,Det är så brett så jag vet inte vart jag ska börja,Social Sciences
3,formal,3,,Bachelor's Thesis,Handledningsprocesser i Medarbetarsamtalet,Social Sciences
4,formal,4,,Bachelor's Thesis,Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,Humanities and the Arts
5,formal,5,,Bachelor's Thesis,Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,Humanities and the Arts
6,formal,6,,Bachelor's Thesis,Paulus lagsyn i Rom 3:21-31,Humanities and the Arts
7,formal,7,,Bachelor's Thesis,Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,Humanities and the Arts
8,formal,8,,Bachelor's Thesis,Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,Humanities and the Arts
9,formal,9,,Bachelor's Thesis,Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,Engineering and Technology
10,formal,10,,Bachelor's Thesis,1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,Engineering and Technology
11,formal,11,,Bachelor's Thesis,3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,Engineering and Technology
12,formal,12,,Bachelor's Thesis,3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,Engineering and Technology
13,formal,13,,Bachelor's Thesis,3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,Engineering and Technology
14,formal,14,,Bachelor's Thesis,Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,Medical and Health Sciences
15,formal,15,,Bachelor's Thesis,Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,Medical and Health Sciences
16,formal,16,,Bachelor's Thesis,Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,Medical and Health Sciences
17,formal,17,,Bachelor's Thesis,Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,Medical and Health Sciences
18,formal,18,,Bachelor's Thesis,Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,Medical and Health Sciences
19,formal,19,,Bachelor's Thesis,3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,Natural Sciences
20,formal,20,,Bachelor's Thesis,Artificiell intelligens - ANN och evolution i shooterspel,Natural Sciences
21,formal,21,,Bachelor's Thesis,Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,Natural Sciences
22,formal,22,,Bachelor's Thesis,Användarverifiering från webbkamera,Natural Sciences
23,formal,23,,Bachelor's Thesis,IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,Natural Sciences
24,formal,24,,Bachelor's Thesis,När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,Agricultural and Veterinary Sciences
25,formal,25,,Bachelor's Thesis,"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",Agricultural and Veterinary Sciences
26,formal,26,,Bachelor's Thesis,Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,Agricultural and Veterinary Sciences
27,formal,27,,Bachelor's Thesis,Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,Social Sciences
28,formal,28,,Bachelor's Thesis,En ny arbetsmarknadspolitik,Social Sciences
29,formal,29,,Bachelor's Thesis,Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,Social Sciences
30,formal,30,,Bachelor's Thesis,Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,Agricultural and Veterinary Sciences
31,formal,31,,Bachelor's Thesis,"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",Agricultural and Veterinary Sciences
32,formal,32,,Bachelor's Thesis,Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,Agricultural and Veterinary Sciences
33,formal,33,,Bachelor's Thesis,Handledningsprocesser i Medarbetarsamtalet,Agricultural and Veterinary Sciences
34,formal,34,,Bachelor's Thesis,Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,Social Sciences
35,formal,35,,Bachelor's Thesis,Att vara syskon eller partner till en person med ätstörningsproblematik,Social Sciences
36,formal,36,,Bachelor's Thesis,Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,Social Sciences
37,formal,37,,Bachelor's Thesis,Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,Social Sciences
38,formal,38,,Bachelor's Thesis,Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,Social Sciences
39,formal,39,,Bachelor's Thesis,Fytoremediering med perenn solros i åkerjord,Natural Sciences
40,formal,40,,Bachelor's Thesis,Videokompression och användarnytta,Natural Sciences
41,formal,41,,Bachelor's Thesis,Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,Natural Sciences
42,formal,42,,Bachelor's Thesis,"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",Humanities and the Arts
43,formal,43,,Bachelor's Thesis,Eventbubblan i syd: En studie av Film i Skånes eventverksamhet,Humanities and the Arts
44,formal,44,,Bachelor's Thesis,Vad är det för vits med humor i vården?,Medicine
45,formal,45,,Bachelor's Thesis,Äldre och ensamhet: en kvalitativ studie om ensamhet bland äldre boende i eget hem och på servicehus,Social Work
46,formal,46,,Bachelor's Thesis,PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,Social Work
47,formal,47,,Bachelor's Thesis,Är en skola för alla bra för alla? - ur elevperspektiv,Social and Behavioural Science
48,formal,48,,Bachelor's Thesis,Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,Pedagogy
49,formal,49,,Bachelor's Thesis,Finansiell riskredovisning,Business Administration
50,formal,50,,Bachelor's Thesis,Differentiering – en möjlighet att möta elevers olika förutsättningar och behov,Social Sciences
51,formal,51,2001.0,Bachelor's Thesis,Metoder vid implementation av affärssystem: en studie om anpassning,"2006 (Swedish)Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis"
52,formal,52,2006.0,Bachelor's Thesis,"2006 (Swedish)Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",
53,formal,53,2006.0,Bachelor's Thesis,"Ingen kan göra allt, men alla kan göra något – en studie kring pedagogers uppfattning om sin kompetens i att möta barn i sorg",
54,formal,54,2005.0,Bachelor's Thesis,2005 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesis,Nursing
55,formal,55,2002.0,Bachelor's Thesis,2002 (Swedish)Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,
56,formal,56,2006.0,Bachelor's Thesis,Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,
57,formal,57,2006.0,Bachelor's Thesis,Läroplanens konkreta spår i det pedagogiska arbetet,
