item_id,register,generator,condition,is_human,text,predicted,confidence,reasoning,correct
1,formal,gpt,baseline,False,Denna uppsats behandlar hur interaktionen mellan klient och socialsekreterare kan förstås ur ett maktperspektiv. Utifrån...,MÄNNISKA,70,"Texten uppvisar hög språklig variation, använder specifika teoretiska begrepp som 'exploatering' och 'möjlighetsansamling', och har en naturlig akademisk ton utan upprepningar eller mallartad struktur. Den känns autentisk med djupare resonemang och empatiska inslag, vilket tyder på mänsklig analys.",False
2,formal,gpt,human_like,False,"Den här uppsatsen tar sin utgångspunkt i den till synes enkla, men i praktiken laddade frågan: *”Jag är väl ingen sexuel...",MÄNNISKA,60,"Texten uppvisar naturlig språklig variation och ett nyanserat resonemang med tydlig röd tråd. Formuleringar som 'till synes enkla, men i praktiken laddade' och 'spänningen mellan två återkommande sätt' känns autentiskt akademiska snarare än mallartade. Inga uppenbara AI-mönster som upprepningar eller onaturlig meningsbyggnad.",False
3,formal,human,human,True,Denna studie grundar sig på en undersökning där jag har försökt finna likheter mellan raweh och rai. För att kunna hitta...,AI,78,"Texten har en upprepande och mallartad struktur med korta meningar utan varierad meningsbyggnad. Uttryck som 'tyddes till det följande' är formellt stela och ovanliga i mänskligt akademiskt skrivande. Användningen av 'jag' är personlig men formuleringarna känns mekaniskt uppradade med låg språklig variation, vilket är typiskt för AI-genererad text.",False
4,formal,gpt,human_like,False,"Den här studien undersöker hur svenska offentliga organisationer formulerar och använder kommunikationspolicys, och hur ...",MÄNNISKA,75,"Texten uppvisar god språklig variation, komplexa men naturliga meningsstrukturer och nyanserade resonemang som är typiska för mänsklig akademisk skrift. Inga uppenbara tecken på mallartade eller repetitiva formuleringar.",False
5,formal,human,human,True,"IT-företaget Conect AB var i behov av en förstärkning av sin marknadskommunikation, som innebar en utveckling av deras w...",MÄNNISKA,70,"Texten har en tydlig röd tråd och specifika detaljer om företagets behov, teorival och resultat, vilket känns autentiskt för en kandidatuppsats. Meningsbyggnaden är ibland stel och lång, men inte mekaniskt repetitiv. AI-genererade abstrakt är oftast mer generiska och symmetriska. Språkliga variationer och fackspråk används konsekvent utan mallartade mönster.",True
6,formal,gpt,human_like,False,Denna studie tar sin utgångspunkt i hur läroplanen lämnar konkreta spår i det dagliga pedagogiska arbetet och hur dessa ...,UNKNOWN,0,,True
7,formal,gpt,detector_evasive,False,"Den här sammanfattningen handlar om stöd vid övervikt och fetma. Den utgår från Blekinge Institute of Technology, School...",AI,95,"Texten upprepar 'Sjuksköterska' utan bestämd artikel i nästan varje mening, vilket är onaturligt för en människa. Meningsbyggnaden är monoton och liknar punktlistor snarare än en sammanhängande akademisk text. Innehållet är generellt och saknar specifika, nyanserade formuleringar som kännetecknar en mänsklig författare.",True
8,formal,gpt,baseline,False,"Denna uppsats behandlar argumenten för och emot privat sjukvård och analyserar hur dessa argument formas, bedöms och för...",MÄNNISKA,75,"Texten uppvisar naturlig språklig variation, specifik terminologi som ACME och KMA samt en nyanserad diskussion om expertkunskapens roll. Meningsbyggnaden är komplex men inte mallartad, och resonemanget följer en logisk progression som känns autentiskt akademisk snarare än generisk eller repetitiv, vilket talar för mänskligt författarskap.",False
9,formal,gpt,detector_evasive,False,Denna uppsats handlar om en jämförelse mellan materiella investeringar och investeringar i kompetensutveckling. Fokus li...,MÄNNISKA,70,"Texten innehåller återkommande stavfelet 'manegement' istället för 'management', vilket är ett typiskt mänskligt misstag. AI genererar sällan sådana konsekventa fel. Även om språket är något repetitivt och enkelt, känns referenshanteringen och resonemanget autentiskt akademiskt snarare än mallartat. Osäkerheten beror på att vissa formuleringar är stela, men helheten pekar på mänsklig författare.",False
10,formal,gpt,detector_evasive,False,Den här uppsatsen handlar om Mesopotamiens gudomligförklarade kungar. Den gör en undersökning av teologiska perspektiv p...,UNKNOWN,0,,True
