Title,cosine_similarity
Det är så brett så jag vet inte vart jag ska börja,0.8881917
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.8508669
Paulus lagsyn i Rom 3:21-31,0.8639059
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.88294506
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.8178679
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.6815714
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.72798884
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.82244873
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.8780822
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.80435747
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.8747852
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.52306324
Användarverifiering från webbkamera,0.75184524
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.92361075
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.79870456
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.94107765
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.7954461
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.7447908
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.940068
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.94614446
Att vara syskon eller partner till en person med ätstörningsproblematik,0.80791295
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.8783616
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.66803366
Videokompression och användarnytta,0.7923353
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.7564845
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.8416029
PRO i Österåkers kommun: en studie över PRO: s roll inom äldreomsorgen,0.9080343
Är en skola för alla bra för alla? - ur elevperspektiv,0.6560567
Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid planeringen av unervisningen i estetisk verksamhet,0.9504958
Finansiell riskredovisning,0.71311104
Metoder vid implementation av affärssystem: en studie om anpassning,0.5856422
Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,0.69932115
Läroplanens konkreta spår i det pedagogiska arbetet,0.6756669
Balettmapp Kungliga Operan: Operahusens design och arkitektur,0.7631743
Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,0.77665305
En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,0.800451
Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,0.85996413
Vad orsakar ilska?,0.8879696
Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,0.87782586
Matematik för alla?: Hur lärare arbetar med individualisering,0.8595136
Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter,0.7938758
Om personalförmåner motiverar de anställda,0.81864095
"Lärande på elevers villkor: En studie om lärande på omvårdnadsprogrammet, med fokus på medicinsk grundkurs",0.890103
Damtidningar: ett behov?: En studie om återköp,0.87862897
Anmälningsskyldighet för kuratorer på ungdomsmottagningar: en studie i hur ett urval kuratorer på ungdomsmottagningar förhåller sig i sitt möte med barn under 15 år som är sexuellt aktiva,0.8512634
Sexualundervisning på särgymnasiet,0.9079554
En studie om flickor och kvinnor på elektrikerutbildningen,0.92044675
Pappersmakulatur vid Bobergs Tryckeri AB - orsaker och förbättringsförslag,0.83164364
Balanserat styrkort i primärvården: En fallstudie om styrning med balanserat styrkort på KvaLita Närsjukvård AB,0.62126553
Ickeverbal kommunikation: Hur kontakt kan skapas med demensdrabbade genom beröring och genom musik,0.8698331
Vad är dyskalkyli?: En teoretisk-praktisk studie av dyskalkyli i skolan och om det är möjligt att bli hjälpt?,0.8964554
"Andersson, Anna-Karin",0.82841617
Verksamhetsanalys vid ett snickeriföretag – behov av organisationsanpassning vid expansion,0.74898696
Etik och ansvar. Sjuksköterskans upplevelse av inre etiskt ansvar i omvårdnaden,0.87109756
"Andersson, Annika",0.6863367
Svårigheter i mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund: en litteraturstudie,0.77458155
Att vara eller inte vara: styrs uttaget av föräldraledighet av föreställningar eller faktiska förhållanden?,0.87637687
Organiserat samarbete mellan lärare och kollegor inom IKT-baserad distansundervisning,0.7782863
"Andersson, Caroline",0.19473311
Personalens uppfattning om och möjlighet att påverka måltidernas innehåll i en förskola,0.898424
Framgångsfaktorer bakom gerillakrigföring,0.7398458
Straff- och offentligrättsliga legalitetsprincipen,0.7179729
Utveckling av ett företags marknadskommunikation med informationsteknik,0.7280338
Evaluering av neurala nätverk för en fotbollsspelande mobil robot,0.74071836
Uppföljningsarbetet av efterkalkyler på Portsystem 2000 AB,0.7680638
En jämförelse av olika kommunikationstekniker och systemarkitekturiska lösningar vid uppbyggnad av nätverk i naturen,0.6969947
Slöja i skolan?,0.7645741
