row,condition,abstract
1,baseline,"Sammanfattning

Denna kandidatuppsats undersöker hur kön, sexualitet, etnicitet och socioekonomisk bakgrund framställs i religionsläroböcker för gymnasiet. Med utgångspunkt i ett intersektionellt perspektiv analyseras hur dessa kategorier samverkar i beskrivningar av identitet, religion samt etik och moral. Syftet är att synliggöra vilka normer, maktordningar och föreställningar som förmedlas genom läroböckernas texter och exempel. Särskild uppmärksamhet riktas mot hur olika grupper representeras, vilka erfarenheter som ges utrymme och om vissa identiteter framställs som mer självklara eller avvikande än andra. Genom en kvalitativ läroboksanalys belyser studien hur undervisningsmaterial kan bidra till att både upprätthålla och utmana stereotypa föreställningar. Uppsatsen betonar betydelsen av att inte behandla kön, sexualitet, etnicitet och socioekonomisk bakgrund som isolerade kategorier, eftersom deras samspel påverkar människors livsvillkor och möjligheter. Studien är relevant för en inkluderande och normmedveten religionsundervisning i gymnasieskolan."
1,human_like,"Sammanfattning

Denna studie undersöker hur kön, sexualitet, etnicitet och socioekonomisk bakgrund framställs och samspelar i religionsläroböcker för gymnasiet. Syftet är att synliggöra vilka föreställningar om identitet som förmedlas i läroböckernas beskrivningar av religion samt av frågor som rör etik och moral. Med utgångspunkt i ett intersektionellt perspektiv analyseras hur olika maktordningar korsar varandra och påverkar vilka erfarenheter och livsvillkor som ges utrymme i undervisningsmaterialet.

Studien genomförs som en kvalitativ läroboksanalys med fokus på såväl återkommande framställningar som på perspektiv som saknas eller får begränsat utrymme. Analysen visar att läroböckerna i varierande grad uppmärksammar frågor om kön, sexualitet och etnicitet, medan socioekonomisk bakgrund ofta behandlas mindre utförligt. Identitetskategorierna presenteras dessutom många gånger var för sig, vilket innebär att samspelet mellan exempelvis religion, kön och sociala villkor riskerar att förbises. Samtidigt finns exempel där identitet skildras som föränderlig och där människors erfarenheter förstås utifrån flera samverkande faktorer.

Resultatet visar att ett intersektionellt perspektiv kan bidra till en mer nyanserad förståelse av hur religion och identitet framställs i gymnasiets läroböcker. Studien betonar därför vikten av att lärare förhåller sig kritiskt till läromedel och kompletterar dem med perspektiv som synliggör mångfalden av religiösa och sociala erfarenheter."
0,baseline,"Sammanfattning

Hållbar utveckling är ett omfattande och komplext område som kan upplevas svårt att omsätta i förskolans undervisning. Denna studie belyser hur undervisning för hållbar utveckling kan förstås och genomföras i förskolan, med särskilt fokus på samspelet mellan kunskap, känslor, normer och värderingar. Studien uppmärksammar även hur barns handlingskompetens kan främjas genom att de ges möjlighet att undersöka miljöfrågor, uttrycka sina tankar och känslor samt delta i gemensamt beslutsfattande.

Resultatet visar att miljöundervisning inte enbart handlar om att förmedla fakta eller lära barn miljövänliga vanor. Undervisningen behöver också skapa utrymme för reflektion kring olika perspektiv, värderingar och möjliga sätt att agera. Områdets bredd kan samtidigt medföra osäkerhet kring innehåll, arbetssätt och var undervisningen bör börja. Förskollärarens didaktiska val och förhållningssätt får därför stor betydelse för vilka normer och föreställningar om hållbarhet som synliggörs.

Sammanfattningsvis framträder behovet av en undervisning som förenar kunskap med känslomässigt engagemang och praktiskt handlande. Genom konkreta, vardagsnära och demokratiska lärprocesser kan barn utveckla förståelse för hållbarhetsfrågor och tilltro till sin egen möjlighet att påverka.

Nyckelord: Förskola, handlingskompetens, hållbar utveckling, kunskap, känslor, lärande, miljöundervisning, normer, värderingar."
2,human_like,"Sammanfattning

Denna uppsats undersöker Paulus syn på lagen i Romarbrevet 3:21–31. Textavsnittet är centralt för förståelsen av relationen mellan lag, tro, rättfärdighet och frälsning i Paulus teologi. Syftet är att analysera vilken funktion Paulus tillskriver lagen och hur hans resonemang kan förstås mot bakgrund av både äldre och nyare Paulusforskning. Särskild uppmärksamhet riktas mot påståendet att människan rättfärdiggörs genom tro utan laggärningar, samtidigt som Paulus avslutar avsnittet med att hävda att tron inte upphäver utan befäster lagen.

Undersökningen genomförs genom en exegetisk analys av Romarbrevet 3:21–31 och en jämförelse mellan tolkningar företrädda av E.P. Sanders, James D.G. Dunn, N.T. Wright, Joseph A. Fitzmyer, Douglas J. Moo, James P. Ware och Robert Jewett. Studien belyser därmed spänningen mellan en traditionell protestantisk läsning, där laggärningar främst förknippas med mänskliga försök att uppnå rättfärdighet, och det nya perspektivet på Paulus, som i högre grad betonar lagens roll för judisk identitet och gränsdragningen mellan judar och hedningar.

Resultatet visar att Paulus kritik inte bör förstås som ett generellt avståndstagande från lagen. I stället vänder han sig mot föreställningen att lagen kan utgöra grunden för människans rättfärdighet eller begränsa Guds frälsning till Israel. Genom Kristus erbjuds rättfärdighet åt både judar och hedningar på samma villkor. Lagen behåller samtidigt sin betydelse genom att vittna om Guds rättfärdighet och få sin rätta plats inom den frälsningsordning som grundas på tro.

Nyckelord: Paulus, paulusforskning, lag, lagen, Romarbrevet, Sanders, Dunn, Wright, Fitzmyer, Moo, Ware, Jewett."
2,baseline,"Sammanfattning

Denna kandidatuppsats undersöker Paulus syn på lagen i Romarbrevet 3:21–31. Syftet är att analysera hur Paulus beskriver förhållandet mellan lagen, tron och Guds rättfärdighet samt att diskutera om avsnittet innebär att lagen upphävs eller bekräftas. Studien bygger på en exegetisk analys av textens litterära och teologiska sammanhang och förhåller sig till centrala perspektiv inom modern Paulusforskning.

I analysen jämförs tolkningar hos bland andra E. P. Sanders, James D. G. Dunn, N. T. Wright, Joseph A. Fitzmyer, Douglas J. Moo, James P. Ware och Robert Jewett. Särskild uppmärksamhet riktas mot uttrycken ”utan lagen”, ”genom tro” och ”vi befäster lagen”. Undersökningen visar att Paulus skiljer mellan lagen som grund för rättfärdiggörelse och lagen som vittnesbörd om Guds frälsande handlande. Rättfärdighet kan enligt texten inte uppnås genom laggärningar utan ges genom tro på Jesus Kristus. Samtidigt framställs lagen inte som betydelselös, eftersom den vittnar om Guds rättfärdighet och får sin rätta funktion inom ramen för evangeliet.

Slutsatsen är att Paulus lagsyn i Romarbrevet 3:21–31 präglas av både kontinuitet och förändring. Lagen avvisas som medel för rättfärdiggörelse och som grund för mänsklig berömmelse, men bekräftas som en del av Guds frälsningshistoriska uppenbarelse. Därigenom understryker Paulus att Guds rättfärdighet gäller både judar och icke-judar och att den ende Gudens frälsning förmedlas på samma grund till alla.

Nyckelord: Paulus, paulusforskning, lag, lagen, Romarbrevet, Sanders, Dunn, Wright, Fitzmyer, Moo, Ware, Jewett."
1,detector_evasive,"Sammanfattning

Den här kandidatuppsatsen undersöker hur kön, sexualitet, etnicitet och socioekonomisk bakgrund framställs i gymnasiets religionsläroböcker. Syftet är att granska hur olika delar av identitet skildras och hur de kopplas till religion, etik och moral. Studien utgår från Kimberlé Crenshaws begrepp intersektionalitet från 1989. Begreppet används för att synliggöra hur flera sociala villkor samverkar.

Undersökningen bygger på en kvalitativ läroboksanalys. Analysen riktas mot både löpande text och exempel i läroböckerna. Särskild vikt läggs vid vilka grupper som får utrymme och hur dessa grupper beskrivs. Studien granskar också vilka erfarenheter som framställs som vanliga och vilka som behandlas som avvikande.

Resultatet visar att kön och sexualitet ofta tas upp i avsnitt om etik och moral. Etnicitet kopplas främst till religion och kulturell tillhörighet. Socioekonomisk bakgrund får mindre utrymme och behandlas sällan tillsammans med övriga delar av identitet. Läroböckerna tar alltså upp flera perspektiv. Samtidigt saknas ofta en tydlig intersektionalitet. De olika kategorierna behandlas främst var för sig.

Studien visar att gymnasiets religionsläroböcker formar elevers bild av religion och identitet. Därför behöver läroböckerna tydligare visa hur kön, sexualitet, etnicitet och socioekonomisk bakgrund samverkar i människors liv.

Nyckelord: intersektionalitet; kön; sexualitet; etnicitet; socioekonomisk bakgrund; läroboksanalys; identitet; etik och moral; religion"
0,detector_evasive,"Sammanfattning

Studien handlar om miljöundervisning och hållbar utveckling i förskolan. Syftet är att undersöka hur förskollärare beskriver sitt arbete och vilken roll kunskap, känslor, normer och värderingar får i undervisningen. Studien tar också upp hur förskolan kan stärka barns handlingskompetens. Utgångspunkten är förskolans uppdrag i Läroplan för förskolan, Lpfö 18.

Resultatet visar att hållbar utveckling uppfattas som ett brett område. Flera förskollärare beskriver därför att det är svårt att veta var undervisningen ska börja. Miljöundervisning kopplas ofta till konkreta aktiviteter. Det kan vara sopsortering, återbruk, odling och vistelse i naturen. Sådana aktiviteter ger barn kunskap om miljöfrågor. Samtidigt påverkas undervisningen av de normer och värderingar som finns i förskolan.

Känslor har betydelse för barns lärande. Oro och rädsla kan uppstå när barn möter frågor om klimat och miljö. Hopp, nyfikenhet och ansvar kan i stället stödja barns vilja att delta. Förskolläraren behöver därför anpassa undervisningen efter barnens ålder och erfarenheter. Barn behöver få samtala, ställa frågor och pröva egna idéer.

Studien visar att handlingskompetens utvecklas när barn får kunskap och möjlighet att agera. Det räcker inte att barn lär sig vad som är rätt eller fel. De behöver också förstå varför olika val spelar roll. Miljöundervisning i förskolan bör därför knyta samman kunskap, känslor, normer och värderingar. På så sätt blir hållbar utveckling en del av barnens vardag och lärande.

Nyckelord: Förskola, Handlingskompetens, Hållbar utveckling, Kunskap, Känslor, Lärande, Miljöundervisning, Normer, Värderingar."
0,human_like,"Sammanfattning

Hållbar utveckling är ett omfattande område som kan vara svårt att avgränsa och omsätta i förskolans undervisning. Syftet med denna studie är att undersöka hur förskollärare förstår och arbetar med hållbar utveckling, med särskilt fokus på miljöundervisning och barns möjligheter att utveckla handlingskompetens. Studien belyser även vilken betydelse kunskap, känslor, normer och värderingar har för hur undervisningen utformas.

Resultatet visar att hållbar utveckling ofta förknippas med konkreta aktiviteter, exempelvis återvinning, naturvistelser och omsorg om djur och miljö. Samtidigt framstår begreppets bredd som en utmaning, eftersom det kan skapa osäkerhet kring undervisningens innehåll och mål. Förskollärarnas egna kunskaper, känslor och värderingar påverkar vilka frågor som uppmärksammas och hur de presenteras för barnen. Undervisning som utgår från barnens erfarenheter och ger utrymme för samtal, reflektion och praktiskt deltagande kan bidra till ett meningsfullt lärande.

Studiens slutsats är att arbetet med hållbar utveckling behöver vara medvetet, kontinuerligt och integrerat i förskolans vardag. Genom att barn får möjlighet att undersöka miljöfrågor, uttrycka sina tankar och delta i gemensamma beslut kan de utveckla kunskap och tilltro till sin egen förmåga att påverka.

Nyckelord: Förskola, handlingskompetens, hållbar utveckling, kunskap, känslor, lärande, miljöundervisning, normer, värderingar."
3,baseline,"Sammanfattning

Denna kandidatuppsats undersöker gudomligförklaringen av två kungar i det forntida Mesopotamien med fokus på de teologiska föreställningar som omgav deras kungamakt. Studien analyserar hur gränsen mellan mänskligt och gudomligt formulerades samt hur kungarnas upphöjda status motiverades i relation till den mesopotamiska gudavärlden. Genom en jämförelse av de två kungarna belyses både likheter och skillnader i hur deras gudomlighet framställdes och användes. Gudomligförklaringen förstås inte enbart som ett uttryck för personlig kult, utan också som ett religiöst och politiskt redskap som kunde legitimera härskarens auktoritet, stärka statsmakten och skapa ordning i samhället. Uppsatsen visar därmed hur teologi och kungamakt var nära sammanflätade i det forntida Mesopotamien. Samtidigt framgår att gudomlig kungastatus inte var självklar eller oföränderlig, utan formades av historiska, religiösa och politiska omständigheter.

Nyckelord: Mesopotamien, gudomligförklaring, kungamakt, teologi, gudomligt kungadöme."
4,baseline,"Denna studie undersöker lärares och lärarstudenters attityder till att förlägga skolavslutningar och andra högtidsfiranden till kyrkor. Särskilt fokus riktas mot hur konfessionella inslag, såsom böner, välsignelser och religiösa sånger, uppfattas i relation till skolans krav på icke-konfessionell undervisning. Studien belyser även kyrkobyggnadens betydelse som traditionsbärande och kulturell plats samt de gränsdragningar som kan uppstå mellan tradition, religion och skolans värdegrund. Frågan behandlas mot bakgrund av samhällets sekularisering och en ökad religiös och kulturell mångfald. Genom att jämföra lärares och lärarstudenters perspektiv synliggörs olika föreställningar om skolans relation till kyrkan och om hur skolavslutningar kan utformas på ett inkluderande sätt. Studien bidrar därmed till en fördjupad förståelse av de möjligheter och utmaningar som följer när religiösa miljöer används inom ramen för den svenska, icke-konfessionella skolan."
3,human_like,"Sammanfattning

Denna uppsats undersöker gudomligförklaringen av två kungar i det forntida Mesopotamien, med fokus på hur deras gudomliga ställning framställdes och motiverades ur ett teologiskt perspektiv. Genom en jämförande analys av religiösa texter, kungliga inskrifter och tidigare forskning diskuteras hur föreställningar om gudomlighet användes för att formulera och legitimera kunglig makt.

Undersökningen visar att gudomligförklaringen inte nödvändigtvis innebar att kungen betraktades som en gud på samma villkor som de etablerade gudarna. Snarare tycks gränsen mellan mänskligt och gudomligt ha varit föränderlig och beroende av den politiska och religiösa situationen. De två kungarna framställdes som särskilt utvalda av gudarna och som bärare av en gudomligt sanktionerad ordning. Samtidigt fanns det skillnader i hur deras gudomliga status uttrycktes och vilken funktion den fyllde.

Uppsatsen argumenterar för att gudomligförklaringen bör förstås som ett samspel mellan teologi, kunglig ideologi och politisk makt. Genom att tillskriva kungen gudomliga egenskaper kunde hans auktoritet förstärkas, medan hans roll som förmedlare mellan gudar och människor betonades. Studien bidrar därmed till en fördjupad förståelse av relationen mellan religion och kungamakt i det forntida Mesopotamien.

Nyckelord: gudomligförklaring, kungamakt, Mesopotamien, teologi, kunglig ideologi."
5,baseline,"Sammanfattning

Denna studie undersöker hur bygglovsprocessen vid ändring av kulturhistoriskt värdefull bebyggelse kan effektiviseras utan att viktiga arkitektoniska och kulturhistoriska kvaliteter går förlorade. Studien genomförs som en fallstudie av Nya Nordostprojektet i Gävle, där det kommunala bostadsbolaget Gavlegårdarna arbetar med utveckling och ombyggnad av bostäder från miljonprogrammet.

Fokus ligger på de krav, avvägningar och aktörer som påverkar bygglovsprocessen. Särskild uppmärksamhet riktas mot samspelet mellan fastighetsägare, kommunens bygglovshandläggare och antikvarisk kompetens. Studien belyser hur otydliga underlag, sena samråd och skilda tolkningar av bebyggelsens kulturhistoriska värden kan leda till längre handläggningstider och behov av kompletteringar. Samtidigt framhålls tidig dialog, tydliga bedömningsunderlag och gemensamma riktlinjer som centrala förutsättningar för en mer förutsägbar och effektiv process.

Slutsatsen är att effektivisering inte främst handlar om att minska kraven på varsamhet, utan om att skapa bättre samordning och tydligare beslutsunderlag redan i projektets inledande skeden. Genom ökad kunskapsöverföring mellan berörda aktörer kan bygglovsprocessen förenklas samtidigt som miljonprogrammets kulturhistoriska värden bevaras och områdets behov av utveckling tillgodoses.

Nyckelord: Miljonprogrammet, bygglovsprocessen, kulturhistoriskt värdefull bebyggelse, Gavlegårdarna, Nya Nordost, Gävle."
4,human_like,"Sammanfattning

Denna studie behandlar lärares och lärarstudenters attityder till att förlägga skolavslutningar och andra högtidsfiranden i kyrkan. Syftet är att belysa hur kyrkorummet uppfattas i relation till skolans icke-konfessionella uppdrag samt hur gränsen mellan tradition, kultur och religion förstås. Särskild uppmärksamhet riktas mot konfessionella inslag, såsom böner, välsignelser och religiösa sånger, och hur dessa påverkar synen på kyrkan som plats för skolans gemensamma ceremonier.

Studien visar på en spänning mellan bevarandet av etablerade traditioner och ambitionen att skapa en inkluderande skola där elever med olika religiösa och icke-religiösa livsåskådningar kan känna sig delaktiga. Kyrkan kan uppfattas som en stämningsfull och traditionsbärande miljö, men också som en religiöst präglad plats som riskerar att stå i konflikt med skolans krav på saklighet och konfessionsfrihet. Attityderna påverkas bland annat av hur deltagandet organiseras, vilka inslag ceremonin innehåller och om kyrkobesöket framställs som religiöst eller kulturellt.

Sammantaget synliggör studien hur samhällets sekularisering har förändrat kyrkans roll i skolans högtidsfirande. Resultatet pekar på behovet av tydliga gränsdragningar och medvetna didaktiska överväganden för att skolavslutningar ska kunna förena tradition med respekt för elevers skilda övertygelser.

Nyckelord: skola, kyrka, skolavslutningar, högtidsfirande, konfessionella inslag, sekularisering."
