item_id,register,generator,condition,is_human,text,predicted,confidence,reasoning,correct
1,formal,human,human,True,Syftet med studien är att få en fördjupad förståelse för hur pedagoger tolkar och utvecklar arbetet kring begreppet håll...,MÄNNISKA,72,"Texten innehåller mycket specifika och konkreta detaljer (sex pedagoger, två förskolor i södra Sverige, fortbildningen Grön flagg, källsortering) som är typiska för en verklig uppsats. Meningsbyggnaden är delvis ojämn och akademiskt trevande snarare än glättad AI-prosa. De märkliga semikolonen istället för komma ('ekologisk; ekonomisk och social', 'synliggörs; hur') framstår som mänskliga skrivfel",True
2,formal,gpt-5.2,baseline,False,Utifrån titeln ”Det är så brett så jag vet inte vart jag ska börja” och de angivna nyckelorden kan studien sammanfattas ...,AI,92,"Texten uppvisar tydliga AI-mönster: den utgår explicit från titeln och nyckelorden ('Utifrån titeln... och de angivna nyckelorden') istället för att presentera faktiska resultat, syfte och metod. Ett riktigt abstrakt beskriver studiens genomförande, inte tolkningar av titeln. Upprepade inledningsfraser ('Sammanfattningsvis', 'I sammanfattning', 'Sammantaget', 'Vidare', 'Därmed') och genomgående ab",True
3,formal,gpt-5.2,human_like,False,Utifrån titeln ”Det är så brett så jag vet inte vart jag ska börja” och nyckelorden kretsar uppsatsen kring en central s...,AI,88,"Texten saknar konkreta metod- och resultatuppgifter som normalt finns i ett uppsatsabstrakt (urval, datainsamling, faktiska fynd). Den är påfallande jämnt balanserad med många parallella uppräkningar, dubbelheter och abstrakta formuleringar ('vävs samman', 'begripliga utan att göra dem ytliga'). Språket är genomgående polerat och mallartat utan personliga eller oväntade formuleringsval. Den cirkul",True
4,formal,gpt-5.2,detector_evasive,False,Den här uppsatsen tar sin början i en vanlig känsla i Förskola. Det är så brett så jag vet inte vart jag ska börja. Samt...,AI,88,"Texten uppvisar starkt mönsterartade drag: extremt korta, staccatoartade meningar, tunga upprepningar ('Den handlar om...', 'Pedagogen behöver...', 'Barnen kan påverka...') och anaforiska serier. Den märkliga versaliseringen mitt i meningar av nyckelbegrepp (Kunskap, Känslor, Normer, Handlingskompetens, Förskola, Miljöundervisning) tyder på maskinell nyckelordshantering. Språket saknar autentisk a",True
5,formal,gpt-5.6,baseline,False,Hållbar utveckling är ett omfattande och komplext område som kan upplevas svårt att omsätta i förskolans undervisning. D...,AI,78,"Texten är välstrukturerad men påfallande generisk och saknar konkreta detaljer om metod, urval, teoretiskt ramverk och empiri som brukar finnas i ett riktigt kandidatabstrakt. Formuleringar som 'omfattande och komplext område' och 'känslomässigt engagemang och praktiskt handlande' är abstrakta och mallartade. Meningsbyggnaden är jämn och polerad utan personlig röst eller specifika begrepp. Avsakna",True
6,formal,gpt-5.6,human_like,False,Hållbar utveckling är ett omfattande område som kan vara svårt att avgränsa och omsätta i förskolans undervisning. Syfte...,AI,78,"Texten är mycket välstrukturerad och följer ett tydligt mönster: syfte, resultat, slutsats. Formuleringarna är generiska och polerade, med typiska AI-fraser som 'meningsfullt lärande', 'medvetet, kontinuerligt och integrerat'. Meningsbyggnaden är jämn och saknar den språkliga variation eller personliga prägel som ofta finns i studentuppsatser. Avsaknad av konkreta metoddetaljer, antal informanter ",True
7,formal,gpt-5.6,detector_evasive,False,Studien handlar om miljöundervisning och hållbar utveckling i förskolan. Syftet är att undersöka hur förskollärare beskr...,AI,78,"Texten består av många korta, staccatoartade meningar med jämn längd och enkel struktur, vilket ger ett mekaniskt och listartat intryck. Formuleringarna är generiska och upprepar nyckelbegreppen (kunskap, känslor, normer, värderingar) på ett mallartat sätt. Metod nämns aldrig konkret, och den språkliga variationen är låg. Övergångar som 'därför', 'samtidigt' och 'på så sätt' känns formelmässiga sn",True
8,formal,mistral,baseline,False,Denna kandidatuppsats undersöker hur förskolan kan främja handlingskompetens inom hållbar utveckling. Fokus ligger på hu...,AI,88,"Texten har en tydligt mallartad struktur med generiska formuleringar som 'djupare förståelse', 'meningsfull och engagerande lärandemiljö' och 'framtidens hållbara samhällsmedborgare'. Den saknar konkreta metoddetaljer, teoretiska ramverk och specifika resultat som brukar finnas i autentiska uppsatsabstrakt. Meningsbyggnaden är jämn och polerad utan variation, och resultaten beskrivs vagt och svepa",True
9,formal,mistral,human_like,False,Det finns en stark koppling mellan förskolans verksamhet och barns utveckling av handlingskompetens inom hållbar utveckl...,AI,88,"Texten saknar konkreta metoddetaljer, urval eller teoretisk ram som normalt finns i en kandidatuppsats. Språket är genomgående glättat och generiskt med återkommande abstrakta nyckelord ('handlingskompetens', 'hållbar utveckling', 'normkritisk reflektion') utan specifika exempel. Meningsbyggnaden är jämn och mallartad, och formuleringar som 'avgörande för att främja en hållbar framtid' känns som t",True
10,formal,mistral,detector_evasive,False,Förskolan spelar en viktig roll för barns handlingskompetens. Det är så brett så jag vet inte vart jag ska börja. Hållba...,AI,96,"Texten uppvisar tydliga tecken på AI-generering med repetitiva, korta och staccato-artade meningar utan naturligt akademiskt flöde. Nyckelbegreppen (hållbar utveckling, kunskap och känslor, miljöundervisning, normer och värderingar) upprepas mekaniskt i varje stycke utan progression eller fördjupning. Ett riktigt abstrakt anger syfte, metod, resultat och slutsatser, vilket saknas här. Frasen 'Det ",True
