comparison,register,condition,feature_group,feature,n_pairs,median_A,median_B,cohens_dz,rank_biserial,p_value,p_fdr_bh,significant_fdr_0.05
human_vs_gpt,informal,baseline,stylometric_surface,bigram_repetition_rate,1149,0.0,0.013888888888888888,0.27509904854644524,0.45331550657699266,1.09396572018628e-30,3.329460887523461e-30,True
human_vs_gpt,informal,baseline,stylometric_surface,function_word_rate,1149,0.5,0.5094339622641509,0.15026921640670374,0.08848499891979351,0.009592839065475109,0.013166641854573679,True
human_vs_gpt,informal,baseline,stylometric_surface,mattr,1149,0.8823529411764706,0.7549056603773584,-0.7552839340388043,-0.7800147846696693,1.0880107341236896e-115,1.0880107341236895e-114,True
human_vs_gpt,informal,baseline,stylometric_surface,mtld,963,71.68,93.94941634241245,0.3334161344173699,0.48669441536002206,4.109689126097822e-39,1.5982124379269306e-38,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_colon,1149,0.0,0.0,-0.13222402169908282,-0.2663730333511894,3.948177063913523e-05,6.0080955320423185e-05,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_comma,1149,1.7699115044247788,3.3057851239669422,0.17972534346819918,0.34235589749953466,1.6715357797335658e-23,4.0347415372879173e-23,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_dash,1149,0.0,0.0,0.3107833991896123,0.9759573282381976,1.922802698144024e-26,4.9850440322252475e-26,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_ellipsis,1149,0.0,0.0,-0.15984425312396489,-0.9273811136702343,8.537677305862475e-19,1.8676169106574166e-18,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_exclaim,1149,0.0,1.36986301369863,0.22958387836349572,0.7674085950948711,5.6500607498439475e-84,3.856483321235121e-83,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_period,1149,6.0,4.046242774566474,-0.2931435716719866,-0.492440528903411,3.4724388723088886e-47,1.7362194361544444e-46,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_question,1149,0.0,0.0,-0.2606601678519459,-0.5181487551032143,6.606400682535978e-25,1.6516001706339945e-24,True
human_vs_gpt,informal,baseline,stylometric_surface,punct_semicolon,1149,0.0,0.0,-0.09250351484194166,-0.31450980392156863,0.052915927982113295,0.06859472145829501,False
human_vs_gpt,informal,baseline,stylometric_surface,trigram_repetition_rate,1149,0.0,0.0,-0.009213224594904432,0.11901033510804886,0.06979965956402004,0.08724957445502504,False
human_vs_gpt,informal,baseline,stylometric_surface,ttr,1149,0.8823529411764706,0.7407407407407407,-0.7611877399666441,-0.7685726696998102,2.231723503843677e-112,1.7357849474339713e-111,True
human_vs_gpt,informal,baseline,syntactic_complexity,dep_distance_mean,1149,2.9705882352941178,3.1739130434782608,0.3214419787526404,0.3720936920573656,8.715450447882856e-28,2.3464674282761538e-27,True
human_vs_gpt,informal,baseline,syntactic_complexity,n_sentences,1149,3.0,6.0,0.765949903867663,0.7971954441124247,5.374725162524144e-114,4.7028845172086265e-113,True
human_vs_gpt,informal,baseline,syntactic_complexity,subordinate_clause_rate,1149,0.75,1.1428571428571428,0.2757580015154316,0.4196321551958582,3.241707319949937e-33,1.080569106649979e-32,True
human_vs_gpt,informal,baseline,syntactic_complexity,tree_depth_max,1149,4.0,6.0,0.6782158200939369,0.707113806488813,6.0601880762266185e-84,3.856483321235121e-83,True
human_vs_gpt,informal,baseline,syntactic_complexity,tree_depth_mean,1149,3.0,3.6666666666666665,0.38091691017263846,0.4505717674970344,3.983719664041532e-39,1.5982124379269306e-38,True
human_vs_gpt,informal,baseline,pragmatic_markers,booster_count,1149,0.0,1.0,0.5116817132394218,0.6734725188149192,1.102053463375406e-57,5.934134033559879e-57,True
human_vs_gpt,informal,baseline,pragmatic_markers,booster_rate,1149,0.0,0.8547008547008547,0.13890965992980567,0.4677358655403453,2.2832787840332247e-29,6.659563120096905e-29,True
human_vs_gpt,informal,baseline,pragmatic_markers,discourse_particle_count,1149,0.0,1.0,0.16339046023045428,0.2801788956156549,2.978043904931135e-11,5.4858703511889335e-11,True
human_vs_gpt,informal,baseline,pragmatic_markers,discourse_particle_rate,1149,0.0,0.8130081300813008,-0.1168669411090776,-0.05701611933116805,0.15851856956573107,0.19467192753686272,False
human_vs_gpt,informal,baseline,pragmatic_markers,epistemic_count,1149,0.0,0.0,0.22740543094961085,0.3752835792969572,1.412309351941321e-14,2.8246187038826422e-14,True
human_vs_gpt,informal,baseline,pragmatic_markers,epistemic_rate,1149,0.0,0.0,-0.0031923110167532314,0.13339562344274727,0.007076295758044592,0.010108993940063702,True
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_count,1149,1.0,4.0,0.8742591040987817,0.8340162954222938,3.3969297528626174e-123,3.963084711673054e-122,True
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_formal_count,1149,0.0,0.0,0.03965954929225536,0.16923076923076924,0.17899240543729045,0.2160253169070747,False
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_formal_rate,1149,0.0,0.0,-0.025063344549041664,0.01971153846153846,0.8909535873838776,0.917158104659874,False
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_informal_count,1149,0.0,1.0,0.3074925810547964,0.4557914650507243,7.851338874238339e-28,2.1983748847867348e-27,True
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_informal_rate,1149,0.0,0.8547008547008547,-0.034430983703142216,0.10484782870203296,0.009514175579788724,0.013166641854573679,True
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_neutral_count,1149,1.0,3.0,0.8983071680665015,0.8460271126616353,5.342201357114983e-124,7.479081899960977e-123,True
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_neutral_rate,1149,1.1235955056179776,3.7735849056603774,0.43331759794964264,0.5551219401837021,7.276882863113238e-58,4.244848336816056e-57,True
human_vs_gpt,informal,baseline,pragmatic_markers,hedge_rate,1149,2.7777777777777777,4.918032786885246,0.3073310648843345,0.44344674024799635,2.454792587425225e-38,9.043972690513987e-38,True
human_vs_gpt,informal,baseline,pragmatic_markers,n_alpha_tokens,1149,30.0,90.0,0.8349042146577381,0.825767245854582,2.595102891278477e-129,6.05524007964978e-128,True
human_vs_gpt,informal,baseline,pragmatic_markers,negation_count,1149,1.0,1.0,-0.053542161440054775,-0.02267499409964034,0.581904171343227,0.6171710908185741,False
human_vs_gpt,informal,baseline,pragmatic_markers,negation_rate,1149,1.0526315789473684,0.8264462809917356,-0.3115212310964169,-0.45417996807661615,5.544716869371144e-32,1.7642280947999094e-31,True
human_vs_gpt,informal,baseline,pragmatic_markers,negation_sentence_rate,1149,0.14814814814814814,0.125,-0.3218466827717253,-0.37073120281311406,1.6561284566119857e-21,3.7396449020270645e-21,True
human_vs_gpt,informal,baseline,ner,ner_EVN_rate,1149,0.0,0.0,-0.029501220638256383,-1.0,0.31731050786291415,0.3417190084677537,False
human_vs_gpt,informal,baseline,ner,ner_LOC_rate,1149,0.0,0.0,-0.09899361306137158,-0.12267988218243023,0.06920902201949655,0.08724957445502504,False
human_vs_gpt,informal,baseline,ner,ner_MSR_rate,1149,0.0,0.0,-0.03248410322740008,-0.6,0.27332167829229814,0.30369075365810905,False
human_vs_gpt,informal,baseline,ner,ner_OBJ_rate,1149,0.0,0.0,0.04873424179776176,0.6796536796536796,0.006362781214140087,0.009279055937287627,True
human_vs_gpt,informal,baseline,ner,ner_ORG_rate,1149,0.0,0.0,-0.03385501464107268,0.10620915032679738,0.25601005474155103,0.28904361019207375,False
human_vs_gpt,informal,baseline,ner,ner_PRS_rate,1149,0.0,0.0,-0.10507167316529727,-0.3398467432950192,2.0313686902252725e-06,3.3856144837087874e-06,True
human_vs_gpt,informal,baseline,ner,ner_TME_rate,1149,0.0,0.0,-0.10054511240812793,-0.5859929078014184,0.00046959520403401316,0.0006993971123910834,True
human_vs_gpt,informal,baseline,ner,ner_WRK_rate,1149,0.0,0.0,-0.02699708209492835,-0.050724637681159424,0.8313821115310951,0.8686081762265173,False
human_vs_gpt,informal,baseline,ner,ner_total_rate,1149,0.0,0.0,-0.1592545542486219,-0.23134052491850657,2.8786394491176615e-06,4.6861572427496816e-06,True
human_vs_gpt,informal,baseline,textstat,char_count,1149,178.0,524.0,0.8002539498444792,0.8241298671812919,2.3303352636883612e-129,6.05524007964978e-128,True
human_vs_gpt,informal,baseline,textstat,rough_syllable_count_sv,1149,50.0,151.0,0.810830843248197,0.8305451203610298,5.169336737719415e-131,3.618535716403591e-129,True
human_vs_gpt,informal,baseline,textstat,textstat_flesch_kincaid_grade,1149,6.790000000000003,7.8820000000000014,0.05316971620814007,0.28586521360729555,4.7162409782662e-17,9.709907896430412e-17,True
human_vs_gpt,informal,baseline,textstat,textstat_flesch_reading_ease,1149,71.91608695652175,67.66769911504427,0.03545173547439486,-0.17357853710220608,3.4579609439052555e-07,5.903835757887022e-07,True
human_vs_gpt,informal,baseline,textstat,textstat_gunning_fog,1149,8.799080459770115,10.315844155844156,0.16108327734855354,0.33007493260311194,3.4099692366745855e-22,7.956594885574033e-22,True
human_vs_gpt,informal,baseline,textstat,textstat_smog_index,1149,8.841846274778883,10.018931242160765,0.45214915883762496,0.4934570687070052,1.6790127369347878e-45,7.835392772362342e-45,True
human_vs_gpt,informal,baseline,textstat,word_count,1149,31.0,91.0,0.82640154689353,0.8214218096314166,5.635350296618163e-128,9.861863019081786e-127,True
human_vs_gpt,informal,baseline,pos_proportions,pos_ADJ,1149,0.06097560975609756,0.08196721311475409,0.27483196171708557,0.42347561672649126,2.2377244738668608e-35,7.832035658534014e-35,True
human_vs_gpt,informal,baseline,pos_proportions,pos_ADP,1149,0.07407407407407407,0.07692307692307693,0.03675867515348403,0.07685589519650655,0.024277419701675376,0.03206451658711842,True
human_vs_gpt,informal,baseline,pos_proportions,pos_ADV,1149,0.10344827586206896,0.10285714285714286,-0.05107529815937632,-0.04415824350322167,0.19575186134230604,0.22888236406453555,False
human_vs_gpt,informal,baseline,pos_proportions,pos_AUX,1149,0.05263157894736842,0.06153846153846154,0.17274646436269447,0.25620071092512037,6.242213631644738e-14,1.213763761708699e-13,True
human_vs_gpt,informal,baseline,pos_proportions,pos_CCONJ,1149,0.02702702702702703,0.043010752688172046,0.3813256832700374,0.48141466408720446,8.532943186892307e-45,3.7331626442653845e-44,True
human_vs_gpt,informal,baseline,pos_proportions,pos_DET,1149,0.031914893617021274,0.03076923076923077,-0.10274314775973899,-0.035677342823250295,0.300154074344548,0.32829351881434937,False
human_vs_gpt,informal,baseline,pos_proportions,pos_INTJ,1149,0.0,0.0,-0.012871305806395401,0.25640897755610975,8.832123394535542e-06,1.3738858613721954e-05,True
human_vs_gpt,informal,baseline,pos_proportions,pos_NOUN,1149,0.15217391304347827,0.15555555555555556,-0.10808558926769438,-0.039270826188679823,0.2497073088329017,0.28654937079185444,False
human_vs_gpt,informal,baseline,pos_proportions,pos_NUM,1149,0.0,0.0,-0.17170405322930812,-0.28443135811556863,4.310728378221659e-08,7.543774661887903e-08,True
human_vs_gpt,informal,baseline,pos_proportions,pos_PART,1149,0.019230769230769232,0.02857142857142857,0.1493787270129203,0.2505807131804037,8.902104384643794e-13,1.6841819106082853e-12,True
human_vs_gpt,informal,baseline,pos_proportions,pos_PRON,1149,0.11290322580645161,0.11428571428571428,0.04678560666721677,0.08540051974972755,0.012308977254383758,0.016569777073208905,True
human_vs_gpt,informal,baseline,pos_proportions,pos_PROPN,1149,0.0,0.0,-0.22707921047871768,-0.25413214783436844,2.2750509889730495e-09,4.083424852002909e-09,True
human_vs_gpt,informal,baseline,pos_proportions,pos_PUNCT,1149,0.10526315789473684,0.1044776119402985,-0.04032632781481317,-0.0015775635407537247,0.9631997217678384,0.9771591380253433,False
human_vs_gpt,informal,baseline,pos_proportions,pos_SCONJ,1149,0.02127659574468085,0.03296703296703297,0.22256974208954872,0.3070464866650153,1.1319391279415748e-18,2.4010829986639463e-18,True
human_vs_gpt,informal,baseline,pos_proportions,pos_SYM,1149,0.0,0.0,-0.01406476243493687,0.10286617016474836,0.19618488348388763,0.22888236406453555,False
