question,cosine_similarity
Vad fick du i julklapp iår sweddit?,0.31915563
"Någon annan som är ensam och full på nyårs? Sambon är med polare och mina kompisar alla bailade. (Hade bra anledningar och jag vart bjuden att joina sambon men eh, skönt med ensam tid) Nån som vill joina?!",0.5530603
Är det verkligen ingen kanal som visar Svensson Svensson och Wallace och Gromit ikväll? Jag tittar på TV.nu men finner inget.,0.26122117
Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,0.29551405
Vad är några roliga svenska uttryck som du använder dig av? Till exempel pjäxan i pannrummet istället för plattan i mattan eller tex kalla BMW för turkräcer,0.45314106
"Vilka är era bästa synonymer för ""full""?",0.38810262
"Birk Borkason, det mest stereotypiska svenska namnet någonsin?",0.53905416
Alvedon tuggtablett. Någon som märkt hur äckliga dom är? [deleted],0.1823698
Ska våldtäktsmän verkligen få stanna när skötsamma människor skickas hem?,0.4990673
"""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet."" Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige?",0.3506859
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.55455744
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.41886312
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.6547798
Vilka enskilda politiker ger bäst intryck? Jag har just nu svårt för alla våra partiledare. Ygeman känns stabil. Vilka favoriter har ni?,0.44699
"Det slog mig att juldagen inte har samma ""självklara"" traditioner som julafton, visst firar många julafton olika men tex julklapparna öppnas ju alltid den 24:e. Vad är juldagen för dig?",0.28450334
Vilka enskilda politiker ger bäst intryck?,0.40858746
Vilka enskilda politiker ger bäst intryck?,0.46692732
Kan man driva ett klockbatteri genom att utvinna energi från handledens värme? Köpte en Apple Watch och det slog mig. Borde det inte gå att omvandla den värmeenergi som handleden utsöndrar för att ladda batteriet? Någon som vet/hört något?,0.6564028
Kan man driva ett klockbatteri genom att utvinna energi från handledens värme? Köpte en Apple Watch och det slog mig. Borde det inte gå att omvandla den värmeenergi som handleden utsöndrar för att ladda batteriet? Någon som vet/hört något?,0.6792351
Ifall det finns no go zoner där polisen inte färdas varför säljer man bara inte sitt knark där?,0.5581928
Vad kallar en blind programmerare sin ledhund? SYNTAX.,0.22873864
Vilken streaming tjänst är bäst i nuläget?,0.5677786
"Mat till event utan kylskåp, men micro? Hyfsat less på panpizzor. **edit:** shit, menade inte till andra, bara till mig då",0.5980391
Är det brunsmetning att peka på det uppenbara?,0.3963943
DGS TV - Vad tänker norrmännen om Sverige?,0.49247852
"Handla underkläder på Centralstationen? Finns det någon butik på Stockholms Centralstation där man kan köpa underkläder (för män; strumpor, kallingar)?",0.47002694
"Handla underkläder på Centralstationen? Finns det någon butik på Stockholms Centralstation där man kan köpa underkläder (för män; strumpor, kallingar)?",0.6374147
Nyår i Stockholm? Har nån tips på vad man kan hitta på på nyårsafton i Stockholm?,0.37238058
Nyår i Stockholm? Har nån tips på vad man kan hitta på på nyårsafton i Stockholm?,0.45168015
"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",0.6645596
"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",0.6412297
Finns det ingen Badmintonhall i Bromma/Kungshölmen?,0.6338783
Tips på bra julbord i Stockholm? Var går man ut och äter kvalitets-julbord i Stockholm? (Lunch eller middag spelar ingen roll.),0.65338635
