Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.7906288
Det är så brett så jag vet inte vart jag ska börja,0.6409744
Handledningsprocesser i Medarbetarsamtalet,0.80630136
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.8915609
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.92863095
Paulus lagsyn i Rom 3:21-31,0.83050585
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8140533
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.8132306
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.65725005
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.6326848
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.834049
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.8787564
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.80937064
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.5509194
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.8348367
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.8538742
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.8202646
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.55688614
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.8947437
Artificiell intelligens - ANN och evolution i shooterspel,0.59005743
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.51430476
Användarverifiering från webbkamera,0.8281903
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.8799906
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.7761086
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.8845244
Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,0.8253248
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.7809406
En ny arbetsmarknadspolitik,0.83868986
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.75940806
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.87199575
"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",0.76655227
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.90313315
Handledningsprocesser i Medarbetarsamtalet,0.86125654
Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,0.7418011
Att vara syskon eller partner till en person med ätstörningsproblematik,0.7405337
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.82019645
Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,0.81359357
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.71532404
Fytoremediering med perenn solros i åkerjord,0.5842981
Videokompression och användarnytta,0.77143526
Mer lättläst: Påbyggnad av ett automatiskt omskrivningsverktyg till lätt svenska,0.79494864
"""Jag tror inte han är där än; alltså rent språkligt"": Gymnasielärares beskrivningar av och attityder till förortssvenska och förortsslang",0.82092726
Eventbubblan i syd: En studie av Film i Skånes eventverksamhet,0.93432134
Vad är det för vits med humor i vården?,0.8717882
Äldre och ensamhet: en kvalitativ studie om ensamhet bland äldre boende i eget hem och på servicehus,0.8972779
