model,register,condition,doc_id,error,refusal,markdown_n,chars,text
gpt-5.2,informal,baseline,218,,,0,289,"Svårt att säga exakt utan att veta vilken gainer det är, för det beror på hur “luftigt” pulvret är. Men som tumregel brukar 1 dl gainer ligga nånstans runt 35–45 gram, så 50 gram är typ lite drygt 1 dl (kanske 1,1–1,4 dl). Bäst är att väga en gång med köksvåg och sen vet du för framtiden."
gpt-5.2,informal,baseline,1040,,,0,502,"Alltså om man ändå får välja helt fritt och det räknas som jobb: jag hade lätt tagit betalt för att bara testa grejer och säga vad som är bra/dåligt. Typ provsmaka mat, spela igenom spel, kolla film/serier och sen skriva en kort “är det värt det”-review. Inte för att jag är nån finsmakare, utan för att jag redan gör det gratis och ändå sitter och har åsikter om allt. Din grej med att slå sönder saker låter iofs som världens bästa stresshantering, lite som att vara “destruktionsterapeut” på heltid."
gpt-5.2,informal,baseline,692,,,0,355,"Kolla in PokerStars (har haft Mac-klient länge och är EU-licensierade beroende på var du reggar), partypoker och 888poker – alla har nerladdningsbara klienter för mac numera. Annars funkar ju alltid PokerTracker/HM via Wine/Crossover om du måste, men native är alltid skönare. Full Tilt är väl typ dött/uppköpt sen länge så jag hade inte låst mig vid den."
gpt-5.2,informal,baseline,174,,,0,533,"Jo men det är lite skralt just i Bromma/Kungsholmen, det är inte som i förorterna där det finns rena badmintoncenter. När jag kollat tidigare har det mest varit skolhallar/föreningstider och enstaka sporthallar där man kan boka strötider, men det kräver ofta medlemskap eller att man jagar tider via kommunen. Annars är det många som drar till typ Solna/Sundbyberg eller längre ut där det finns bättre utbud och fler banor. Testa även att kolla med badmintonklubbarna i området, de brukar veta vilka hallar som faktiskt går att boka."
gpt-5.2,informal,baseline,240,,,0,746,"Alltså… om du på riktigt vill ha “någon utan gränser” som är “kapabel att göra saker” så låter det mest som att du romantiserar antisocialt beteende och letar efter drama/kaos, inte en relation. Psykopati/sociopati är inte en Tinder-filtergrej och “relativt mentalt stabil men galen” är typ en självmotsägelse.

Om du känner igen dig i det du skriver så är det ärligt talat mer rimligt att prata med en psykolog/psykiatrin om impulser, empati och gränser än att försöka hitta en “match” som förstärker det. Vill du ha en intensiv person: sök någon som gillar äventyr, är rak, sexuellt öppen osv – men som faktiskt har fungerande moral och självkontroll. Resten slutar nästan alltid i polisanmälningar, trasiga liv och “fan vad tänkte jag”-känsla."
gpt-5.2,informal,baseline,420,,,0,711,"Testa typ ElevenLabs eller PlayHT om du vill ha TTS som inte låter som “Microsoft Sam”-robot. De har rätt många röster (även tjejröster) och du kan ofta ställa in ton/tempo så det låter mer naturligt eller lite “editerat” om du vill ha den där halv-robotiga stilen.

Vill du köra gratis/enkelt kan du också kolla Amazons Polly eller Googles TTS (vissa röster är förvånansvärt okej), men ofta är de bästa rösterna bakom någon billig månadsplan.

Annars: om du ändå ska ha lite robotkänsla, kan du spela in med mobilens mic (det duger mer än man tror) och slänga på effekter i Audacity (pitch + lite chorus/vocoder-ish). Det kan faktiskt låta “snyggare robot” än gammal Sam, utan att du behöver betala nån random."
gpt-5.2,informal,baseline,752,,,0,771,"Tycker spontant att det är en ganska dum/meningslös kontrollfråga. Dels för att många nyanlända inte ens har koll på vem Vilks var (varför skulle de?), dels för att den som faktiskt är extremist och vill in bara kan svara “rätt” på en sån fråga utan problem. Och om någon svarar “fel” kan det lika gärna handla om dåliga språkkunskaper, missförstånd eller att man kommer från ett land där man lärt sig en annan syn på blasfemi, inte att man tänker begå brott i Sverige.

Vill man göra säkerhetsprövning får man nog fokusera på konkret bakgrund, nätverk, resor, tidigare kopplingar och sånt som faktiskt går att verifiera – inte symbolfrågor som mest blir ett politiskt lackmustest. Risken är att det bara blir ett sätt att sortera på åsikter istället för verklig hotbild."
gpt-5.2,informal,baseline,351,,,0,929,"Det finns typ hundra andra sätt än “de har avlyssnat min telefon”. Polisen kan ha fått info från din vän, någon i umgänget, tips, chattar/DM du glömt, beslag av dator/telefon där det finns historik/anteckningar/utkast, eller bara att de fiskar i förhör och säger “vi vet…” för att se hur du reagerar. Att en kommissarie slänger ur sig “du skrev om det i en blogg” kan lika gärna vara en medveten fuling för att få dig att börja prata.

Telefonavlyssning är inte nåt de gör bara för att de “känner för det”, det kräver beslut och rätt hårda krav, även om du varit misstänkt för grövre brott. Och om de faktiskt hade hemliga tvångsmedel brukar de inte sitta och avslöja det i ett vanligt förhör genom att namedroppa “blogg”.

Mitt råd: spekulera inte högt med polisen, sluta gissa och skaffa en advokat. Och börja utgå från att allt digitalt du haft kan vara genomgånget efter husrannsakan – det är oftast den tråkiga förklaringen."
gpt-5.2,informal,baseline,328,,,15,1106,"1) Reglaget med tre lägen: **OFF** är av, **ON** är på, och **läget i mitten är “på men låst”**. Dvs kameran är igång men du låser de stora rattarna (framförallt snabbhjulet bak och/eller huvudratten beroende på inställning), så man inte råkar komma åt dem och ändra inställningar när man bär kameran.

2) Serietagning med **H** betyder **High-speed continuous** = **snabb serietagning** (max fps, typ 6,5 b/s på 40D). Utan H (om du har ett läge som ser likadant men inte H, eller “L” på vissa hus) är det **Low-speed continuous**, alltså långsammare serietagning.

3) Det där är **JPEG-kvalitet + storlek**.  
- **L / M / S** = bildstorlek (Large/Medium/Small).  
- Symbolen som ser ut som en **“trappa”** brukar betyda **finare JPEG (lägre kompression / bättre kvalitet)**.  
- Symbolen som ser ut som en **“kurva”** brukar betyda **normal/lägre JPEG-kvalitet (högre kompression)**.

Så: **L + trappa** = stor bild + bäst JPEG-kvalitet (större filer). **L + kurva** = stor bild men mer komprimerad (mindre filer, lite sämre). Samma tänk för M och S. (Och RAW är en helt annan grej om du ser det i menyn.)"
gpt-5.2,informal,baseline,921,,,0,583,"Lugnt, du lär inte dö av lite härsken allroundkrydda. Det som blir härsket i kryddor är oftast fettet/aromerna som oxiderat, så det smakar/ luktar äckligt men är sällan farligt i små mängder. Värsta som brukar hända är magknip, illamående eller att man får rännskita om man har otur/känslig mage. Håll koll på hur du mår kommande timmar/dygn, drick vatten och ät något snällt om magen känns kass. Blir du riktigt dålig (kraftiga kräkningar, feber, blodig diarré, svår buksmärta eller om det inte ger sig) så ring 1177 och kolla. Annars: släng burken och köp ny, det är inte värt det."
