Title,cosine_similarity
Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,0.7283013
Det är så brett så jag vet inte vart jag ska börja,0.77885896
Handledningsprocesser i Medarbetarsamtalet,0.8170922
Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,0.90082574
Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,0.88083017
Paulus lagsyn i Rom 3:21-31,0.8727361
Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,0.8585999
Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,0.8347274
Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,0.71571517
1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,0.6089576
3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,0.85772574
3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,0.850633
3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,0.7994872
Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,0.5733598
Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,0.8540652
Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,0.69472504
Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,0.833207
Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,0.6435373
3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,0.9092537
Artificiell intelligens - ANN och evolution i shooterspel,0.5889195
Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,0.5362397
Användarverifiering från webbkamera,0.71296763
IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,0.80559325
När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,0.7632305
"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",0.8828558
Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,0.8234309
Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,0.8207495
En ny arbetsmarknadspolitik,0.8137841
Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,0.7926742
Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,0.86691856
"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",0.80144405
Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,0.91965055
Handledningsprocesser i Medarbetarsamtalet,0.7923231
Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,0.79271984
Att vara syskon eller partner till en person med ätstörningsproblematik,0.86764705
Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,0.84092706
Användandet av miljöledningssystem och gröna nyckeltal: – en studie av drivkrafter hos mindre företag,0.7978909
Principalansvaret för vårdnadshavare: Föräldrars skadeståndsansvar för skada vållad av barn,0.64879084
