item_id,register,generator,condition,is_human,text,predicted,confidence,reasoning,correct
1,formal,gpt,baseline,False,"Denna uppsats undersöker om och hur 3D på webben kan utgöra ett nästa utvecklingssteg för e-handeln, med särskilt fokus ...",MÄNNISKA,85,"Texten uppvisar en hög grad av språklig precision och naturlig akademisk stil med varierad meningsbyggnad. Till skillnad från typiskt AI-genererade texter, som ofta använder upprepande mallstrukturer och generella plattityder, har detta abstrakt en tät och specifik problematisering med välavvägda facktermer (S3D, I3DPP) och nyanserade resonemang kring tekniska och användarmässiga begränsningar.",False
2,formal,gpt,human_like,False,"Denna uppsats undersöker hur fysisk beröring kan påverka människans välbefinnande, med särskilt fokus på massage och ter...",AI,95,"Texten uppvisar flera typiska kännetecken för AI-genererad akademisk text. Den saknar specifika metodologiska detaljer, urval eller empiriska resultat och fokuserar istället på allmänna resonemang. Språket är perfekt, men meningsbyggnaden och styckesstrukturen är extremt mallartad och repetitiv. Användningen av övergångsfraser som 'Samtidigt framhålls', 'Sammanfattningsvis argumenterar' och 'Uppsa",True
3,formal,gpt,human_like,False,Denna kandidatuppsats behandlar problemet med pappersmakulatur vid Bobergs Tryckeri AB och syftar till att identifiera b...,AI,95,"Texten uppvisar starka tecken på att vara AI-genererad. Språket är extremt generiskt, jämnt och perfekt strukturerat utan den naturliga spretighet eller de specifika sifferdata/resultat som brukar finnas i en mänsklig uppsats. Användningen av PDCA-cykeln beskrivs på ett teoretiskt och mallartat sätt (Plan-Do-Check-Act gås igenom kronologiskt i svepande ordalag) snarare än att redovisa faktiska emp",True
4,formal,gpt,baseline,False,Denna studie behandlar personalens uppfattningar om måltidernas innehåll i förskolan samt deras faktiska möjligheter att...,AI,95,"Texten uppvisar typiska AI-markörer genom en extremt symmetrisk, mallartad och uppräknande struktur (t.ex. ""hälsa, trivsel och sociala samspel"", ""näringsriktighet, variation, specialkost och kulturella hänsyn"", ""tid, resurser, budget...""). Språket är generellt och akademiskt korrektivt utan språkliga ojämnheter eller specifika empiri- och metoddetaljer som vanligtvis återfinns i mänskliga uppsatsa",True
5,formal,gpt,detector_evasive,False,Uppsatsen har titeln *Dom vill ju spela så då spelar vi!: En belysande studie av faktorer som påverkar läraren vid plane...,AI,95,"Texten har en extremt repetitiv och upphackad meningsbyggnad med nästan uteslutande korta, enkla meningar som börjar på samma sätt (""Läraren väljer..."", ""Det gäller..."", ""De kan göra...""). Detta saknar det naturliga flyt, den komplexa meningsbyggnad och de bindord som kännetecknar en mänsklig akademisk text. Mönstret är typiskt för en AI som genererar förenklad eller extremt strukturerad svensk te",True
6,formal,human,human,True,Metakognitiva processer och förmågor innefattar bland annat människans förmåga att reflektera över sin egen kunskapsnivå...,MÄNNISKA,95,"Texten uppvisar en genuint akademisk struktur och terminologi som är mycket specifik för svensk kognitionsvetenskaplig tradition. Användningen av specifika, etablerade mättekniker (ACME och KMA) i kombination med en naturlig variation i meningsbyggnad och idiomatiska svenska formuleringar (som 'räknas till att vara', 'tro sig kunna') tyder starkt på att detta är ett autentiskt abstrakt skrivet av ",True
7,formal,gpt,human_like,False,"Denna uppsats syftar till att identifiera och analysera centrala framgångsfaktorer bakom gerillakrigföring, med utgångsp...",AI,90,"Texten uppvisar starka tecken på att vara AI-genererad. Språket är extremt polerat och har en perfekt, nästan mallartad struktur med typiska AI-markörer såsom retoriska tretal, svepande sammanfattningar (”Sammantaget argumenterar studien...”) och en hög densitet av akademiska buzzwords. Även om ämnesterminologin (t.ex. 'Chefsprogrammet', 'tyngdpunkt') är korrekt, saknar texten de ojämnheter, speci",True
8,formal,human,human,True,Denna studie berör återköp av damtidningar. Frågeställningen syftar till att ta reda på varför kvinnor köper damtidninga...,MÄNNISKA,95,"Texten bär tydliga tecken på att vara skriven av en student snarare än en AI. Språket är hakigt med upprepade, korta meningar och saknar det strama, flytande sammanhang som kännetecknar AI-genererade akademiska texter. Formuleringar som 'de 4 P.na', 'kostnaden för att nå den' och styckets oslipade avslutning är typiska mänskliga stilbrister i äldre kandidatuppsatser. Dessutom tyder nämnandet av ti",True
9,formal,human,human,True,Gerillakrigföring som metod i konflikter som inte är mellanstatliga är aktuella att studera ur ett svensktperspektiv. Et...,MÄNNISKA,90,"Texten har tydliga tecken på mänskligt författarskap från en svensk kandidatuppsats (notera även ihopklistrade ord som 'svensktperspektiv' och 'okonventionellatillvägagångssätt' som ofta uppstår vid kopiering från PDF-filer). Meningsbyggnaden är något tyngre och har en författarspecifik stil ('faktorer som ligger bakomframgångar', 'omgärdas av fascination'). AI-genererad text brukar ha en betydlig",True
10,formal,gpt,human_like,False,Denna studie behandlar användningen av balanserat styrkort inom svensk primärvård och tar sin utgångspunkt i en fallstud...,AI,85,"Texten uppvisar starka tecken på att vara AI-genererad. Den har en extremt jämn och mallartad struktur med typiska AI-markörer som 'Mot denna bakgrund framstår', 'Sammanfattningsvis pekar' och 'Studien bidrar därmed med'. Språket är korrekt och akademiskt, men saknar specifika empiriska fynd eller den unika språkliga varians som kännetecknar en mänsklig skribent. Slutsatserna är allmänt hållna och",True
